ADS,ALV,BAS,BAYN,BEI,BMW,CBK,CONS,DAI,DB1,DBK,DPW,DTE,FME,FRE,HEI,HEN3,IFX,LHA,LIN,LXS,MUV2,RWE,SAP,SDF,SIE,TKA,VOW3,^GDAXI
186.35,196.45,91.05,114.45,90.96,85.46,12.16,212.95,69.25,90.48,14.53,38.23,15.4,82.08,70.65,86.05,116,22.66,27.15,182.55,67.29,186.4,20.62,95.49,20.64,115.15,22.99,144.5,12953.41
187.4,197,90.11,116.25,91.1,86.42,12.11,214.15,69.4,90.3,14.66,38.23,15.52,83.08,71.42,86.33,116.45,22.83,26.18,182.9,67.31,185.95,21.3,95.33,20.73,115.95,23.5,145.5,13013.19
187,196.2,91,117.25,92,86.01,11.43,212.35,68.76,92.21,14.23,38.15,15.42,83.09,71.5,85.66,115.9,22.74,25.96,183.05,67.69,186.05,21.41,95.99,20.82,116.5,23.5,142.2,13003.14
187.25,197,90.45,117.95,92.02,86.3,11.61,213.5,68.36,92.83,14.4,38.22,15.4,82.87,71.17,84.91,116.6,22.47,25.72,178.95,68.06,188.35,21.45,95.22,20.94,115.9,23.34,141.55,12991.28
186.85,195.95,90.05,118.7,93.08,87.41,11.68,213.05,68.94,91.05,14.18,38.07,15.35,82.58,70.58,83.94,117.6,22.31,25.44,173.35,66.45,186.7,21.37,95.6,20.66,117.4,23.42,143.2,12990.1
190.5,195.95,90.27,118.9,94.21,88.2,11.81,216.05,69.32,92.86,14.38,38.26,15.55,82.05,70.53,83.88,119.2,22.18,25.56,174.7,66.5,185.8,21.27,95.01,20.8,118.25,23.57,144.65,13043.03
191.3,195.3,89.31,118.6,93.5,87.44,11.73,214.9,68.72,94.59,14.25,38.17,15.43,81.35,70.13,84.01,119.05,22.37,25.42,175.4,66.14,184.2,21.28,94.52,20.72,118.5,23.49,143.15,12995.06
192.15,195.9,89.03,119.6,93.99,87.08,11.78,214.75,68.38,94.71,14.11,38.37,15.56,81.48,70.1,84.66,118.7,21.73,25.28,173.65,66.57,184.45,21.02,94.63,20.83,119.05,23.82,143.75,13003.7
193.1,195.55,88.9,118.15,93.86,87.27,11.69,215.35,67.91,95.1,13.99,38.21,15.45,80.88,69.45,85.69,119.05,21.8,25.04,176.45,67.31,184.65,20.96,95.12,20.75,119.9,23.75,144.15,12991.87
194,195.55,89.31,116.8,92.73,87.82,11.7,216.15,68.01,95.9,14.17,38.21,15.43,80.98,69.55,85.89,119.25,21.65,25.13,174.7,66.47,184.55,20.86,95.18,20.65,119.5,23.65,143.7,12982.89
194,194.35,89.24,117.15,91.97,88.39,11.7,215.75,68.09,94.5,14.32,38.06,15.65,81.48,69.55,85.96,118.55,21.72,24.56,175.2,66.25,184.25,20.49,94.82,20.85,119.65,23.6,142.3,12970.68
195,193.5,90,117,91.55,88.42,11.57,216.15,67.98,93.51,14.31,38.06,15.67,81.01,69,85.61,118.35,21.51,24.58,175.9,66.17,183.55,19.81,95.03,20.97,119.75,23.14,141.35,12949.25
195.1,193.95,90.21,117.25,90.93,88.87,11.62,215.55,68.62,93.21,14.38,37.41,15.7,82.8,69.86,84.83,116.5,21.65,23.99,175.1,66.36,184.3,19.92,95.45,20.66,120.2,23.01,142.2,12976.4
194.2,193.25,90.33,116.6,91.7,88.87,11.64,216.5,68.44,93.19,14.7,37.41,15.69,83.64,70.65,85.95,117.2,21.6,24.25,178.7,67,183.85,19.45,94.33,22.18,119.5,24.06,141.7,12955.94
194.2,193.25,90.33,116.6,91.7,88.71,11.64,216.5,68.44,93.19,14.7,37.97,15.69,83.64,70.65,85.95,117.2,21.6,24.25,178.7,67,183.85,19.45,94.33,22.18,119.5,24.06,141.7,12968.05
195.05,192.15,89.57,117.65,91.26,88.48,11.39,216.25,68.44,92.29,14.35,37.97,15.66,85.22,71.31,85.45,117.35,22.02,24.67,178.05,67.04,181.65,19.38,93.79,22.44,121,24.1,140.75,12970.52
196.1,191.25,89.87,115.3,91.34,86.16,11.45,214.75,67.62,92.46,14.49,38.13,15.73,84.3,68.77,85.75,116.75,21.9,24.32,176.7,66.72,181.2,19.55,94.08,22.99,119.9,24.7,137.6,12970.52
