time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20171026T012010,55.1,100,100,55.18,400,400
20171026T012111,55.06,100,100,55.18,400,400
20171026T012133,55.06,100,100,55.16,200,200
20171026T013809,55.06,100,100,55.15,500,500
20171026T014931,55.06,100,100,55.16,200,200
20171026T015358,55.1,100,100,55.16,200,200
20171026T015409,55.08,100,100,55.16,200,200
20171026T015715,55.01,500,500,55.08,200,200
20171026T015720,55.01,500,500,55.18,400,400
20171026T015721,55.08,100,100,55.18,400,400
20171026T015722,55.01,500,500,55.18,400,400
20171026T015901,55.01,500,500,55.18,300,300
20171026T100001,53.8,100,100,54.92,200,200
20171026T100002,53.76,100,100,54.92,200,200
20171026T100007,54.0,1000,1000,54.92,200,200
20171026T100012,54.0,1000,1000,55.0,200,200
20171026T100026,54.02,100,100,55.0,200,200
20171026T100049,54.02,100,100,54.93,200,200
20171026T100052,54.02,100,100,55.0,200,200
20171026T100102,54.02,100,100,54.95,200,200
20171026T100114,54.02,100,100,54.93,200,200
20171026T100119,54.02,100,100,54.93,100,100
20171026T100143,54.95,300,300,55.0,200,200
20171026T100146,54.0,1100,1100,55.0,200,200
20171026T100149,54.0,1100,1100,55.19,100,100
20171026T100154,54.0,1100,1100,55.21,100,100
20171026T100159,54.0,1100,1100,55.05,200,200
20171026T100203,54.81,100,100,55.05,200,200
20171026T100207,54.94,100,100,55.05,200,200
20171026T100216,54.94,100,100,55.04,100,100
20171026T100222,54.05,100,100,55.0,200,200
20171026T100333,54.05,100,100,54.97,100,100
20171026T100415,54.05,100,100,54.95,100,100
20171026T100518,54.07,200,200,54.95,100,100
20171026T100524,54.08,200,200,54.95,100,100
20171026T100926,54.0,1000,1000,54.95,100,100
20171026T100928,54.05,200,200,54.95,100,100
20171026T101039,54.6,100,100,54.95,100,100
20171026T102931,54.71,100,100,54.95,100,100
20171026T103153,54.82,100,100,54.95,100,100
20171026T103155,54.82,100,100,54.97,100,100
20171026T103158,54.71,100,100,54.97,100,100
20171026T103223,54.71,100,100,55.0,200,200
20171026T103228,54.94,100,100,55.0,200,200
20171026T103300,54.71,100,100,55.0,200,200
20171026T103626,54.94,100,100,55.0,200,200
20171026T104219,54.94,1700,1700,55.0,200,200
20171026T104256,54.94,1600,1600,55.0,200,200
20171026T104733,54.94,1600,1600,55.05,200,200
20171026T104743,54.94,1600,1600,55.0,200,200
20171026T104836,54.94,1600,1600,54.97,100,100
20171026T105853,54.94,1600,1600,55.0,200,200
20171026T105939,54.55,100,100,55.0,200,200
20171026T105942,54.47,200,200,55.05,300,300
20171026T105943,54.28,200,200,55.04,100,100
20171026T105944,54.36,200,200,55.04,100,100
20171026T105945,54.46,200,200,55.04,100,100
20171026T105946,54.27,200,200,55.04,100,100
20171026T105948,54.38,200,200,55.04,100,100
20171026T105949,54.25,200,200,55.04,100,100
20171026T105952,54.96,100,100,55.05,200,200
20171026T110029,54.96,100,100,55.02,100,100
20171026T110128,54.96,100,100,55.0,100,100
20171026T110329,54.96,100,100,54.99,100,100
20171026T110608,54.96,100,100,55.0,100,100
20171026T111636,54.43,200,200,55.0,100,100
20171026T111637,54.23,200,200,55.0,100,100
20171026T111639,54.33,200,200,55.0,100,100
20171026T111640,54.38,200,200,55.0,100,100
20171026T111642,54.41,200,200,55.0,100,100
20171026T111644,54.6,100,100,55.0,100,100
20171026T111649,54.6,500,500,55.0,100,100
20171026T113355,54.6,500,500,54.95,100,100
20171026T115129,54.63,100,100,54.95,100,100
20171026T115130,54.6,500,500,54.95,100,100
20171026T115132,54.6,600,600,54.95,100,100
20171026T115133,54.6,500,500,54.95,100,100
20171026T120157,54.6,500,500,55.0,100,100
20171026T121637,54.6,500,500,54.98,100,100
20171026T121702,54.6,500,500,54.95,100,100
20171026T121713,54.6,500,500,54.98,100,100
20171026T121926,54.6,500,500,55.0,100,100
20171026T121929,54.6,500,500,54.99,100,100
20171026T122106,54.6,500,500,55.0,100,100
20171026T122230,54.6,500,500,55.0,200,200
20171026T122404,54.6,500,500,54.99,100,100
20171026T122717,54.6,500,500,55.0,100,100
20171026T122719,54.6,500,500,55.0,200,200
20171026T122912,54.6,500,500,55.0,100,100
20171026T124204,54.65,500,500,55.0,100,100
20171026T124959,54.75,300,300,55.0,100,100
20171026T125810,54.75,300,300,55.02,100,100
20171026T125813,54.8,500,500,55.02,100,100
20171026T130113,54.8,800,800,55.02,100,100
20171026T132534,54.8,800,800,55.05,200,200
20171026T132636,54.8,800,800,55.05,300,300
20171026T132742,54.8,800,800,55.04,100,100
20171026T132843,54.8,800,800,55.0,4000,4000
20171026T134008,54.8,800,800,55.05,300,300
20171026T134014,54.8,800,800,55.05,200,200
20171026T134039,54.82,100,100,55.05,200,200
20171026T134359,54.82,100,100,55.05,300,300
20171026T134404,54.88,100,100,55.05,300,300
20171026T134416,54.8,800,800,55.0,4000,4000
20171026T134428,54.8,900,900,55.0,4000,4000
20171026T134537,54.8,900,900,55.0,4100,4100
20171026T134538,54.8,900,900,55.0,4000,4000
20171026T134602,54.8,900,900,54.99,100,100
20171026T134651,54.8,900,900,55.0,4100,4100
20171026T134654,54.8,900,900,54.99,100,100
20171026T134938,54.8,900,900,54.98,100,100
20171026T134950,54.8,900,900,55.0,4000,4000
20171026T135359,54.8,400,400,55.0,4000,4000
20171026T135426,54.8,300,300,55.0,4000,4000
20171026T140046,54.88,100,100,55.0,4000,4000
20171026T140354,54.8,300,300,55.0,4000,4000
20171026T140359,54.8,300,300,55.0,4100,4100
20171026T140401,54.8,300,300,55.0,4000,4000
20171026T140457,54.8,300,300,54.94,500,500
20171026T140525,54.8,300,300,55.0,4100,4100
20171026T140537,54.8,300,300,55.0,4000,4000
20171026T141427,54.8,300,300,55.0,4100,4100
20171026T141445,54.8,300,300,55.0,4000,4000
20171026T141507,54.8,300,300,55.0,4100,4100
20171026T141525,54.8,300,300,55.0,4000,4000
20171026T141734,54.8,300,300,55.0,4100,4100
20171026T141746,54.8,300,300,54.99,100,100
20171026T141747,54.8,300,300,55.0,4000,4000
20171026T142207,54.8,300,300,55.0,4100,4100
20171026T142222,54.8,300,300,55.0,4000,4000
20171026T142232,54.8,300,300,55.0,4100,4100
20171026T142317,54.7,1000,1000,54.8,1600,1600
20171026T142318,54.7,1000,1000,55.0,4100,4100
20171026T142325,54.7,1000,1000,55.0,4000,4000
20171026T142326,54.7,1000,1000,55.0,4100,4100
20171026T142517,54.7,1000,1000,55.0,4000,4000
20171026T142748,54.7,1000,1000,55.0,4100,4100
20171026T142824,54.7,1000,1000,55.0,4000,4000
20171026T143213,54.7,1000,1000,55.0,4100,4100
20171026T143225,54.7,1000,1000,55.0,4000,4000
