date,no1,no2,no3,no4,no5
2014-01-01 00:00:00,-0.557866,1.295497,0.398596,-1.565177,-0.088375
2014-01-01 01:00:00,-0.995214,0.002606,0.085438,-1.289392,-0.174190
2014-01-01 02:00:00,-1.183367,0.519459,0.205871,1.231781,-0.749527
2014-01-01 03:00:00,0.303203,-0.187024,2.466403,0.844392,0.258555
2014-01-01 04:00:00,-2.112170,0.485177,1.087712,0.821312,-0.188078
2014-01-01 05:00:00,-0.032848,0.810433,-1.759344,0.692754,1.848587
2014-01-01 06:00:00,-0.029733,-0.273652,0.578405,-0.178521,0.905522
2014-01-01 07:00:00,1.009409,-0.379726,0.198212,1.031867,0.086047
2014-01-01 08:00:00,1.821531,-0.428595,-0.772539,-0.163935,-0.824070
2014-01-01 09:00:00,0.665720,-1.337605,-0.523389,1.892921,1.193501
2014-01-01 10:00:00,-0.615002,-0.241488,1.592569,2.148222,-1.178350
2014-01-01 11:00:00,-1.112628,-0.157985,0.262783,0.474838,-1.539684
2014-01-01 12:00:00,-0.264430,-0.667912,-2.173518,-2.538850,-0.357963
2014-01-01 13:00:00,-1.253663,-0.684240,-0.357846,-0.297749,-0.736854
2014-01-01 14:00:00,1.761548,-0.950755,1.322228,-0.939389,1.061392
2014-01-01 15:00:00,0.970173,-0.909351,0.696650,-0.008327,0.980511
2014-01-01 16:00:00,-0.117570,0.583548,-1.906267,1.761081,-2.145298
2014-01-01 17:00:00,-1.007533,-0.350677,1.443526,0.890857,3.116544
2014-01-01 18:00:00,-0.255336,-0.807933,0.817013,0.869271,0.932520
2014-01-01 19:00:00,-0.264051,-0.253597,-0.518040,-1.699045,-0.515858
2014-01-01 20:00:00,-1.132681,-0.401553,-0.762108,0.024167,-0.060514
2014-01-01 21:00:00,-0.133411,-0.197064,2.304633,-2.008355,2.164067
2014-01-01 22:00:00,0.960517,1.411041,-0.104015,-0.079255,0.831918
2014-01-01 23:00:00,-2.223175,0.142446,-0.332461,0.442764,-0.275234
2014-01-02 00:00:00,1.979769,-0.884283,-0.425288,-0.271810,-0.358394
2014-01-02 01:00:00,-0.841593,0.882158,1.572636,0.528137,-0.410944
2014-01-02 02:00:00,1.097291,-1.529412,2.647774,0.617708,0.761548
2014-01-02 03:00:00,-0.737136,-1.213149,0.814579,0.113099,0.572932
2014-01-02 04:00:00,-1.017336,-1.462579,-0.149858,2.088523,0.055365
2014-01-02 05:00:00,0.075038,-0.426595,-1.025977,-1.914369,-0.910691
2014-01-02 06:00:00,-1.140981,-0.565634,0.750044,0.294259,0.671837
2014-01-02 07:00:00,-0.670797,-0.464514,0.048819,0.894980,-0.326199
2014-01-02 08:00:00,-1.527593,0.978183,-0.287609,-1.152701,0.058463
2014-01-02 09:00:00,0.276682,-0.977424,0.028761,2.393974,-1.003631
2014-01-02 10:00:00,-0.513993,0.913141,-0.153661,1.182301,-0.034602
2014-01-02 11:00:00,-1.592185,-0.027227,-0.984300,0.170118,-0.466150
2014-01-02 12:00:00,-2.035181,-0.418383,-0.557145,-0.108307,-0.234634
2014-01-02 13:00:00,1.087016,-0.650804,-0.554450,-0.950639,0.667978
2014-01-02 14:00:00,-0.550852,1.130100,-1.123216,-1.712329,-0.454694
2014-01-02 15:00:00,1.390074,-0.796499,-2.489126,0.800369,0.013443
2014-01-02 16:00:00,-1.173339,-0.813828,-1.004535,1.369535,-1.452814
2014-01-02 17:00:00,-0.891864,-2.145478,0.123549,-1.802494,-0.167098
2014-01-02 18:00:00,-0.053110,-1.246361,-1.391076,-0.856546,-1.058683
2014-01-02 19:00:00,0.410772,-0.691391,0.773428,2.152558,1.119271
2014-01-02 20:00:00,-1.615463,-0.451814,-0.363586,-0.370601,-1.355648
2014-01-02 21:00:00,0.124406,0.818895,-0.732930,-0.802384,1.298135
2014-01-02 22:00:00,-0.727624,-1.310711,0.130505,-0.693198,-0.040160
2014-01-02 23:00:00,0.153176,0.205546,0.954330,-0.558108,0.670509
2014-01-03 00:00:00,0.084114,-0.744529,0.694294,2.094389,-1.658739
2014-01-03 01:00:00,1.123713,0.482642,-1.213693,0.438066,-0.308076
2014-01-03 02:00:00,0.237825,0.971456,1.657193,-0.819233,-0.226836
2014-01-03 03:00:00,1.149140,0.359953,-0.458076,0.114389,0.099601
2014-01-03 04:00:00,0.850738,-1.479737,-0.729044,-0.860765,1.784726
2014-01-03 05:00:00,-0.451353,-0.673488,-0.228858,-1.736307,-0.247853
2014-01-03 06:00:00,-0.580225,-0.878962,-0.753957,0.340891,1.235753
2014-01-03 07:00:00,0.686385,0.530287,0.566044,1.947901,-0.285962
2014-01-03 08:00:00,-0.905220,-0.940546,-1.409264,0.772994,-0.375413
2014-01-03 09:00:00,-1.177087,0.009153,0.622887,0.081413,0.384428
2014-01-03 10:00:00,-1.314841,-0.637296,0.601364,-0.843405,1.035706
2014-01-03 11:00:00,1.712107,1.252757,-1.376023,-0.173284,-0.951893
2014-01-03 12:00:00,1.510631,0.633817,-0.554342,-0.078307,0.432706
2014-01-03 13:00:00,0.095068,-1.129275,0.641295,-0.585916,-1.012236
2014-01-03 14:00:00,0.271219,-0.079620,0.679207,0.748050,-0.760428
2014-01-03 15:00:00,0.534080,-1.021134,0.989490,-1.991225,-0.584279
2014-01-03 16:00:00,-0.516243,1.860706,-0.790916,-0.754401,1.026310
2014-01-03 17:00:00,-0.711670,0.445612,-2.025815,0.803566,-0.541086
2014-01-03 18:00:00,0.578114,-0.931988,-1.103574,0.005125,0.571620
2014-01-03 19:00:00,0.106496,1.267407,-1.975878,-2.796279,0.197032
2014-01-03 20:00:00,-1.375042,0.730344,-0.841877,0.969432,-2.264040
2014-01-03 21:00:00,-0.393601,-0.130032,-0.718410,1.070586,-2.031101
2014-01-03 22:00:00,0.541721,-0.100716,1.618458,0.398682,-0.936071
2014-01-03 23:00:00,1.075469,0.767733,-1.216201,-0.697595,0.273568
2014-01-04 00:00:00,1.054656,0.896678,0.327776,0.880018,0.932157
2014-01-04 01:00:00,0.715286,1.560574,0.395594,1.169792,1.136922
2014-01-04 02:00:00,-1.276859,-0.448942,0.622695,1.700093,-1.352135
2014-01-04 03:00:00,-1.035583,-1.063459,0.026209,0.525700,-0.286423
2014-01-04 04:00:00,1.293849,0.591597,-0.447094,1.519081,-0.976751
2014-01-04 05:00:00,0.157187,-1.421097,-0.557740,-0.583322,0.967875
2014-01-04 06:00:00,2.424942,0.096499,-0.160161,0.986621,1.560412
2014-01-04 07:00:00,-0.104358,1.090964,0.478342,0.559370,0.103755
2014-01-04 08:00:00,-0.331736,0.012797,-0.852228,-0.882184,0.063006
2014-01-04 09:00:00,-1.416488,-0.996146,-1.788569,0.342711,-0.119051
2014-01-04 10:00:00,1.192561,-2.170234,1.522925,-0.444345,-0.467053
2014-01-04 11:00:00,-1.201350,-1.040608,0.323832,-0.986907,0.930983
2014-01-04 12:00:00,-1.307098,0.954466,-1.504673,-0.017373,0.980805
2014-01-04 13:00:00,-0.429444,-0.363381,0.445944,-0.877983,-0.536999
2014-01-04 14:00:00,-0.692107,0.217308,0.742309,0.631084,0.840755
2014-01-04 15:00:00,-0.536364,0.828313,-0.691307,-0.079123,-0.639614
2014-01-04 16:00:00,-2.354700,0.886938,1.194950,0.696217,-0.261448
2014-01-04 17:00:00,-0.433557,1.800766,-0.515338,-0.789175,0.254727
2014-01-04 18:00:00,-0.493971,0.100182,1.277553,-0.415991,1.124848
2014-01-04 19:00:00,-0.940855,-0.280202,0.341482,-0.309957,0.472905
2014-01-04 20:00:00,-0.626067,-0.068368,1.117402,1.563995,1.363857
2014-01-04 21:00:00,-0.302834,-0.724987,0.767236,1.077236,-0.686576
2014-01-04 22:00:00,-1.646003,-0.316547,-0.111334,0.095101,-1.163988
2014-01-04 23:00:00,0.573626,0.679925,1.538350,-0.399995,-0.562969
2014-01-05 00:00:00,-1.061084,-1.193590,-0.670398,-0.411762,-1.205576
2014-01-05 01:00:00,0.315710,0.516215,-1.406065,0.030721,-0.657934
2014-01-05 02:00:00,1.189601,0.762090,2.049346,-0.675732,-0.959659
2014-01-05 03:00:00,1.984487,0.518250,1.213297,0.763158,0.288532
2014-01-05 04:00:00,-0.475014,-0.288635,-0.154896,-1.567478,0.517574
2014-01-05 05:00:00,-0.045787,1.593741,-1.958175,-0.330910,0.031855
2014-01-05 06:00:00,1.128206,0.053823,0.969927,-1.211064,0.071329
2014-01-05 07:00:00,-0.420302,-1.496621,-0.195433,-0.095131,-0.488747
2014-01-05 08:00:00,0.207930,0.657168,0.899941,-3.388106,-1.210079
2014-01-05 09:00:00,-0.153883,-0.043367,-0.020518,0.807449,0.919798
2014-01-05 10:00:00,0.945560,-1.474118,0.368091,1.584444,-0.824384
2014-01-05 11:00:00,-0.665031,0.083812,-0.753933,0.606943,0.191673
2014-01-05 12:00:00,0.944190,0.419893,0.788958,1.039853,1.191860
2014-01-05 13:00:00,-0.621984,0.290250,-0.054621,-0.176553,0.958023
2014-01-05 14:00:00,1.219700,0.516721,-0.961513,1.711099,1.852247
2014-01-05 15:00:00,0.371877,0.660533,-0.182174,-0.047941,0.618410
2014-01-05 16:00:00,0.046007,0.547665,0.084697,-0.750837,1.644249
2014-01-05 17:00:00,-1.072417,0.036806,-0.113026,-0.506791,-1.579636
2014-01-05 18:00:00,0.117993,-0.033411,0.221113,-0.161136,-0.803634
2014-01-05 19:00:00,-0.006405,0.194875,-0.750624,-1.009099,0.475149
2014-01-05 20:00:00,0.075033,0.974506,-0.361983,-0.898736,1.230606
2014-01-05 21:00:00,0.303013,-0.290115,0.183167,0.744712,1.097964
2014-01-05 22:00:00,0.499074,-0.680765,0.948823,-0.815857,0.839234
2014-01-05 23:00:00,1.205385,0.451629,-1.106129,-0.424555,-0.050282
2014-01-06 00:00:00,-0.037548,1.676891,0.384099,-1.163020,-1.202469
2014-01-06 01:00:00,-0.544124,1.064770,0.238708,-0.627391,-0.441451
2014-01-06 02:00:00,-2.006292,-1.106167,-0.497416,1.222033,-1.002908
2014-01-06 03:00:00,-0.277535,1.152040,-0.625189,-1.560107,-0.809920
2014-01-06 04:00:00,-0.397161,0.170083,-0.809911,-0.883809,0.388562
2014-01-06 05:00:00,0.063262,-1.902468,0.488095,2.764086,1.740562
