Total Return Indices - EURO Currency
Date    ;Blue-Chip;Blue-Chip;Broad    ; Broad   ;Ex UK    ;Ex Euro Zone;Blue-Chip; Broad
        ;  Europe ;Euro-Zone;Europe   ;Euro-Zone;         ;            ; Nordic  ; Nordic
        ;  SX5R   ;  SX5T  ; SXXR    ; SXXT     ; SXXG    ;    SXXB   ;     DK5G ; DKXG
31.12.1986;682.95;804.28;73.56;88.58;88.5;60.66;595.04;60.72
01.01.1987;682.95;804.28;73.56;88.58;88.5;60.66;595.04;60.72
02.01.1987;679.33;796.21;73.4;87.88;87.93;60.93;597.22;60.95
05.01.1987;680.22;802.06;73.62;88.6;88.62;60.75;599.36;60.96
06.01.1987;683.77;805.62;74.03;89.13;89.2;61.05;601.71;61.19
07.01.1987;688.43;802.8;74.47;88.93;89;62.01;601.23;61.32
08.01.1987;685.26;792.28;74.24;87.95;88.16;62.38;595.32;60.78
09.01.1987;678.37;775.26;73.8;86.54;86.84;62.72;588.38;60.33
12.01.1987;683.02;785.17;74.35;87.65;87.71;62.8;584.79;60.23
13.01.1987;678.55;779.22;73.78;86.96;86.98;62.34;574;59.16
14.01.1987;680.35;782.47;73.77;87.29;87.17;62.06;556.65;57.85
15.01.1987;686.59;789.6;74.46;88.15;88.08;62.61;571.76;59.17
16.01.1987;688.82;789.07;74.8;88.16;88.15;63.2;575.23;59.88
19.01.1987;681.57;782.26;74.13;87.45;87.48;62.56;581.5;60.44
20.01.1987;681.63;781.32;74.22;87.28;87.39;62.87;588.01;60.92
21.01.1987;679.51;778.97;74.09;87.18;87.31;62.72;589.62;61.18
22.01.1987;681.55;782.74;74.21;87.56;87.5;62.63;578.62;60.22
23.01.1987;685.83;788.92;74.77;88.31;88.15;63.04;579.58;60.16
26.01.1987;678;777.63;74.11;87.18;87.14;62.76;575.95;59.93
27.01.1987;680.45;775.16;74.34;86.96;86.86;63.35;566.45;58.97
28.01.1987;662.36;748.73;72.77;84.4;84.4;62.58;557.11;58.22
29.01.1987;667.21;756.57;73.17;85.21;85.26;62.63;565.36;58.96
30.01.1987;675.52;767.02;73.96;86.29;86.25;63.19;577.33;59.94
02.02.1987;673.18;758.05;73.81;85.49;85.56;63.56;582.67;60.39
03.02.1987;666.73;749.63;73.17;84.51;84.69;63.19;594.89;61.4
04.02.1987;671.8;748.67;73.53;84.36;84.52;63.97;593.71;61.4
05.02.1987;672.91;743.76;73.68;83.76;83.93;64.71;599.52;61.89
06.02.1987;683.2;751.97;74.55;84.45;84.54;65.71;594.81;61.46
09.02.1987;684.43;754.2;74.7;84.8;84.89;65.68;584.99;60.48
10.02.1987;673.89;748.11;73.7;84.17;84.18;64.42;582.05;60.16
11.02.1987;678.1;747.8;74.05;83.97;84;65.19;585.67;60.56
12.02.1987;676.45;750.45;73.97;84.22;84.29;64.86;588.89;60.76
13.02.1987;679.69;751.36;74.45;84.4;84.48;65.55;586.54;60.49
