Total Return Indices - US$ Currency
Date    ;Blue-Chip;Blue-Chip;Broad    ; Broad   ;Ex UK    ;Ex Euro Zone;Blue-Chip; Broad
        ;  Europe ;Euro-Zone;Europe   ;Euro-Zone;         ;            ; Nordic  ; Nordic
        ;  SX5V   ;  SX5U   ;SXXV     ;SXXU     ; SXXI    ;    SXXD    ;    DK5I;DKXI
31.12.1986;550.8;648.65;59.33;71.44;71.38;48.92;479.9;48.97
01.01.1987;550.8;648.65;59.33;71.44;71.38;48.92;479.9;48.97
02.01.1987;549.06;643.53;59.32;71.03;71.07;49.25;482.7;49.26
05.01.1987;546.59;644.49;59.16;71.2;71.21;48.81;481.61;48.98
06.01.1987;551.93;650.29;59.75;71.95;72;49.28;485.69;49.39
07.01.1987;552.36;644.12;59.75;71.35;71.41;49.75;482.39;49.2
08.01.1987;551.35;637.46;59.73;70.76;70.93;50.19;478.99;48.9
09.01.1987;547.75;625.98;59.59;69.88;70.12;50.64;475.09;48.71
12.01.1987;555.64;638.74;60.48;71.3;71.35;51.09;475.73;49
13.01.1987;558.7;641.58;60.75;71.6;71.62;51.33;472.61;48.71
14.01.1987;563.84;648.48;61.14;72.34;72.24;51.44;461.32;47.94
15.01.1987;576.29;662.75;62.5;73.99;73.93;52.55;479.91;49.67
16.01.1987;574.94;658.62;62.43;73.58;73.57;52.75;480.13;49.98
19.01.1987;580.49;666.24;63.13;74.48;74.5;53.28;495.26;51.47
20.01.1987;571.75;655.36;62.26;73.21;73.3;52.74;493.21;51.1
21.01.1987;567.55;650.62;61.88;72.82;72.92;52.38;492.47;51.1
22.01.1987;579.02;664.99;63.05;74.39;74.34;53.21;491.57;51.16
23.01.1987;580.41;667.66;63.28;74.74;74.6;53.35;490.49;50.91
26.01.1987;573.21;657.43;62.66;73.7;73.67;53.06;486.93;50.66
27.01.1987;579.54;660.19;63.32;74.06;73.98;53.95;482.44;50.23
28.01.1987;572.48;647.13;62.9;72.95;72.95;54.08;481.51;50.32
29.01.1987;573.74;650.59;62.92;73.27;73.31;53.86;486.16;50.7
30.01.1987;567.58;644.46;62.14;72.5;72.47;53.09;485.07;50.36
02.02.1987;571.13;643.13;62.62;72.53;72.59;53.92;494.34;51.23
03.02.1987;571.69;642.77;62.74;72.47;72.62;54.18;510.09;52.65
04.02.1987;570.35;635.61;62.43;71.62;71.75;54.31;504.05;52.13
05.02.1987;565.45;624.98;61.91;70.38;70.53;54.37;503.78;52.01
06.02.1987;568.92;626.18;62.08;70.32;70.4;54.71;495.31;51.18
09.02.1987;578.57;637.56;63.14;71.69;71.76;55.52;494.51;51.12
10.02.1987;577.1;640.67;63.12;72.08;72.09;55.16;498.45;51.52
11.02.1987;575.18;634.3;62.81;71.23;71.25;55.3;496.77;51.37
12.02.1987;572.6;635.25;62.62;71.29;71.35;54.9;498.49;51.43
13.02.1987;573.85;634.36;62.85;71.26;71.33;55.34;495.21;51.07
16.02.1987;579.53;639.62;63.54;71.96;71.92;56.01;496.57;51.16
17.02.1987;578.85;632.9;63.66;71.32;71.43;56.74;503.13;51.72
18.02.1987;577.88;627.94;63.51;70.61;70.73;57.03;501.05;51.56
19.02.1987;578.66;633.98;63.37;71.12;71.24;56.39;506.5;51.96
20.02.1987;583.9;637.05;63.99;71.61;71.59;57.09;511.39;52.44
23.02.1987;578.35;633.36;63.67;71.33;71.12;56.74;515.57;52.9
24.02.1987;577.88;628.85;63.48;70.96;70.76;56.71;508.34;52.19
25.02.1987;583.67;629.64;63.93;70.97;70.98;57.5;509.64;52.3
26.02.1987;587.41;634.09;64.31;71.37;71.39;57.86;516.81;52.95
27.02.1987;587.47;635.25;64.46;71.51;71.52;58.01;520.19;53.29
02.03.1987;589.53;636.13;64.78;71.63;71.53;58.48;522.77;53.54
03.03.1987;590.77;632.31;64.8;71.26;71.22;58.82;525.28;53.78
04.03.1987;597.15;640.35;65.31;72;71.93;59.15;529.53;53.98
05.03.1987;601.83;644.85;65.78;72.37;72.4;59.68;532.89;54.12
06.03.1987;601.79;645.78;65.9;72.4;72.42;59.89;532.63;54.17
09.03.1987;593.89;639.64;65.2;71.74;71.79;59.15;531.76;54.15
10.03.1987;594.05;637.48;65.23;71.48;71.58;59.42;533.16;54.23
11.03.1987;590.88;631.35;64.99;70.85;71;59.49;529.77;53.96
12.03.1987;593.5;636.1;65.3;71.28;71.38;59.7;530.57;54.06
13.03.1987;592.66;639.27;65.28;71.52;71.57;59.48;535.94;54.49
16.03.1987;595.33;644.84;65.64;72.3;72.31;59.5;539.41;54.74
17.03.1987;600.68;643.97;66.22;72.2;72.19;60.61;541.74;54.93
18.03.1987;602.03;644.89;66.34;72.29;72.33;60.76;547.02;55.34
19.03.1987;594.41;637.55;65.73;71.6;71.67;60.21;549.17;55.51
20.03.1987;598.53;641.89;66.16;72.04;71.93;60.63;548.3;55.5
23.03.1987;611.49;656.12;67.32;73.37;73.15;61.65;552.43;55.9
24.03.1987;616.49;659.8;67.8;73.75;73.62;62.2;557.94;56.41
25.03.1987;614.2;659.03;67.57;73.72;73.69;61.81;559.03;56.47
26.03.1987;616.98;663.92;67.79;74.21;74.1;61.82;563.04;56.83
27.03.1987;621.84;670.72;68.29;74.97;74.88;62.09;564.26;56.88
30.03.1987;619.12;673.98;68;75.45;75.3;61.19;561.43;56.78
31.03.1987;616.13;668.62;67.6;74.93;74.81;60.9;553.89;56.21
01.04.1987;614.96;674.98;67.33;75.42;75.09;60.01;547.25;55.71
02.04.1987;618.47;677.13;67.53;75.57;75.26;60.26;543.29;55.38
03.04.1987;620.01;680.2;67.77;76.02;75.81;60.32;550.11;56.06
06.04.1987;627.6;685.79;68.37;76.44;76.16;61.07;558.9;56.75
07.04.1987;626.25;682.64;68.08;75.98;75.76;60.9;558.77;56.73
08.04.1987;621.03;677.08;67.43;75.22;75;60.36;553.92;56.2
09.04.1987;622.05;682.17;67.71;75.79;75.57;60.41;558.41;56.65
10.04.1987;617.44;679.43;67.45;75.78;75.52;59.95;554.39;56.43
13.04.1987;608.44;672.28;66.83;75.23;74.96;59.28;552.47;56.31
14.04.1987;611.43;679.32;67.12;75.93;75.55;59.23;550.12;56.12
15.04.1987;616.92;685.02;67.61;76.41;76.04;59.72;556.71;56.6
16.04.1987;619.79;685.5;67.92;76.47;76.05;60.24;559.2;56.8
17.04.1987;619.7;685.94;67.94;76.5;76.08;60.24;559.23;56.83
20.04.1987;619.39;683.85;67.87;76.35;75.95;60.24;558.71;56.8
21.04.1987;618.89;682.68;67.79;76.29;75.88;60.15;558.93;56.83
22.04.1987;622.17;686.51;67.98;76.54;76.11;60.28;561.06;56.99
23.04.1987;625.15;686.54;68.4;76.74;76.35;60.88;567.64;57.55
24.04.1987;635.09;690.95;69.53;77.31;76.99;62.43;580.54;58.8
27.04.1987;628.51;679.42;68.99;76.13;76;62.42;576.37;58.59
28.04.1987;631.75;679.71;69.08;75.94;75.66;62.74;571.77;58.09
