Industry Indices: Price - US$ Currency Europe;Europe;;;;;Eurozone;;;;
Date;Bas Mater ;Cns Goods ;Cns Svcs ;Fincl ;Indus ;Bas Mater ;Cns Goods ;Cns Svcs ;Fincl ;Indus
    ;SXBSCL;S3000L;S5000L;SXFINL;SXIDUL;SXBSCK;S3000K;S5000K;SXFINK;SXIDUK
31.12.1986;70.22;;;87.2;65.5;78.09;;;92.77;71.36
01.01.1987;70.22;;;87.2;65.5;78.09;;;92.77;71.36
02.01.1987;69.99;;;87.45;65.77;77.51;;;92.81;70.94
05.01.1987;69.89;;;87.39;65.52;77.6;;;92.97;71.27
06.01.1987;70.88;;;88.07;66.2;78.62;;;93.59;72.22
07.01.1987;70.92;;;87.57;66.52;77.93;;;92.73;71.52
08.01.1987;70.46;;;87.33;67.06;76.92;;;92.04;71.24
09.01.1987;69.96;;;86.93;67.21;75.27;;;91.11;70.68
12.01.1987;71.14;;;88.01;68.24;76.48;;;92.74;72.35
13.01.1987;71.52;;;88.25;68.61;76.76;;;93.22;72.51
14.01.1987;71.91;;;88.88;68.96;77.35;;;94.18;73.37
15.01.1987;73.13;;;91.37;70.46;78.55;;;96.86;75.07
16.01.1987;72.98;;;91.39;70.6;78.16;;;96.41;74.7
19.01.1987;73.87;;;92.61;71.19;79.05;;;97.73;75.41
20.01.1987;72.94;;;91.04;70.35;77.64;;;95.81;74.07
21.01.1987;72.36;;;90.46;69.81;77.02;;;95.28;73.64
22.01.1987;74.17;;;91.96;71.05;79.14;;;97.05;75.69
23.01.1987;74.35;;;91.94;71.42;79.3;;;97.16;76.35
26.01.1987;73.35;;;90.82;70.84;77.8;;;95.43;75.69
27.01.1987;73.87;;;91.52;71.98;77.88;;;96.07;76.1
28.01.1987;73.28;;;90.6;72.12;76.28;;;94.63;75.82
29.01.1987;73.51;;;91.12;71.68;76.91;;;95.88;75.56
30.01.1987;72.79;;;89.82;70.58;76.21;;;94.77;74.53
02.02.1987;73.62;;;89.8;71.45;76.38;;;94.27;75.06
03.02.1987;73.61;;;89.65;71.85;76.12;;;93.85;75.13
04.02.1987;74.04;;;88.54;71.63;75.75;;;92.64;73.86
05.02.1987;73.45;;;87.03;71.29;74.64;;;90.38;72.59
06.02.1987;73.77;;;87.05;71.49;75.4;;;90.24;72.29
09.02.1987;75.21;;;88.94;73.06;77.35;;;92.1;73.78
