Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,12998.44,13049.47,12931.22,12953.41,98414880,12953.41
24-Oct-17,12998.66,13055.65,12983.38,13013.19,94414800,13013.19
23-Oct-17,13014.57,13069.4,12973.43,13003.14,59592200,13003.14
20-Oct-17,13057.78,13063.57,12956.42,12991.28,81061300,12991.28
19-Oct-17,13036.28,13042.62,12911.58,12990.1,79869000,12990.1
18-Oct-17,13012.8,13094.76,13003.92,13043.03,63736500,13043.03
17-Oct-17,12995.84,13034.42,12967.35,12995.06,68180700,12995.06
16-Oct-17,13017.18,13026.45,13000.38,13003.7,54658400,13003.7
13-Oct-17,12995.08,13036.74,12964.35,12991.87,68144900,12991.87
12-Oct-17,12977.27,13002.34,12945.07,12982.89,74255600,12982.89
11-Oct-17,12965.28,12976.32,12925.24,12970.68,72867400,12970.68
10-Oct-17,12959.72,12980.45,12909.28,12949.25,65253500,12949.25
9-Oct-17,12975.86,12996.64,12943.55,12976.4,60873300,12976.4
6-Oct-17,12979.34,12993.53,12941.15,12955.94,73029000,12955.94
5-Oct-17,12950.18,12969.4,12933.56,12968.05,78532500,12968.05
4-Oct-17,12955.89,12976.24,12893.75,12970.52,115228700,12970.52
3-Oct-17,12955.89,12976.24,12893.75,12970.52,115228700,12970.52
2-Oct-17,12866.27,12902.65,12849.59,12902.65,72676600,12902.65
29-Sep-17,12725.87,12828.86,12722.38,12828.86,104900700,12828.86
28-Sep-17,12682.37,12708.7,12666.03,12704.65,84947500,12704.65
27-Sep-17,12630.4,12685.19,12625.55,12657.41,79754300,12657.41
26-Sep-17,12557.44,12629.93,12551.87,12605.2,73188900,12605.2
25-Sep-17,12573.35,12633.06,12564.84,12594.81,78636700,12594.81
22-Sep-17,12569.66,12646.56,12568.8,12592.35,76471000,12592.35
21-Sep-17,12601.95,12621.28,12582.04,12600.03,100812400,12600.03
20-Sep-17,12550.92,12593.25,12518.22,12569.17,101687800,12569.17
19-Sep-17,12556.46,12566.2,12527.9,12561.79,74220900,12561.79
18-Sep-17,12593.55,12613.56,12537.07,12559.39,58346600,12559.39
15-Sep-17,12525.36,12561.35,12506.94,12518.81,192005900,12518.81
14-Sep-17,12524.12,12552.16,12499.55,12540.45,83038500,12540.45
13-Sep-17,12489.25,12565.85,12489.25,12553.57,79884400,12553.57
12-Sep-17,12527.44,12558.03,12512.59,12524.77,85086300,12524.77
11-Sep-17,12381.52,12481.77,12381.33,12475.24,76820300,12475.24
8-Sep-17,12261.81,12321.61,12245.33,12303.98,61395700,12303.98
7-Sep-17,12284.14,12363.6,12265.51,12296.63,93698400,12296.63
6-Sep-17,12071.9,12260.76,12066.84,12214.54,83032800,12214.54
5-Sep-17,12125.42,12210.25,12100.26,12123.71,65653200,12123.71
4-Sep-17,12051.8,12138.41,12050.53,12102.21,43695300,12102.21
1-Sep-17,12101.15,12191.23,12085.31,12142.64,73532600,12142.64
31-Aug-17,12098.57,12115.55,12034.18,12055.84,78301400,12055.84
30-Aug-17,12026.45,12040.82,11989.61,12002.47,57255200,12002.47
29-Aug-17,12031.12,12032.32,11868.84,11945.88,97873800,11945.88
28-Aug-17,12105.49,12173.53,12064.36,12123.47,34804100,12123.47
25-Aug-17,12194.73,12249.44,12132.5,12167.94,57519600,12167.94
24-Aug-17,12196.18,12254.75,12169.54,12180.83,62852100,12180.83
23-Aug-17,12227.23,12269.92,12155.74,12174.3,63958300,12174.3
22-Aug-17,12151.76,12234.79,12124.15,12229.34,66555500,12229.34
21-Aug-17,12105.72,12149.58,12021.7,12065.99,69988000,12065.99
18-Aug-17,12103.51,12178.09,12080.74,12165.19,87826700,12165.19
17-Aug-17,12236.6,12290.05,12184.27,12203.46,74151700,12203.46
16-Aug-17,12250.02,12301.4,12240.83,12263.86,64669800,12263.86
15-Aug-17,12208.3,12234.64,12156.87,12177.04,60311100,12177.04
14-Aug-17,12100.17,12195.43,12097,12165.12,77716000,12165.12
11-Aug-17,11961.6,12046.89,11934.92,12014.06,91074000,12014.06
10-Aug-17,12158.69,12158.92,11993.73,12014.3,94920700,12014.3
9-Aug-17,12191.37,12227.52,12100.12,12154,114678900,12154
8-Aug-17,12239.78,12329.97,12184.59,12292.05,69019400,12292.05
7-Aug-17,12305.74,12336,12225.77,12257.17,66014200,12257.17
4-Aug-17,12138.09,12321.98,12123.66,12297.72,95613700,12297.72
