Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	187.75	188.85	186.1	186.35	"424470"	186.35
24-Oct-17	186.4	188.35	185.85	187.4	"519258"	187.4
23-Oct-17	186.5	189.55	186.2	187	"631654"	187
20-Oct-17	187.3	188.45	186.55	187.25	"656414"	187.25
19-Oct-17	190.95	191.2	186.7	186.85	"734469"	186.85
18-Oct-17	192	192.05	189.15	190.5	"725811"	190.5
17-Oct-17	192.5	193.4	190.8	191.3	"451202"	191.3
16-Oct-17	192.3	193.55	191.2	192.15	"381552"	192.15
13-Oct-17	194.55	194.6	193.05	193.1	"364486"	193.1
12-Oct-17	193.8	194.7	193.3	194	"319574"	194
11-Oct-17	194.9	195.1	193.05	194	"493216"	194
10-Oct-17	195.9	196.75	194.2	195	"346239"	195
9-Oct-17	192.95	195.55	192.6	195.1	"379945"	195.1
6-Oct-17	195.45	196.05	193.8	194.2	"439771"	194.2
5-Oct-17	195.45	196.05	193.8	194.2	"439771"	194.2
4-Oct-17	196.75	197	193.85	195.05	"484711"	195.05
3-Oct-17	196.1	196.1	196.1	196.1	"484711"	196.1
2-Oct-17	193.8	196.95	192.85	196.1	"611246"	196.1
29-Sep-17	188.25	192.1	187.8	191.4	"766339"	191.4
28-Sep-17	188.2	188.6	187.35	188.25	"404778"	188.25
27-Sep-17	186.2	190.15	185.2	187.85	"792282"	187.85
26-Sep-17	192.7	192.7	187.35	188.05	"1079611"	188.05
25-Sep-17	191.85	194.3	191.4	192.75	"424923"	192.75
22-Sep-17	192.9	193.7	192.05	192.25	"563895"	192.25
21-Sep-17	193.6	193.85	192.05	193.5	"334530"	193.5
20-Sep-17	194.1	194.6	192.8	193.25	"392623"	193.25
19-Sep-17	196.9	196.9	194.05	194.95	"423406"	194.95
18-Sep-17	198.95	198.95	196.4	196.9	"352907"	196.9
15-Sep-17	197.7	198.85	197.05	197.9	"1901380"	197.9
14-Sep-17	198.65	198.65	196.8	197.65	"548399"	197.65
13-Sep-17	197.55	199.25	197.05	199.2	"484384"	199.2
12-Sep-17	198	198.7	197.5	197.9	"364748"	197.9
11-Sep-17	196.55	198.1	196.25	197.6	"437912"	197.6
8-Sep-17	194.6	195.6	193.45	194.95	"386121"	194.95
7-Sep-17	192.45	196.1	192	195.4	"697630"	195.4
6-Sep-17	187.9	191.75	187.1	191.25	"469039"	191.25
5-Sep-17	190	191.95	188.6	189.6	"409811"	189.6
4-Sep-17	189.45	190.35	188.55	189.55	"208937"	189.55
1-Sep-17	189.45	192.6	189.45	190.4	"559620"	190.4
31-Aug-17	186.55	189.55	186.55	188.55	"604852"	188.55
30-Aug-17	184.8	187.35	184.45	185.7	"482763"	185.7
29-Aug-17	183.9	184.1	181.4	183.2	"663997"	183.2
28-Aug-17	186.55	187.25	185.1	185.3	"337293"	185.3
25-Aug-17	186.8	189.55	184.65	187.7	"704605"	187.7
24-Aug-17	188.85	190.25	188.6	188.6	"275284"	188.6
23-Aug-17	189.6	190.7	188.35	188.75	"394942"	188.75
22-Aug-17	188.75	190	188.2	189.35	"378542"	189.35
21-Aug-17	187.8	190.5	186.6	187.75	"596043"	187.75
18-Aug-17	190.8	192.4	183.25	189.25	"1516282"	189.25
17-Aug-17	192.6	194.15	191.6	191.75	"452276"	191.75
16-Aug-17	195.4	195.85	193.2	193.5	"314212"	193.5
15-Aug-17	194.3	196.2	193.75	194.3	"330076"	194.3
14-Aug-17	193	194.05	191.8	193.9	"519104"	193.9
11-Aug-17	191	192.1	190.45	192	"529554"	192
10-Aug-17	193.4	194.1	191.2	191.3	"583376"	191.3
9-Aug-17	198	198.15	193.1	193.4	"789906"	193.4
8-Aug-17	198.65	199.75	197.65	199.3	"484666"	199.3
7-Aug-17	199.3	199.55	197.8	199.25	"634772"	199.25
4-Aug-17	194	202.1	193.6	199.95	"998753"	199.95
3-Aug-17	190.45	193.25	188.55	193.15	"559611"	193.15
2-Aug-17	191.55	193.75	191.35	191.85	"522062"	191.85
1-Aug-17	193.9	194.15	191.15	191.7	"628723"	191.7
31-Jul-17	192.5	193.75	191.7	193	"771207"	193
28-Jul-17	190	193.7	188.65	192.55	"2162979"	192.55
27-Jul-17	176.7	178.55	176.05	177	"525789"	177
26-Jul-17	177.5	178.1	176.2	176.95	"529067"	176.95
25-Jul-17	177.2	177.7	176.05	176.6	"522060"	176.6
24-Jul-17	177.6	178.3	176.45	176.75	"485992"	176.75
21-Jul-17	179.8	180.8	176.75	177.2	"802659"	177.2
20-Jul-17	180.05	181.35	178.4	179.75	"582309"	179.75
19-Jul-17	181	181	178.9	179.1	"452784"	179.1
18-Jul-17	181.2	181.7	179.25	180.05	"637995"	180.05
17-Jul-17	181.2	183.25	179.55	181.9	"667714"	181.9
14-Jul-17	180.6	181.15	179.95	180.6	"427082"	180.6
13-Jul-17	179.25	180.65	179.25	180.4	"621520"	180.4
12-Jul-17	175.2	179.25	174.95	178.5	"830311"	178.5
11-Jul-17	175.05	176.15	173.9	174.9	"662671"	174.9
10-Jul-17	176.9	177	174.45	175.05	"439873"	175.05
7-Jul-17	176.4	176.5	174.65	176.2	"492687"	176.2
6-Jul-17	177.7	179.5	174.65	176.8	"1110686"	176.8
5-Jul-17	171.6	177.8	171.6	176.6	"1477722"	176.6
4-Jul-17	168.2	169.2	167.8	168.35	"305245"	168.35
3-Jul-17	168.5	169.8	168	168.9	"461873"	168.9
30-Jun-17	165.1	170	165	167.75	"1016761"	167.75
29-Jun-17	168.7	168.8	163.45	164.35	"1118165"	164.35
28-Jun-17	167.85	169.8	167.6	168.15	"501521"	168.15
27-Jun-17	168.6	169.05	167.4	168.8	"425644"	168.8
26-Jun-17	169.25	170	168.4	168.8	"339014"	168.8
23-Jun-17	169	169.45	168.1	168.5	"458352"	168.5
22-Jun-17	170.8	170.95	169.35	169.6	"401022"	169.6
21-Jun-17	171.55	171.55	169.75	170.85	"459132"	170.85
20-Jun-17	175.3	175.3	171.95	172	"544632"	172
19-Jun-17	175	175.55	174.1	174.75	"386916"	174.75
16-Jun-17	173.75	174.85	173.1	174.05	"1856697"	174.05
15-Jun-17	177.55	177.85	172.85	173.65	"1022877"	173.65
14-Jun-17	174.95	178.65	174.95	177.6	"973267"	177.6
13-Jun-17	172.8	175.7	171.6	175.7	"841699"	175.7
12-Jun-17	169.9	172.6	169.25	172.4	"699432"	172.4
9-Jun-17	168.75	170.95	168.25	170	"910658"	170
8-Jun-17	171.05	171.25	168	168.75	"536891"	168.75
7-Jun-17	168	171.85	167.3	171.3	"748764"	171.3
6-Jun-17	170.4	170.8	168.7	168.75	"530780"	168.75
5-Jun-17	171.5	171.5	171.5	171.5	"496966"	171.5
2-Jun-17	172.55	173.1	171.45	171.5	"496966"	171.5
1-Jun-17	170.75	171.8	170.25	171	"551414"	171
31-May-17	174	174	170.25	170.25	"977853"	170.25
30-May-17	172.4	174.5	171.85	173.8	"537842"	173.8
29-May-17	172.4	173.05	171.75	172.8	"290186"	172.8
26-May-17	171.05	172.2	170.2	172.15	"551430"	172.15
25-May-17	170.6	171.85	167.7	171.05	"612923"	171.05
24-May-17	170.6	171	169.85	169.85	"467193"	169.85
23-May-17	171.05	171.7	169.8	171.35	"513269"	171.35
22-May-17	172.7	173.7	169.25	171.9	"815418"	171.9
19-May-17	174.25	175.6	172.5	172.5	"860362"	172.5
18-May-17	174.25	175.95	174.1	174.35	"734082"	174.35
17-May-17	176.45	176.6	173.75	173.85	"542158"	173.85
16-May-17	177.4	178.05	176	177.25	"381182"	177.25
15-May-17	177	177.3	175.7	177.3	"459789"	177.3
12-May-17	176.9	177.45	175.7	176.2	"615639"	176.2
11-May-17	181.05	182	178.2	179	"927041"	177
10-May-17	183	183.4	180.45	180.6	"732327"	178.58
9-May-17	183.3	184.25	181.8	183.85	"497189"	181.8
8-May-17	185.45	185.45	181.5	182.4	"656708"	180.36
5-May-17	183.05	185.25	182.55	184.15	"818710"	182.09
4-May-17	185.3	188.95	183.3	183.8	"831808"	181.75
3-May-17	182.7	183.15	179.35	182.15	"717246"	180.11
2-May-17	183.9	184.75	182.35	183.1	"625631"	181.05
28-Apr-17	183.7	185.9	183.3	183.9	"652878"	181.85
27-Apr-17	185.2	185.95	184.35	184.35	"489836"	182.29
26-Apr-17	185.9	186.3	184.3	185.35	"468211"	183.28
25-Apr-17	185.3	186.35	184.3	185.7	"531546"	183.63
24-Apr-17	186.3	187	182.9	184.35	"907294"	182.29
21-Apr-17	178.65	181.25	178.15	180.4	"926045"	178.38
20-Apr-17	177.1	178.7	176.55	178.2	"615875"	176.21
19-Apr-17	177.95	178.5	176.65	177.3	"391724"	175.32
18-Apr-17	178.05	179.75	177.95	177.95	"502509"	175.96
13-Apr-17	177.35	178.8	176.75	178.05	"518083"	176.06
12-Apr-17	176.15	177.45	175.25	177.45	"501507"	175.47
11-Apr-17	176.65	178.3	174.65	175.8	"475036"	173.84
10-Apr-17	178.4	178.65	176.65	177.4	"270234"	175.42
7-Apr-17	176.15	178.3	175.5	178.3	"514932"	176.31
6-Apr-17	174.45	176.95	173.95	176.6	"478895"	174.63
5-Apr-17	177	177.6	175.5	175.6	"513493"	173.64
4-Apr-17	175.9	178.15	175.3	177.6	"520198"	175.62
3-Apr-17	178.9	179.45	175.85	175.85	"455509"	173.89
31-Mar-17	177.45	178.35	177.05	178.3	"565648"	176.31
30-Mar-17	178.1	178.7	176.8	177.8	"394414"	175.81
29-Mar-17	178.4	178.8	177.2	177.95	"375436"	175.96
28-Mar-17	177.95	178.35	176.65	177.95	"503175"	175.96
27-Mar-17	177.5	178.05	175.65	176.05	"624775"	174.08
24-Mar-17	179.45	179.85	178.3	178.55	"421676"	176.56
23-Mar-17	179.45	179.9	177.6	179.45	"567642"	177.44
22-Mar-17	179	179.85	178.45	179	"747970"	177
21-Mar-17	181.55	182.75	179.45	180.7	"656873"	178.68
20-Mar-17	182.55	183.25	181.2	181.45	"446196"	179.42
17-Mar-17	182.75	184.25	182.15	183.2	"895017"	181.15
16-Mar-17	181.9	185.05	181.7	183.05	"1125453"	181
15-Mar-17	177.25	179.6	176.5	179.6	"751624"	177.59
14-Mar-17	179.5	180.2	175.15	175.6	"1000932"	173.64
13-Mar-17	179.7	180.15	178.8	179.9	"708576"	177.89
10-Mar-17	179.4	179.6	177.2	179.45	"792790"	177.44
9-Mar-17	175	180.05	173.9	178.05	"1400718"	176.06
8-Mar-17	168.1	175	168.1	174.85	"3362506"	172.9
7-Mar-17	160.2	161.3	159.15	159.8	"650204"	158.01
6-Mar-17	160.75	161.85	159.5	160	"612986"	158.21
3-Mar-17	161.6	161.85	160.6	161	"609704"	159.2
2-Mar-17	160.55	163.75	159.45	162.75	"654543"	160.93
1-Mar-17	157.4	160.75	157.35	160.7	"669074"	158.9
28-Feb-17	157.1	158.85	156.5	158.4	"774756"	156.63
27-Feb-17	156.5	158.65	156.5	157.8	"884916"	156.04
24-Feb-17	152.85	153.4	150.9	151.9	"533288"	150.2
23-Feb-17	153.15	153.4	152.35	152.95	"356447"	151.24
22-Feb-17	151.75	153.45	150.95	153.15	"683490"	151.44
21-Feb-17	148.45	152.75	148.4	152.05	"521084"	150.35
20-Feb-17	149.45	149.65	148.2	148.4	"329148"	146.74
17-Feb-17	148.2	148.6	146.45	148.45	"678885"	146.79
16-Feb-17	149.4	149.95	147.6	147.6	"572259"	145.95
15-Feb-17	150.85	151.1	149	149.55	"450100"	147.88
14-Feb-17	151.55	152.4	150.75	150.8	"411384"	149.12
13-Feb-17	149.85	152.2	149.25	151.25	"415760"	149.56
10-Feb-17	149	150.05	148.65	149.4	"473664"	147.73
9-Feb-17	144.75	148.45	144.35	148	"642175"	146.35
8-Feb-17	143.8	144.3	142.85	144	"480704"	142.39
7-Feb-17	143	145.8	142.6	144.3	"578766"	142.69
6-Feb-17	146.25	146.55	143.8	143.8	"965588"	142.19
3-Feb-17	146.9	147.9	146.2	147	"509997"	145.36
2-Feb-17	147	148.35	146.5	146.95	"466670"	145.31
1-Feb-17	146.15	148.35	145.6	147.3	"807251"	145.65
31-Jan-17	150.2	152	145.65	145.65	"1333715"	144.02
30-Jan-17	153.1	153.75	150.15	150.5	"629433"	148.82
27-Jan-17	155.55	156.35	153.2	153.85	"698509"	152.13
26-Jan-17	154.95	155.65	154.35	155.4	"504806"	153.66
25-Jan-17	154	155.75	153.55	153.85	"600743"	152.13
24-Jan-17	153.15	155.2	152.6	152.8	"582573"	151.09
23-Jan-17	151.4	153.5	151.25	152.5	"474302"	150.8
20-Jan-17	151.25	152.9	149.85	152.2	"755126"	150.5
19-Jan-17	151.75	152.85	150.6	152.3	"621644"	150.6
18-Jan-17	147.3	151.8	147.3	151.7	"680676"	150.01
17-Jan-17	147.65	147.8	145.85	147.35	"433069"	145.7
16-Jan-17	146.85	148.9	146.85	148.3	"351401"	146.64
13-Jan-17	146.45	147.95	145.35	147.95	"487101"	146.3
12-Jan-17	144.8	146.5	144.3	146	"534037"	144.37
11-Jan-17	144.75	146.25	144.7	145.55	"412401"	143.92
10-Jan-17	145.25	146.1	144.45	144.8	"460627"	143.18
9-Jan-17	145.1	145.4	144.15	144.5	"583147"	142.89
6-Jan-17	143.8	145.05	142.95	144.8	"641054"	143.18
5-Jan-17	145.25	145.8	143.5	144.3	"739147"	142.69
4-Jan-17	149.4	149.4	146.35	146.4	"618563"	144.76
3-Jan-17	150.9	151.05	148.8	149.25	"641172"	147.58
2-Jan-17	149.75	151.95	149.35	151.3	"445138"	149.61
30-Dec-16	148	150.15	147.55	150.15	"429338"	148.47
29-Dec-16	146.7	148.2	146.4	147.95	"249780"	146.3
28-Dec-16	145.25	147.25	144.95	147.25	"296572"	145.6
27-Dec-16	144.5	145.6	144.5	145.55	"180959"	143.92
23-Dec-16	144.95	145.5	143.8	144.5	"210865"	142.89
22-Dec-16	144.2	145.3	143.8	144.9	"275665"	143.28
21-Dec-16	145.9	147.1	144.55	144.75	"572514"	143.13
20-Dec-16	145.5	146.3	144.95	146.15	"419627"	144.52
19-Dec-16	144.1	145	143.5	145	"364384"	143.38
16-Dec-16	143.35	145.1	143.2	144.75	"1163325"	143.13
15-Dec-16	142.85	143.85	140.95	143.7	"834543"	142.09
14-Dec-16	144.4	144.95	142.15	142.85	"608841"	141.25
13-Dec-16	144.65	146.45	144.65	145.8	"612859"	144.17
12-Dec-16	144.35	145.6	143.75	144.3	"509874"	142.69
9-Dec-16	144.25	145.1	143.85	144.4	"620383"	142.79
8-Dec-16	144.5	145.1	142.7	144.7	"1072977"	143.08
7-Dec-16	142.3	142.45	140.15	142.45	"792920"	140.86
6-Dec-16	141.2	141.45	139.9	141.15	"512447"	139.57
5-Dec-16	138	142.45	138	141	"722690"	139.42
2-Dec-16	137.75	139.45	136.75	138.5	"670724"	136.95
1-Dec-16	138.7	139.95	137.25	137.65	"653981"	136.11
30-Nov-16	138.15	139.5	137.45	139	"930423"	137.45
29-Nov-16	137.2	139.45	136.85	139.4	"573260"	137.84
28-Nov-16	138.45	139.9	137.3	137.6	"513552"	136.06
25-Nov-16	139	139.45	137.7	139.2	"480654"	137.64
24-Nov-16	139.5	140.15	138.5	138.65	"322401"	137.1
23-Nov-16	139.55	140.1	137.75	138.85	"529300"	137.3
22-Nov-16	140.45	140.45	138.35	139.05	"529751"	137.5
21-Nov-16	139.55	139.9	137.75	139.5	"487029"	137.94
18-Nov-16	140	140.65	137.9	139	"708902"	137.45
17-Nov-16	136.95	139.55	135.3	139.5	"560903"	137.94
