Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,197,197.7,196.1,196.45,1009363,196.45
24-Oct-17,195.9,197.9,195.6,197,975460,197
23-Oct-17,197.2,197.55,196.2,196.2,834627,196.2
20-Oct-17,196,197.3,195.95,197,1161129,197
19-Oct-17,196.1,197.15,194.75,195.95,973129,195.95
18-Oct-17,195.3,196.75,195.1,195.95,754611,195.95
17-Oct-17,196,196.1,195.15,195.3,750613,195.3
16-Oct-17,196.05,196.65,195.7,195.9,611723,195.9
13-Oct-17,196,196.6,195,195.55,882004,195.55
12-Oct-17,194.85,195.95,194.2,195.55,884520,195.55
11-Oct-17,193.95,194.35,193.1,194.35,886811,194.35
10-Oct-17,193.9,194.3,192.7,193.5,803314,193.5
9-Oct-17,193.8,194.1,193.05,193.95,705447,193.95
6-Oct-17,191.7,193.6,191.7,193.25,962322,193.25
5-Oct-17,191.7,193.6,191.7,193.25,962322,193.25
4-Oct-17,192.3,192.4,190.85,192.15,1174561,192.15
3-Oct-17,191.25,191.25,191.25,191.25,973352,191.25
2-Oct-17,190,191.25,189.35,191.25,973352,191.25
29-Sep-17,187,189.95,186.85,189.95,1692590,189.95
28-Sep-17,187.4,187.4,186.2,186.85,994227,186.85
27-Sep-17,185.75,187.7,185.5,186.65,991678,186.65
26-Sep-17,185.8,186.15,185,185.45,802286,185.45
25-Sep-17,186.3,187.15,185.55,185.7,830611,185.7
22-Sep-17,185.05,186.9,185,186.7,941984,186.7
21-Sep-17,184.8,186.6,184.6,185.5,811597,185.5
20-Sep-17,184.3,184.9,183.4,184.15,722595,184.15
19-Sep-17,185.5,185.85,184.85,184.95,683560,184.95
18-Sep-17,185.65,186.35,184.75,185.2,833074,185.2
15-Sep-17,185.2,185.35,183.85,184.95,3922199,184.95
14-Sep-17,184.1,185.05,183.55,185,1255254,185
13-Sep-17,183.2,185.15,183.1,184.15,976342,184.15
12-Sep-17,184.6,184.85,183.15,183.4,1111873,183.4
11-Sep-17,182.1,184.5,182.05,183.95,1275503,183.95
8-Sep-17,180,181.15,179.8,180.15,949942,180.15
7-Sep-17,180.5,181.9,179.4,180.15,1206196,180.15
6-Sep-17,178.2,180.15,177.3,179.45,1190042,179.45
5-Sep-17,180.75,181.4,178.4,178.85,1085789,178.85
4-Sep-17,179.6,181.45,179.3,180.55,661825,180.55
1-Sep-17,180.3,181.85,179.8,180.95,897905,180.95
31-Aug-17,179.75,180.8,179.15,179.75,1085810,179.75
30-Aug-17,179.5,180.1,178.4,178.5,764908,178.5
29-Aug-17,180.4,180.5,176.85,178.05,1567522,178.05
28-Aug-17,181.1,182.55,181,181.35,604998,181.35
25-Aug-17,182.65,183.7,182.1,182.2,646532,182.2
