Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,90.1,92.13,90.05,91.05,3073321,91.05
24-Oct-17,91,91,89.42,90.11,2883262,90.11
23-Oct-17,90.64,91.05,90.13,91,1532566,91
20-Oct-17,90.5,90.87,90.36,90.45,2135630,90.45
19-Oct-17,90.43,90.48,89.51,90.05,1755231,90.05
18-Oct-17,89.59,90.47,89.2,90.27,1573149,90.27
17-Oct-17,88.9,89.82,88.9,89.31,1486780,89.31
16-Oct-17,89,89.45,88.85,89.03,1299925,89.03
13-Oct-17,88.5,89.66,88.11,88.9,2137781,88.9
12-Oct-17,89.05,89.38,88.73,89.31,1145312,89.31
11-Oct-17,89.96,90,88.63,89.24,1908710,89.24
10-Oct-17,90.05,90.37,89.54,90,1159041,90
9-Oct-17,90,90.39,89.79,90.21,1058744,90.21
6-Oct-17,89.38,90.33,89.22,90.33,1526329,90.33
5-Oct-17,89.38,90.33,89.22,90.33,1526329,90.33
4-Oct-17,90.1,90.3,89.19,89.57,2290978,89.57
3-Oct-17,89.87,89.87,89.87,89.87,1959604,89.87
2-Oct-17,90.2,90.5,89.26,89.87,1959604,89.87
29-Sep-17,89.48,90.04,89.25,90.04,2726464,90.04
28-Sep-17,88.65,89.29,88.64,89.12,1447373,89.12
27-Sep-17,88.85,89.35,88.61,88.61,1682044,88.61
26-Sep-17,88.25,88.93,88.05,88.89,1333980,88.89
25-Sep-17,88.1,88.87,87.65,88.63,1361532,88.63
22-Sep-17,88.15,88.99,88.1,88.34,1679703,88.34
21-Sep-17,88.03,88.68,88.02,88.43,1380965,88.43
20-Sep-17,87.16,87.85,86.89,87.85,1322166,87.85
19-Sep-17,87.5,87.65,87.11,87.33,1298562,87.33
18-Sep-17,86.91,87.46,86.58,87.46,1713387,87.46
15-Sep-17,86.19,86.95,86.01,86.2,6686146,86.2
14-Sep-17,85.82,86.36,85.82,86.1,2235363,86.1
13-Sep-17,85.75,86.23,85.44,86.13,1879947,86.13
12-Sep-17,86.21,86.46,85.86,86.04,1819646,86.04
11-Sep-17,84.9,85.98,84.65,85.6,2194093,85.6
8-Sep-17,83.47,84.4,83.4,84.4,1698540,84.4
7-Sep-17,83.58,84.55,83.54,83.9,2972667,83.9
6-Sep-17,82.16,83.48,81.99,83.17,2174468,83.17
5-Sep-17,82.44,83.11,82.26,82.67,1808749,82.67
4-Sep-17,81.62,82.6,81.58,82.24,992501,82.24
1-Sep-17,81.8,83.03,81.46,82.44,2297306,82.44
31-Aug-17,82.07,82.33,81.37,81.37,1943147,81.37
30-Aug-17,81.31,81.92,81.2,81.48,1797888,81.48
29-Aug-17,81.24,81.32,80.01,80.67,2602539,80.67
28-Aug-17,82,82.14,81.27,81.76,1213141,81.76
25-Aug-17,82.77,83.04,82.25,82.3,1377522,82.3
24-Aug-17,82.6,82.83,82.21,82.58,1728797,82.58
23-Aug-17,82.28,82.66,82.09,82.37,1581131,82.37
22-Aug-17,81.05,82.38,81.01,82.22,2182242,82.22
21-Aug-17,80.99,81.23,80.21,80.44,1381482,80.44
18-Aug-17,80.71,81.45,80.47,81.4,1974400,81.4
17-Aug-17,81.73,81.99,81.17,81.48,1525508,81.48
16-Aug-17,81.3,82.02,81.3,81.83,1715405,81.83
15-Aug-17,81.12,81.27,80.66,80.93,1001699,80.93
14-Aug-17,80.6,81.29,80.49,80.95,2039348,80.95
11-Aug-17,79.42,80.51,79.24,79.87,2292171,79.87
10-Aug-17,80.7,80.81,79.43,79.8,2255808,79.8
9-Aug-17,81,81.14,80.39,80.64,2080577,80.64
8-Aug-17,81.5,82.12,80.91,81.7,1473764,81.7
7-Aug-17,82.23,82.47,81.47,81.71,1841001,81.71
4-Aug-17,80.5,82.4,80.46,82.11,2497001,82.11
3-Aug-17,80.4,80.83,79.94,80.6,1589396,80.6
2-Aug-17,81.53,81.85,80.24,80.71,2080973,80.71
1-Aug-17,80.71,81.87,79.91,81.25,2360676,81.25
31-Jul-17,80.03,81.58,79.91,80.59,3750807,80.59
28-Jul-17,79.36,79.78,78.97,79.64,2790366,79.64
27-Jul-17,80.25,81.3,79.32,79.74,4175133,79.74
26-Jul-17,80.81,81.42,80.37,81.33,2090337,81.33
25-Jul-17,80.83,81.48,80.74,81,1794812,81
24-Jul-17,80.98,81.39,80.64,80.92,2243673,80.92
21-Jul-17,81.7,82.55,80.11,80.88,4111544,80.88
20-Jul-17,82.29,83.33,81.36,81.79,2761024,81.79
19-Jul-17,81.78,81.99,81.24,81.72,1933905,81.72
18-Jul-17,83.25,83.56,81.37,81.78,2586339,81.78
17-Jul-17,83.77,84.18,82.94,83.61,1415372,83.61
14-Jul-17,82.93,83.72,82.57,83.72,2427354,83.72
13-Jul-17,82.15,83.14,82.11,82.7,1897808,82.7
12-Jul-17,82.1,82.47,81.61,82.12,2222823,82.12
11-Jul-17,81.5,82.27,81.3,81.82,1737434,81.82
10-Jul-17,81.58,81.74,81.15,81.47,1237153,81.47
7-Jul-17,81.2,81.4,80.64,81.12,1557598,81.12
6-Jul-17,82,82.28,80.89,81.34,2534890,81.34
5-Jul-17,82.27,82.67,81.9,82.13,1799044,82.13
4-Jul-17,82.07,82.76,82.02,82.36,1370744,82.36
3-Jul-17,82.06,83,81.6,82.57,1859664,82.57
30-Jun-17,82.2,82.35,81.03,81.09,4041956,81.09
29-Jun-17,84.28,84.59,82.04,82.26,2940053,82.26
28-Jun-17,84.05,84.16,83.35,83.92,2408685,83.92
27-Jun-17,84.88,85.39,84.17,84.39,1890418,84.39
26-Jun-17,85.11,85.8,84.67,84.89,1401576,84.89
23-Jun-17,84.82,85.03,84.16,84.98,1922696,84.98
22-Jun-17,85.75,85.99,85.15,85.56,1499142,85.56
21-Jun-17,86.3,86.47,85.66,85.89,1519583,85.89
20-Jun-17,87.55,87.98,86.47,86.55,1705665,86.55
19-Jun-17,85.72,87.43,85.72,87.12,2177583,87.12
16-Jun-17,85.16,85.62,84.86,85.03,8527036,85.03
15-Jun-17,86.11,86.42,84.44,84.93,2914578,84.93
14-Jun-17,86.62,87.4,86.18,86.18,2352408,86.18
13-Jun-17,86.42,86.67,86.04,86.34,1744153,86.34
12-Jun-17,86.54,86.73,85.43,86.02,1836218,86.02
9-Jun-17,84.39,86.59,84.2,86.59,2949451,86.59
8-Jun-17,83.92,84.42,83.58,84.26,1563565,84.26
7-Jun-17,84.08,84.75,83.71,83.9,1948560,83.9
6-Jun-17,84.78,85.04,84.22,84.39,2161210,84.39
5-Jun-17,85.31,85.31,85.31,85.31,2485532,85.31
2-Jun-17,84.2,85.54,84.11,85.31,2485532,85.31
1-Jun-17,83.91,84.59,83.42,83.83,1830702,83.83
31-May-17,84.15,85.17,83.83,83.84,2968691,83.84
30-May-17,84.53,84.92,84.17,84.17,1748666,84.17
29-May-17,83.75,84.73,83.7,84.7,1070063,84.7
26-May-17,84,84.23,83.17,83.86,1929195,83.86
25-May-17,84.91,85.24,83.77,84.28,1468390,84.28
24-May-17,85.23,85.79,84.53,84.6,2020730,84.6
23-May-17,85,85.81,84.84,85.49,1601059,85.49
22-May-17,86.09,86.27,85.18,85.18,1929269,85.18
19-May-17,85.8,86.28,85.22,85.74,2784821,85.74
18-May-17,85.5,86.2,84.54,85.6,3321997,85.6
17-May-17,86.95,87.34,85.05,85.49,2844320,85.49
16-May-17,88.11,88.48,87.26,87.33,2282718,87.33
15-May-17,87.54,88.47,87.01,88.35,3844064,88.35
12-May-17,90.29,90.6,88.96,89.56,3874954,86.56
11-May-17,90.45,91.05,89.58,90.11,2380862,87.09
10-May-17,89.91,90.53,89.73,90.08,2198506,87.06
9-May-17,89.68,90.6,89.48,89.93,2307444,86.92
8-May-17,90.53,90.53,89.03,89.24,2568102,86.25
5-May-17,89.78,90.14,88.8,90.14,2927832,87.12
4-May-17,89.84,90.68,89.7,90.06,2476782,87.04
3-May-17,89.54,89.68,88.97,89.53,2110103,86.53
2-May-17,89.46,90,88.81,89.54,2615196,86.54
28-Apr-17,89.61,90.22,89.2,89.46,2632064,86.46
27-Apr-17,89.5,90.3,88.66,89.98,3386940,86.97
26-Apr-17,92.33,92.45,90.99,91.19,2289769,88.14
25-Apr-17,92.9,93.05,91.69,92.16,2079206,89.07
24-Apr-17,90.85,93.03,90.55,92.53,3769964,89.43
21-Apr-17,88.72,89.16,88.52,88.77,3303999,85.8
20-Apr-17,88.47,88.99,88.02,88.5,2330043,85.54
19-Apr-17,89.45,89.77,88.76,88.76,1933494,85.79
18-Apr-17,90.77,91.28,89.54,89.54,2040608,86.54
13-Apr-17,91.27,91.48,90.52,90.77,1902921,87.73
12-Apr-17,91.82,92.49,91.16,91.45,1712789,88.39
11-Apr-17,92.21,93.01,90.89,91.81,2450404,88.73
10-Apr-17,93.64,93.77,92.65,92.79,1385941,89.68
7-Apr-17,93.1,93.33,92.76,93.27,1628814,90.15
6-Apr-17,92.81,93.62,92.41,93.51,1503967,90.38
5-Apr-17,94,94.32,93.12,93.13,1617801,90.01
4-Apr-17,93.05,93.94,92.83,93.82,1600319,90.68
3-Apr-17,93.25,93.78,93.05,93.05,1883310,89.93
31-Mar-17,92.98,93.25,92.47,92.92,3005235,89.81
30-Mar-17,92.11,93.26,92.11,93,1879131,89.88
29-Mar-17,91.69,92.37,91.57,92.1,1720123,89.01
28-Mar-17,90.3,91.54,89.98,91.54,1594134,88.47
27-Mar-17,89.53,90.51,89.31,90.03,1788573,87.01
24-Mar-17,89.68,90.42,89.45,90.26,2026974,87.24
23-Mar-17,88.54,89.76,88.42,89.65,1757609,86.65
22-Mar-17,87.84,88.7,87.44,88.7,2212207,85.73
21-Mar-17,89.25,89.65,88.35,88.58,1950094,85.61
20-Mar-17,88.86,89.32,88.57,89,1524049,86.02
17-Mar-17,89.44,90.27,89.18,89.31,4603731,86.32
16-Mar-17,90.5,90.95,89.6,89.73,3295927,86.72
15-Mar-17,88.87,89.66,88.87,89.28,1757622,86.29
14-Mar-17,89,89.25,88.61,88.95,1869226,85.97
13-Mar-17,89.14,89.62,88.92,89.04,1626037,86.06
10-Mar-17,90.45,90.97,89.22,89.3,2565178,86.31
9-Mar-17,89.81,90.97,89.52,90.23,2035708,87.21
8-Mar-17,90.09,90.87,90,90.2,1421783,87.18
7-Mar-17,90.3,90.67,90.1,90.48,1858203,87.45
6-Mar-17,90.01,90.71,89.65,90.08,1623964,87.06
3-Mar-17,89.95,90.71,89.83,90.27,2274339,87.25
2-Mar-17,90,91.59,90,90.36,2881313,87.33
1-Mar-17,88.49,90.11,88.21,89.81,2446735,86.8
28-Feb-17,87.8,88.19,87.28,87.9,2199495,84.96
27-Feb-17,87.65,87.97,87.17,87.7,1940104,84.76
24-Feb-17,88,88,86.41,87.36,5211660,84.43
23-Feb-17,90.1,90.48,89.61,89.95,1686238,86.94
22-Feb-17,90.39,90.77,89.63,90.03,1963390,87.01
21-Feb-17,89.42,90.52,89.27,90.26,1715267,87.24
20-Feb-17,89.46,89.89,89.24,89.64,1226412,86.64
17-Feb-17,89.16,89.49,88.58,89.1,1997092,86.12
16-Feb-17,89.93,90.22,89.19,89.39,1668655,86.4
15-Feb-17,90.15,90.23,89.5,90.04,1819991,87.02
14-Feb-17,90.14,90.56,89.7,89.8,1220713,86.79
13-Feb-17,89.11,90.75,88.92,89.79,1992778,86.78
10-Feb-17,88.66,89.22,88.42,88.55,1481949,85.58
9-Feb-17,88.2,88.59,87.44,88.23,2010088,85.27
8-Feb-17,88.86,88.96,87.4,87.55,2387166,84.62
7-Feb-17,87.19,89.31,86.16,89,2242727,86.02
6-Feb-17,88.71,89.54,87.61,87.61,2383760,84.68
3-Feb-17,89.38,89.5,88,89.07,2108247,86.09
2-Feb-17,89.79,90.61,89.54,89.54,1632446,86.54
1-Feb-17,89.3,90.85,89.19,89.77,2483034,86.76
31-Jan-17,90.2,90.73,89.12,89.12,2483410,86.13
30-Jan-17,90.82,91.16,90.28,90.37,1624805,87.34
27-Jan-17,90.64,91.55,90.36,91.18,2077175,88.13
26-Jan-17,90.55,90.8,89.84,90.8,2084688,87.76
25-Jan-17,89.94,90.71,89.76,90.3,2364192,87.28
24-Jan-17,88.95,89.5,88.57,89.29,1797797,86.3
23-Jan-17,89.11,89.8,88.62,89.01,1711761,86.03
20-Jan-17,89.42,89.92,89.04,89.92,2949945,86.91
