Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	116	116.95	114.1	114.45	"2090842"	114.45
24-Oct-17	117.35	117.6	116.25	116.25	"2079898"	116.25
23-Oct-17	117.95	118.25	117.1	117.25	"1482384"	117.25
20-Oct-17	119.15	119.55	117.2	117.95	"1872387"	117.95
19-Oct-17	119.05	119.35	117.75	118.7	"1795378"	118.7
18-Oct-17	118.9	119.75	118.55	118.9	"1231269"	118.9
17-Oct-17	119.15	119.3	117.95	118.6	"1766020"	118.6
16-Oct-17	119	119.95	118.75	119.6	"1959465"	119.6
13-Oct-17	117.75	119.25	117.65	118.15	"2114206"	118.15
12-Oct-17	116.95	117.15	116.3	116.8	"1357811"	116.8
11-Oct-17	117	117.5	116.55	117.15	"1118738"	117.15
10-Oct-17	116.95	117.85	116.65	117	"1156344"	117
9-Oct-17	117.15	117.25	116.65	117.25	"926299"	117.25
6-Oct-17	116.4	116.8	115.55	116.6	"2059089"	116.6
5-Oct-17	116.4	116.8	115.55	116.6	"2059089"	116.6
4-Oct-17	115.95	118.8	115.25	117.65	"3200155"	117.65
3-Oct-17	115.3	115.3	115.3	115.3	"1695444"	115.3
2-Oct-17	115.65	116	114.35	115.3	"1695444"	115.3
29-Sep-17	113.15	115.3	112.85	115.3	"3002471"	115.3
28-Sep-17	111.8	113	111.15	112.9	"1480984"	112.9
27-Sep-17	112.45	112.65	111.75	111.8	"1358364"	111.8
26-Sep-17	111.35	112.4	111.25	112.4	"1494108"	112.4
25-Sep-17	110.35	112.1	110.1	111.9	"1789092"	111.9
22-Sep-17	110.1	111.15	109.85	110.1	"1560910"	110.1
21-Sep-17	109.9	110.45	109.7	110.4	"1034312"	110.4
20-Sep-17	109.7	110.55	109.2	109.85	"1445879"	109.85
19-Sep-17	110.15	110.5	109.65	109.9	"1188787"	109.9
18-Sep-17	110.95	110.95	110.1	110.5	"918685"	110.5
15-Sep-17	111.45	111.65	110.15	110.25	"5740277"	110.25
