Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,90.8,91.28,90.46,90.96,468883,90.96
24-Oct-17,91.96,92.03,91.1,91.1,384330,91.1
23-Oct-17,92.22,92.64,91.96,92,290869,92
20-Oct-17,93.42,93.45,91.87,92.02,356377,92.02
19-Oct-17,95,95.05,92.85,93.08,535455,93.08
18-Oct-17,93.4,94.63,93.05,94.21,345689,94.21
17-Oct-17,94.77,94.77,93.5,93.5,336525,93.5
16-Oct-17,94.05,94.43,93.68,93.99,393678,93.99
13-Oct-17,92.7,93.97,92.7,93.86,383283,93.86
12-Oct-17,91.95,92.86,91.95,92.73,266923,92.73
11-Oct-17,91.83,92.05,91.61,91.97,204552,91.97
10-Oct-17,91.28,91.86,91.13,91.55,221200,91.55
9-Oct-17,90.5,91.12,90.39,90.93,304439,90.93
6-Oct-17,91.19,91.74,90.28,91.7,321625,91.7
5-Oct-17,91.19,91.74,90.28,91.7,321625,91.7
4-Oct-17,90.9,91.35,90.82,91.26,463409,91.26
3-Oct-17,91.34,91.34,91.34,91.34,381471,91.34
2-Oct-17,91.18,91.62,91.04,91.34,381471,91.34
29-Sep-17,90.65,91.27,90.41,91.03,409241,91.03
28-Sep-17,91.22,91.34,90.36,90.84,332279,90.84
27-Sep-17,92.35,92.35,91.07,91.09,386832,91.09
26-Sep-17,91.61,92.01,91.07,92.01,268394,92.01
25-Sep-17,90.74,91.78,90.49,91.72,250601,91.72
22-Sep-17,90.96,91.23,90.1,90.73,400487,90.73
21-Sep-17,91.87,91.87,90.25,90.42,332347,90.42
20-Sep-17,91.82,92.28,91.56,91.7,252224,91.7
19-Sep-17,92.29,92.33,91.73,92.08,193001,92.08
18-Sep-17,92.68,92.71,91.9,92.33,169514,92.33
15-Sep-17,92.53,92.59,91.92,92.21,476265,92.21
14-Sep-17,92.28,92.54,91.91,92.34,272860,92.34
13-Sep-17,91.85,92.33,91.57,92.32,250483,92.32
12-Sep-17,92.86,92.86,91.76,92.08,270085,92.08
11-Sep-17,92.09,92.69,91.74,92.69,328040,92.69
8-Sep-17,91.06,91.6,91,91.6,163151,91.6
7-Sep-17,91,91.5,90.54,91.25,292279,91.25
6-Sep-17,89.34,90.87,89.16,90.53,369478,90.53
5-Sep-17,89.88,90.71,89.51,89.85,366208,89.85
4-Sep-17,89.39,89.96,89.28,89.77,183197,89.77
1-Sep-17,89.74,90.35,89.39,89.79,254968,89.79
31-Aug-17,89.05,89.68,88.75,89.68,335628,89.68
30-Aug-17,89.13,89.13,88.48,88.68,256083,88.68
29-Aug-17,88.92,89.2,87.85,88.54,352047,88.54
28-Aug-17,88.39,88.89,87.91,88.61,145084,88.61
25-Aug-17,89.29,89.3,88.62,88.75,164475,88.75
24-Aug-17,89.3,89.76,89.19,89.19,169070,89.19
23-Aug-17,89.61,89.79,89.24,89.35,173945,89.35
22-Aug-17,88.99,89.68,88.99,89.63,216246,89.63
21-Aug-17,88.94,88.96,88.21,88.45,239942,88.45
18-Aug-17,89,89.34,88.65,89.23,303988,89.23
17-Aug-17,89.57,90.11,89.39,89.5,254942,89.5
16-Aug-17,90.09,90.18,89.59,89.69,175944,89.69
15-Aug-17,89.75,90.26,89.39,89.69,189513,89.69
14-Aug-17,89.21,89.69,88.9,89.51,209317,89.51
11-Aug-17,88.55,89.25,88.32,88.81,308655,88.81
10-Aug-17,89.64,89.64,88.2,88.58,383137,88.58
9-Aug-17,89.67,89.86,89.23,89.7,282860,89.7
8-Aug-17,90.38,90.46,89.54,90.22,333464,90.22
7-Aug-17,90.74,90.83,90.09,90.39,335132,90.39
