Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,86.44,86.45,84.92,85.46,1492674,85.46
24-Oct-17,85.78,86.63,85.13,86.42,1532471,86.42
23-Oct-17,86.29,86.7,85.7,86.01,1275308,86.01
20-Oct-17,87.66,87.8,86.22,86.3,2105118,86.3
19-Oct-17,87.62,87.9,86.08,87.41,2201954,87.41
18-Oct-17,88.14,88.63,87.8,88.2,1169060,88.2
17-Oct-17,87,87.83,86.29,87.44,1018233,87.44
16-Oct-17,87.27,87.72,86.99,87.08,812165,87.08
13-Oct-17,88.04,88.04,86.82,87.27,1438255,87.27
12-Oct-17,88.39,88.5,87.49,87.82,1104562,87.82
11-Oct-17,88.63,88.82,87.92,88.39,1027531,88.39
10-Oct-17,88.91,88.91,88.05,88.42,1187029,88.42
9-Oct-17,89.3,89.3,88.56,88.87,921016,88.87
6-Oct-17,89.3,89.3,88.56,88.87,921016,88.87
5-Oct-17,88.7,89.28,88.51,88.71,1587369,88.71
4-Oct-17,86.6,88.64,86.25,88.48,2907246,88.48
3-Oct-17,86.16,86.16,86.16,86.16,1018180,86.16
2-Oct-17,86,86.7,85.75,86.16,1084280,86.16
29-Sep-17,84.38,85.83,83.83,85.83,1990981,85.83
28-Sep-17,84.98,85.03,83.91,84.42,1632349,84.42
27-Sep-17,85.36,85.77,84.84,84.97,1071296,84.97
26-Sep-17,84.48,85.23,84.48,84.89,1047217,84.89
25-Sep-17,84.92,85,84.4,84.78,966648,84.78
22-Sep-17,85,85.73,84.78,85.09,894307,85.09
21-Sep-17,84.71,85.54,84.61,85.14,1063793,85.14
20-Sep-17,84.5,84.9,84.12,84.46,959690,84.46
19-Sep-17,84.49,84.92,83.92,84.71,1132274,84.71
18-Sep-17,85.11,85.25,84.62,84.62,1324330,84.62
15-Sep-17,84.17,84.83,83.67,84.83,3517610,84.83
14-Sep-17,83.9,84.64,83.9,84.37,1377921,84.37
13-Sep-17,83.48,84.33,83.45,84.07,1421090,84.07
12-Sep-17,83.24,83.97,82.8,83.6,1398344,83.6
11-Sep-17,82.98,83.13,82.23,82.85,1293521,82.85
8-Sep-17,82.21,82.94,82.05,82.52,1165651,82.52
7-Sep-17,82.33,83.45,82.3,82.65,2312434,82.65
6-Sep-17,80.2,82.71,80.03,81.76,2298700,81.76
5-Sep-17,79.38,81.1,79.25,80.5,2153782,80.5
4-Sep-17,78.27,79.64,78.23,79.13,1110378,79.13
1-Sep-17,78.2,79.08,77.89,79,2088905,79
31-Aug-17,78,78.52,77.4,78,1621049,78
30-Aug-17,78.79,78.93,78.28,78.37,786615,78.37
29-Aug-17,78.56,78.79,77.66,78.32,1535284,78.32
28-Aug-17,79.05,79.35,78.14,79.21,797455,79.21
25-Aug-17,79.97,80.3,79.2,79.29,1068142,79.29
24-Aug-17,79.25,80.5,78.9,79.79,1690811,79.79
23-Aug-17,79.44,79.78,78.89,79.11,1018070,79.11
22-Aug-17,79.29,79.63,79.03,79.38,1017084,79.38
21-Aug-17,79.45,79.83,78.35,78.97,1061270,78.97
18-Aug-17,79.14,79.54,78.76,79.54,1549213,79.54
17-Aug-17,80.3,80.46,79.56,79.81,1156370,79.81
16-Aug-17,80.5,80.65,80.01,80.14,776205,80.14
15-Aug-17,80.6,80.93,79.7,80,839394,80
14-Aug-17,80.4,80.89,80.16,80.2,882807,80.2
11-Aug-17,79.65,80.39,79.36,79.95,1319596,79.95
10-Aug-17,80,80.17,79.24,80.05,1156328,80.05
9-Aug-17,80.19,80.49,79.58,80.07,1487577,80.07
8-Aug-17,80.86,81.33,80.17,80.79,1209891,80.79
7-Aug-17,81.57,81.9,80.47,81,1306582,81
4-Aug-17,79.49,82.43,79.21,81.35,3203533,81.35
3-Aug-17,79.8,80.08,79.11,79.38,1902469,79.38
2-Aug-17,79.2,79.66,77.94,78.86,2276768,78.86
1-Aug-17,78.01,79.33,77.77,78.89,2305561,78.89
31-Jul-17,77.54,77.96,77.13,77.71,1772723,77.71
