Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,12.19,12.41,12.06,12.16,15315219,12.16
24-Oct-17,11.53,12.15,11.5,12.11,22893150,12.11
23-Oct-17,11.65,11.67,11.39,11.43,8508680,11.43
20-Oct-17,11.7,11.77,11.52,11.61,9173388,11.61
19-Oct-17,11.77,11.87,11.6,11.68,9154623,11.68
18-Oct-17,11.79,11.81,11.64,11.81,7662370,11.81
17-Oct-17,11.8,11.91,11.7,11.73,8177857,11.73
16-Oct-17,11.7,11.82,11.65,11.78,6066518,11.78
13-Oct-17,11.68,11.82,11.64,11.69,9229092,11.69
12-Oct-17,11.69,11.77,11.63,11.7,8345500,11.7
11-Oct-17,11.65,11.7,11.56,11.7,9345536,11.7
10-Oct-17,11.6,11.69,11.51,11.57,6482539,11.57
9-Oct-17,11.65,11.75,11.53,11.62,6688544,11.62
6-Oct-17,11.32,11.72,11.3,11.64,10788396,11.64
5-Oct-17,11.32,11.72,11.3,11.64,10788396,11.64
4-Oct-17,11.5,11.53,11.22,11.39,9367335,11.39
3-Oct-17,11.45,11.45,11.45,11.45,7010100,11.45
2-Oct-17,11.56,11.56,11.36,11.45,7010470,11.45
29-Sep-17,11.3,11.55,11.23,11.51,8181171,11.51
28-Sep-17,11.55,11.69,11.34,11.34,11409697,11.34
27-Sep-17,11.19,11.5,11.18,11.45,11497500,11.45
26-Sep-17,11,11.19,10.99,11.13,9451866,11.13
25-Sep-17,11.17,11.22,10.98,11.03,13370643,11.03
22-Sep-17,11.16,11.31,11.11,11.23,9484840,11.23
21-Sep-17,11.04,11.4,11.03,11.21,23859982,11.21
20-Sep-17,10.55,10.98,10.38,10.84,17787280,10.84
19-Sep-17,10.69,10.74,10.56,10.58,6281002,10.58
18-Sep-17,10.81,10.85,10.67,10.69,7097158,10.69
15-Sep-17,10.74,10.82,10.64,10.69,17616342,10.69
14-Sep-17,10.75,10.88,10.69,10.78,8524127,10.78
13-Sep-17,10.77,10.89,10.73,10.77,6642858,10.77
12-Sep-17,10.6,10.85,10.6,10.81,11548967,10.81
11-Sep-17,10.28,10.5,10.28,10.5,9477936,10.5
8-Sep-17,9.95,10.23,9.89,10.17,9544295,10.17
7-Sep-17,10.3,10.3,10.01,10.02,11210053,10.02
6-Sep-17,10.06,10.23,10.02,10.19,8058856,10.19
5-Sep-17,10.39,10.44,10.1,10.1,7403640,10.1
4-Sep-17,10.35,10.44,10.35,10.38,4201773,10.38
1-Sep-17,10.52,10.54,10.35,10.47,6394323,10.47
