Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,213.5,214.5,212.5,212.95,286805,212.95
24-Oct-17,212,214.65,211.8,214.15,371121,214.15
23-Oct-17,213.95,214.75,212.2,212.35,296321,212.35
20-Oct-17,214.55,215.3,213.05,213.5,362566,213.5
19-Oct-17,216.2,217,211.7,213.05,398365,213.05
18-Oct-17,215.35,216.7,214.7,216.05,323568,216.05
17-Oct-17,214.3,215.4,213.25,214.9,268663,214.9
16-Oct-17,215.45,215.65,214.35,214.75,216193,214.75
13-Oct-17,215.85,215.9,214.25,215.35,295055,215.35
12-Oct-17,216,216.4,214.7,216.15,286425,216.15
11-Oct-17,216.2,216.65,215.5,215.75,263735,215.75
10-Oct-17,215.1,216.65,214.4,216.15,347764,216.15
9-Oct-17,216,216.4,214.7,215.55,294174,215.55
6-Oct-17,216.4,217.9,216.25,216.5,317112,216.5
5-Oct-17,216.4,217.9,216.25,216.5,317112,216.5
4-Oct-17,215,216.95,213.35,216.25,525207,216.25
3-Oct-17,214.75,214.75,214.75,214.75,316601,214.75
2-Oct-17,215.1,216.3,214.1,214.75,317606,214.75
29-Sep-17,213.75,214.85,211.55,214.75,489797,214.75
28-Sep-17,213.45,214.05,212.35,214,373376,214
27-Sep-17,212.3,213.3,211.4,213.1,421085,213.1
26-Sep-17,210,212.6,208.8,212.4,304517,212.4
25-Sep-17,211.8,212.8,210.8,210.8,378385,210.8
22-Sep-17,211.2,213.65,210.85,212.5,348792,212.5
21-Sep-17,209.5,212.4,208.95,211.95,400592,211.95
20-Sep-17,207,209.5,207,208.85,389139,208.85
19-Sep-17,206.15,208.55,205.85,207.9,445057,207.9
18-Sep-17,207.5,208.9,205.75,205.75,384995,205.75
15-Sep-17,204,206.95,203.95,206.95,844724,206.95
14-Sep-17,200.6,204.5,200.25,204.2,701498,204.2
13-Sep-17,200.25,201.8,200,200,391053,200
12-Sep-17,201.5,201.9,200.6,200.75,377538,200.75
11-Sep-17,200,201,199.35,200.5,351318,200.5
8-Sep-17,196.75,199.45,196.6,198.95,345561,198.95
7-Sep-17,195.65,198.8,195.25,197.85,550867,197.85
6-Sep-17,191.65,194.9,191.65,194.1,359784,194.1
5-Sep-17,191.1,193.8,191.05,192.35,298574,192.35
4-Sep-17,188.55,191.8,188.5,191.1,223832,191.1
1-Sep-17,189.8,191.5,188.8,189.95,397700,189.95
31-Aug-17,191.7,192.5,189.5,189.55,407989,189.55
30-Aug-17,190.9,192.3,189.55,191.45,307173,191.45
29-Aug-17,191.3,191.55,188,189.6,354168,189.6
28-Aug-17,191.65,192.8,190.6,192.3,144704,192.3
25-Aug-17,193.3,194.15,191.95,191.95,222212,191.95
24-Aug-17,194.8,195,192.8,192.8,303609,192.8
23-Aug-17,195.85,196.9,194.3,194.35,360208,194.35
22-Aug-17,192.05,195.8,192,195.7,440923,195.7
21-Aug-17,192.2,192.85,190.85,191.55,258495,191.55
18-Aug-17,192.4,193.3,191.4,192.25,340743,192.25
17-Aug-17,193,196.3,192.15,193.4,355693,193.4
16-Aug-17,190.45,194.3,190.1,193.25,589775,193.25
15-Aug-17,190.95,191.2,188.7,189.4,269656,189.4
14-Aug-17,190.3,190.9,189.85,189.9,309947,189.9
11-Aug-17,190.05,190.4,188.7,189.65,280944,189.65
10-Aug-17,190.95,191.05,188.4,190.45,334109,190.45
9-Aug-17,191,192.4,190.35,190.85,566244,190.85
8-Aug-17,188.85,190.85,188.3,189.95,278521,189.95
7-Aug-17,189.5,190.15,187.55,188.75,373659,188.75
4-Aug-17,188.15,190.4,186.55,189.05,530327,189.05
3-Aug-17,188,193.25,187.3,188.7,596651,188.7
2-Aug-17,192.8,193,188.75,189.5,491638,189.5
1-Aug-17,190.3,193.2,190.15,192.3,322923,192.3
31-Jul-17,192.6,193.45,190.05,190.5,307040,190.5
28-Jul-17,194.75,194.75,191.3,192.6,490331,192.6
27-Jul-17,194.6,198.7,194.25,196.6,465549,196.6
26-Jul-17,191.5,195,191.5,194.75,557703,194.75
25-Jul-17,190.95,192.55,190.3,191.9,349368,191.9
24-Jul-17,191,191.2,189,190.55,429246,190.55
21-Jul-17,197.15,197.7,190.25,191.6,810701,191.6
20-Jul-17,198.3,200.35,197.25,197.75,492455,197.75
19-Jul-17,197.95,198.15,196.5,197.55,259567,197.55
18-Jul-17,197.8,199.25,196.3,196.8,459942,196.8
17-Jul-17,197.2,198.3,196.6,197.65,330750,197.65
14-Jul-17,196.45,197.3,195.45,196.4,241140,196.4
13-Jul-17,195.45,197.5,194.35,196.7,371582,196.7
12-Jul-17,194.35,196.15,193.6,195.35,375524,195.35
11-Jul-17,192.45,195.15,192.15,193.55,494161,193.55
10-Jul-17,190.05,191.7,189.55,191.4,367745,191.4
7-Jul-17,189.5,190.1,187.2,188.7,339476,188.7
6-Jul-17,189.65,190.35,187.5,189.6,399948,189.6
5-Jul-17,189.65,190.6,188.65,189.5,367198,189.5
4-Jul-17,189.5,190.85,188.7,189.85,244560,189.85
3-Jul-17,189.95,191.55,189.4,190,376058,190
30-Jun-17,189.1,190.35,188.15,188.95,448294,188.95
29-Jun-17,194,194.25,187.45,188.45,530866,188.45
28-Jun-17,190.75,194.45,190.15,193.2,444724,193.2
27-Jun-17,192.55,194.2,190.2,191.35,937328,191.35
26-Jun-17,197.5,199.85,197.3,197.95,239415,197.95
23-Jun-17,198.25,198.75,196,196.8,279007,196.8
22-Jun-17,197.25,198.7,196.45,198.25,251636,198.25
21-Jun-17,197.35,198.1,196.25,197.7,315181,197.7
20-Jun-17,199,200.1,197.4,197.4,283918,197.4
19-Jun-17,198.1,199.7,198,198.35,290170,198.35
16-Jun-17,197.2,198.45,196.65,197.2,584274,197.2
15-Jun-17,199.15,199.25,195.65,196.15,457782,196.15
14-Jun-17,199.55,202.2,198.8,198.85,481823,198.85
13-Jun-17,199,200.4,198.6,198.7,341625,198.7
12-Jun-17,198.2,201.45,197.95,198.15,539020,198.15
9-Jun-17,198.45,199.35,197.85,198.7,302844,198.7
8-Jun-17,198.4,199.35,197.2,197.3,329291,197.3
7-Jun-17,199,201.05,198.2,198.4,350510,198.4
6-Jun-17,201.9,202.7,199.15,199.45,295483,199.45
5-Jun-17,202,202,202,202,474335,202
2-Jun-17,200.95,204.55,200.15,202,474315,202
1-Jun-17,198.4,200.35,197.45,200.1,415081,200.1
31-May-17,201.3,201.3,198,198,443848,198
30-May-17,198.4,201,197.8,200.25,274928,200.25
29-May-17,199.3,199.95,198.3,198.8,165451,198.8
26-May-17,200.05,201,199.1,199.2,287184,199.2
25-May-17,201.6,201.85,198.9,200.5,198611,200.5
24-May-17,200.25,201.75,198.75,201.15,313930,201.15
23-May-17,201.5,203.65,200,201.15,277474,201.15
22-May-17,202,202.6,200,201.4,317624,201.4
19-May-17,202.75,203.9,201.65,201.8,397021,201.8
18-May-17,202.5,202.65,199.15,202.1,406921,202.1
17-May-17,203.75,204.75,201.2,202.45,448421,202.45
16-May-17,207.1,207.35,204.8,205.5,361728,205.5
15-May-17,208.55,209,205.8,207.65,201176,207.65
12-May-17,209.95,210.35,207.4,207.8,334313,207.8
11-May-17,209.45,209.5,207.7,209.15,390880,209.15
10-May-17,206.6,209.8,206.25,208.55,471887,208.55
9-May-17,207.7,207.9,202.65,205.1,446850,205.1
8-May-17,208.8,208.8,205.1,206.4,276352,206.4
5-May-17,204.4,207.65,203.75,207.6,421343,207.6
4-May-17,201.65,205.3,200.95,205.3,529039,205.3
3-May-17,201,202.35,200.9,201,345089,201
2-May-17,205.5,205.5,199.5,201.3,692377,201.3
28-Apr-17,203.85,209.95,201.65,205.5,787144,201.25
27-Apr-17,202.15,204.65,201.9,204.65,542736,196.26
26-Apr-17,201,203.6,199.35,202.25,483718,193.95
25-Apr-17,207.45,207.45,199.8,201.15,976103,192.9
24-Apr-17,204.85,207.3,204.2,206.65,550978,198.17
21-Apr-17,200.4,201.5,199.35,201.2,382996,192.95
20-Apr-17,199,200.55,198.1,200.05,312146,191.84
19-Apr-17,198.2,200.1,197.7,199.3,314330,191.12
18-Apr-17,197.85,199.7,196.1,197.9,328402,189.78
13-Apr-17,200.4,200.9,197.55,197.85,334374,189.73
12-Apr-17,200,201.55,199.7,200.2,359635,191.99
11-Apr-17,199.75,201.15,197.5,199.4,353290,191.22
10-Apr-17,201.4,201.65,199.25,200.25,221514,192.04
7-Apr-17,199.35,201.5,198.9,201.15,297029,192.9
6-Apr-17,198.65,201.65,197.1,200.2,332200,191.99
5-Apr-17,202.95,203.4,199.9,200.2,452392,191.99
4-Apr-17,204.3,204.55,201.25,203.3,395336,194.96
3-Apr-17,206.6,207.15,203.35,204.15,323375,195.78
31-Mar-17,205.8,205.9,204.05,205.5,376755,197.07
30-Mar-17,203.7,206.5,202.55,206.3,455061,197.84
29-Mar-17,202.15,203.95,201.9,203.05,420510,194.72
28-Mar-17,200.1,202.25,199.6,201.7,544119,193.43
27-Mar-17,198.15,198.5,196.05,197.5,320733,189.4
24-Mar-17,197.55,199.85,196.35,199.65,452042,191.46
23-Mar-17,193,197.15,192.5,197.15,407404,189.06
22-Mar-17,193.25,194.2,192.35,193.2,355892,185.28
21-Mar-17,198.1,199.1,193.95,194.65,453063,186.67
20-Mar-17,196.8,197.55,196.45,197.2,241416,189.11
17-Mar-17,196.65,197.75,194.5,197.3,593261,189.21
16-Mar-17,197.5,199.1,196.35,197.55,598661,189.45
15-Mar-17,192.55,196.4,192,195.65,608133,187.62
14-Mar-17,191.3,193,190.55,192.85,382452,184.94
13-Mar-17,190.6,191.65,190.2,190.95,356906,183.12
10-Mar-17,191.4,193.2,190.35,191.05,339478,183.21
9-Mar-17,191.8,192.25,189.2,190.4,410168,182.59
8-Mar-17,192.65,193.85,191.85,192.65,329845,184.75
7-Mar-17,192.45,194,192.3,193.55,357549,185.61
6-Mar-17,191.5,192.9,191.1,191.9,343972,184.03
3-Mar-17,192.2,193.25,191.15,191.9,444770,184.03
2-Mar-17,192,194.85,190.3,193.75,533383,185.8
1-Mar-17,192.85,195.35,191.25,193,564113,185.08
28-Feb-17,191.4,193,190.55,191.5,441031,183.64
27-Feb-17,193.05,193.75,191.05,191.45,198237,183.6
24-Feb-17,194.45,195.4,189.8,192.05,475563,184.17
23-Feb-17,194.1,196,193.55,195,407027,187
22-Feb-17,194.1,194.9,192.8,193.65,279964,185.71
21-Feb-17,190.9,194.5,190.5,193.45,340602,185.51
20-Feb-17,191.8,192.55,190.65,191.1,152499,183.26
17-Feb-17,190.2,190.85,188.35,190.85,346682,183.02
16-Feb-17,190.85,191.65,189.8,190.5,312701,182.69
15-Feb-17,192.9,194.15,188.65,190.9,390356,183.07
14-Feb-17,190.95,194,190.35,192.55,363363,184.65
13-Feb-17,188.6,191.7,188.6,191.15,260874,183.31
