Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,69.34,69.87,68.84,69.25,2898836,69.25
24-Oct-17,68.57,69.77,68.46,69.4,3395679,69.4
23-Oct-17,68.52,69.15,68.33,68.76,2599731,68.76
20-Oct-17,69.76,69.83,68.07,68.36,4735810,68.36
19-Oct-17,69.5,69.6,68.17,68.94,3339973,68.94
18-Oct-17,68.96,69.5,68.78,69.32,2659894,69.32
17-Oct-17,68.22,69.18,68.22,68.72,3179358,68.72
16-Oct-17,67.99,68.94,67.95,68.38,3547375,68.38
13-Oct-17,68.05,68.17,67.6,67.91,1808801,67.91
12-Oct-17,68.16,68.27,67.9,68.01,1970852,68.01
11-Oct-17,68.13,68.55,68,68.09,2273228,68.09
10-Oct-17,68.5,68.54,67.66,67.98,3582439,67.98
9-Oct-17,68.95,69.07,68.56,68.62,1592398,68.62
6-Oct-17,68.51,69.04,68.44,68.44,3189921,68.44
5-Oct-17,68.51,69.04,68.44,68.44,3189922,68.44
4-Oct-17,68.3,68.91,68,68.44,4333978,68.44
3-Oct-17,67.62,67.62,67.62,67.62,2149381,67.62
2-Oct-17,67.62,67.85,67.44,67.62,2149328,67.62
29-Sep-17,66.62,67.47,66.07,67.47,4133755,67.47
28-Sep-17,67,67.24,66.51,66.65,2189409,66.65
27-Sep-17,66.8,67.19,66.71,66.83,2193464,66.83
26-Sep-17,66.59,67.41,66.51,66.74,2557395,66.74
25-Sep-17,66.5,66.86,66.25,66.7,1846039,66.7
22-Sep-17,66.7,67.17,66.52,66.6,2597241,66.6
21-Sep-17,66.61,67.03,66.61,66.87,1963652,66.87
20-Sep-17,66.26,66.63,66.17,66.58,1875054,66.58
19-Sep-17,66.36,66.67,66.28,66.51,1878904,66.51
18-Sep-17,66.66,66.93,66.27,66.5,2218963,66.5
15-Sep-17,65.99,66.41,65.58,66.25,9215271,66.25
14-Sep-17,65.65,65.98,65.57,65.83,3550634,65.83
13-Sep-17,65.1,65.67,65.03,65.67,3366515,65.67
12-Sep-17,64.96,65.78,64.69,65.26,4041692,65.26
11-Sep-17,65.25,65.25,63.47,64.65,5568461,64.65
8-Sep-17,64.59,65.4,64.53,64.83,2733424,64.83
7-Sep-17,65,65.77,64.84,64.91,5692157,64.91
6-Sep-17,63.7,64.96,63.35,64.4,8218293,64.4
5-Sep-17,62.01,62.92,61.77,62.42,3113816,62.42
4-Sep-17,61.4,62.01,61.31,61.84,1802854,61.84
1-Sep-17,61.38,62.16,61.22,61.8,3042884,61.8
31-Aug-17,61.61,61.85,61.01,61.23,3174096,61.23
30-Aug-17,61.85,61.92,61.45,61.59,2228234,61.59
29-Aug-17,61.54,61.63,60.75,61.52,3478515,61.52
28-Aug-17,62.01,62.16,61.58,61.9,1562003,61.9
25-Aug-17,61.81,62.57,61.64,62.17,4377433,62.17
24-Aug-17,60.89,62.09,60.68,61.65,4702774,61.65
23-Aug-17,60.88,61.03,60.63,60.77,2628072,60.77
22-Aug-17,60.33,60.85,60.17,60.83,3972741,60.83
21-Aug-17,60.11,60.42,59.88,60.11,2710496,60.11
18-Aug-17,60.1,60.38,59.97,60.31,3931874,60.31
17-Aug-17,60.38,60.73,60.22,60.42,2760279,60.42
16-Aug-17,60.69,60.75,60.35,60.52,1956465,60.52
15-Aug-17,60.45,60.76,60.25,60.25,1838174,60.25
14-Aug-17,60.18,60.51,60.08,60.15,1965341,60.15
11-Aug-17,59.78,60.11,59.61,59.8,2783382,59.8
10-Aug-17,60,60,59.39,59.87,3258499,59.87
9-Aug-17,60.08,60.27,59.66,60.02,3438240,60.02
8-Aug-17,60.24,60.9,59.97,60.5,2444934,60.5
7-Aug-17,60.79,60.89,60.09,60.41,2712178,60.41
4-Aug-17,59.66,60.96,59.5,60.53,4052212,60.53
3-Aug-17,59.8,60.07,59.53,59.77,2683386,59.77
2-Aug-17,60.09,60.67,59.47,59.8,4564647,59.8
1-Aug-17,59.64,60.19,59.01,59.85,4173829,59.85
31-Jul-17,59.51,59.79,59.01,59.29,4138090,59.29
28-Jul-17,59.85,59.85,59.09,59.85,5191979,59.85
27-Jul-17,60.23,60.4,59.81,60.29,4674766,60.29
26-Jul-17,61.06,61.84,60.27,60.6,6415771,60.6
25-Jul-17,61.23,61.6,60.87,61.06,5600252,61.06
24-Jul-17,60.57,61.4,59.96,60.92,10653268,60.92
21-Jul-17,63.8,63.86,61.88,62.58,8756451,62.58
20-Jul-17,64.31,64.63,63.44,63.9,3587833,63.9
19-Jul-17,64.45,64.59,63.88,64.14,2649587,64.14
18-Jul-17,64.44,64.48,63.66,64.17,4030644,64.17
17-Jul-17,64.94,65.13,64.54,64.68,2051645,64.68
14-Jul-17,64.71,65.14,64.29,64.87,4637093,64.87
13-Jul-17,63.5,65.16,63.5,65.15,5940234,65.15
12-Jul-17,64.6,65.77,64.35,65.46,4161260,65.46
11-Jul-17,63.8,64.6,63.68,64.15,3748374,64.15
10-Jul-17,63.81,63.91,63.15,63.36,2502879,63.36
7-Jul-17,63.35,63.57,63.13,63.48,2300559,63.48
6-Jul-17,63.91,64.14,63.09,63.36,4217803,63.36
5-Jul-17,64.01,64.14,63.25,63.74,3714665,63.74
4-Jul-17,63.82,64.53,63.82,64.1,2047146,64.1
3-Jul-17,63.77,64.48,63.56,64.08,3007027,64.08
30-Jun-17,64.3,64.51,63.09,63.37,5067499,63.37
29-Jun-17,65.29,65.34,64,64.31,4196610,64.31
28-Jun-17,64.75,65.28,64.26,64.9,3139016,64.9
27-Jun-17,65,65.37,64.53,65.08,3509086,65.08
26-Jun-17,65.5,66.09,65.25,65.37,2548809,65.37
23-Jun-17,65.45,65.69,64.82,65.34,2603281,65.34
22-Jun-17,65.36,65.84,64.92,65.49,2884562,65.49
21-Jun-17,65.52,65.6,64.85,65.45,2467010,65.45
20-Jun-17,66.17,66.19,65.47,65.57,2326684,65.57
19-Jun-17,65.82,66.31,65.71,65.71,2475263,65.71
16-Jun-17,65.55,65.77,65.1,65.2,9209382,65.2
15-Jun-17,65.77,65.81,64.66,65.25,4207551,65.25
14-Jun-17,65.99,66.31,65.45,65.71,3678420,65.71
13-Jun-17,65.98,66.1,65.71,65.9,2270434,65.9
12-Jun-17,65.43,66.54,65.27,65.64,4544238,65.64
9-Jun-17,65.11,65.74,64.86,65.46,2641147,65.46
8-Jun-17,65,65.37,64.8,65.16,2561811,65.16
7-Jun-17,65.4,65.87,65.12,65.17,2586092,65.17
6-Jun-17,65.74,65.95,65.12,65.53,3453813,65.53
5-Jun-17,65.84,65.84,65.84,65.84,4152598,65.84
