Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,90.41,91.05,89.5,90.48,522228,90.48
24-Oct-17,91.5,92.15,90.15,90.3,700459,90.3
23-Oct-17,93.01,93.31,91.94,92.21,372369,92.21
20-Oct-17,91.44,92.83,91.09,92.83,655764,92.83
19-Oct-17,93.07,93.18,90.89,91.05,612370,91.05
18-Oct-17,93.5,94.72,92.52,92.86,790317,92.86
17-Oct-17,93.3,94.68,93.04,94.59,845777,94.59
16-Oct-17,94.95,95.27,94.46,94.71,375048,94.71
13-Oct-17,96.15,96.23,94.96,95.1,428568,95.1
12-Oct-17,94.76,96.26,94.36,95.9,384649,95.9
11-Oct-17,93.63,94.59,93.59,94.5,355725,94.5
10-Oct-17,93.37,94.02,92.86,93.51,236949,93.51
9-Oct-17,93.57,94.95,93.21,93.21,290662,93.21
6-Oct-17,92.5,93.37,91.32,93.19,360405,93.19
5-Oct-17,92.5,93.37,91.32,93.19,360405,93.19
4-Oct-17,92.96,93.13,91.87,92.29,496558,92.29
3-Oct-17,92.46,92.46,92.46,92.46,344372,92.46
2-Oct-17,91.31,92.5,91.31,92.46,344342,92.46
29-Sep-17,90.9,91.82,90.78,91.71,411914,91.71
28-Sep-17,91,91.4,90.26,90.7,374022,90.7
27-Sep-17,90.56,90.95,90.22,90.87,326821,90.87
26-Sep-17,90.38,91.12,89.53,90.52,601144,90.52
25-Sep-17,90.07,91.07,89.63,90.66,565927,90.66
22-Sep-17,93.71,93.71,89.18,90.15,1034363,90.15
21-Sep-17,95.06,95.14,94.01,94.01,324197,94.01
20-Sep-17,94.87,95.55,94.16,94.78,250804,94.78
19-Sep-17,94.73,95.94,94.72,95.37,481668,95.37
18-Sep-17,94.1,94.6,93.85,94.59,367865,94.59
15-Sep-17,92.74,93.8,92.6,93.45,1077641,93.45
14-Sep-17,94.14,94.21,92.61,92.62,657880,92.62
13-Sep-17,93.13,94.32,93.11,94.25,522658,94.25
12-Sep-17,94.34,94.34,93.16,93.48,409132,93.48
11-Sep-17,92.99,94.69,92.99,93.72,522203,93.72
8-Sep-17,91.99,92.83,91.54,92.25,378672,92.25
7-Sep-17,93,93.18,91.87,92.14,368972,92.14
6-Sep-17,90.74,92.75,90.74,92.67,405831,92.67
5-Sep-17,91.41,92.1,91,91.38,401230,91.38
4-Sep-17,90.44,91.39,90.42,91.21,282042,91.21
1-Sep-17,89.01,91.48,89,91.3,565662,91.3
31-Aug-17,89.7,90.52,89.18,89.79,387321,89.79
30-Aug-17,88.47,89.67,88.35,89.23,325568,89.23
