Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	14.69	14.81	14.48	14.53	"17935959"	14.53
24-Oct-17	14.2	14.74	14.2	14.66	"19777683"	14.66
23-Oct-17	14.38	14.41	14.2	14.23	"8790639"	14.23
20-Oct-17	14.3	14.43	14.24	14.4	"10136266"	14.4
19-Oct-17	14.4	14.49	14.14	14.18	"9142078"	14.18
18-Oct-17	14.24	14.41	14.19	14.38	"7400188"	14.38
17-Oct-17	14.17	14.31	14.11	14.25	"8666322"	14.25
16-Oct-17	14.09	14.23	13.98	14.11	"8650274"	14.11
13-Oct-17	14.19	14.24	13.95	13.99	"12445846"	13.99
12-Oct-17	14.31	14.32	14.11	14.17	"9272524"	14.17
11-Oct-17	14.45	14.48	14.21	14.32	"8541996"	14.32
10-Oct-17	14.39	14.46	14.23	14.31	"9928200"	14.31
9-Oct-17	14.71	14.78	14.38	14.38	"11030736"	14.38
6-Oct-17	14.24	14.7	14.22	14.7	"11361001"	14.7
5-Oct-17	14.24	14.7	14.22	14.7	"11361001"	14.7
4-Oct-17	14.51	14.51	14.15	14.35	"13336204"	14.35
3-Oct-17	14.49	14.49	14.49	14.49	"11884229"	14.49
2-Oct-17	14.7	14.77	14.38	14.49	"11884217"	14.49
29-Sep-17	14.37	14.64	14.27	14.63	"15745572"	14.63
28-Sep-17	14.12	14.63	14.12	14.37	"20348282"	14.37
27-Sep-17	13.7	14.02	13.69	13.99	"14199387"	13.99
26-Sep-17	13.58	13.78	13.56	13.63	"8628043"	13.63
25-Sep-17	13.87	13.9	13.64	13.66	"10465814"	13.66
22-Sep-17	13.97	13.98	13.81	13.9	"8931804"	13.9
21-Sep-17	13.78	14.1	13.76	13.94	"19549864"	13.94
20-Sep-17	13.74	13.77	13.51	13.57	"13990754"	13.57
19-Sep-17	13.85	13.91	13.71	13.8	"7247453"	13.8
18-Sep-17	13.97	13.99	13.8	13.85	"8650218"	13.85
15-Sep-17	14	14.06	13.81	13.81	"35130817"	13.81
14-Sep-17	14.09	14.24	13.98	14.05	"13900829"	14.05
13-Sep-17	14.17	14.28	14.13	14.14	"10026438"	14.14
12-Sep-17	13.86	14.27	13.81	14.2	"18623389"	14.2
11-Sep-17	13.49	13.71	13.47	13.71	"12034779"	13.71
8-Sep-17	13.2	13.48	13.15	13.34	"8960042"	13.34
7-Sep-17	13.52	13.59	13.26	13.26	"14889628"	13.26
6-Sep-17	13.19	13.48	13.11	13.41	"12204537"	13.41
5-Sep-17	13.49	13.5	13.2	13.22	"10661572"	13.22
4-Sep-17	13.4	13.52	13.38	13.47	"6526139"	13.47
1-Sep-17	13.53	13.6	13.19	13.53	"12954255"	13.53
31-Aug-17	13.5	13.64	13.41	13.47	"10696296"	13.47
30-Aug-17	13.49	13.56	13.35	13.45	"7806920"	13.45
29-Aug-17	13.62	13.62	13.29	13.31	"15909293"	13.31
28-Aug-17	13.74	13.82	13.69	13.71	"5059169"	13.71
25-Aug-17	13.85	14	13.77	13.8	"7781219"	13.8
24-Aug-17	13.85	13.9	13.69	13.81	"10034602"	13.81
23-Aug-17	13.81	14.03	13.68	13.8	"11436386"	13.8
22-Aug-17	13.82	13.89	13.69	13.74	"11672421"	13.74
21-Aug-17	14.05	14.13	13.73	13.76	"13964168"	13.76
18-Aug-17	13.88	14.14	13.76	14.1	"16280517"	14.1
17-Aug-17	14.5	14.5	14.07	14.11	"17049180"	14.11
16-Aug-17	14.69	14.77	14.55	14.58	"8185050"	14.58
15-Aug-17	14.7	14.77	14.44	14.58	"8549489"	14.58
14-Aug-17	14.49	14.76	14.45	14.66	"13127376"	14.66
11-Aug-17	14.3	14.4	13.95	14.22	"19121043"	14.22
10-Aug-17	14.91	14.92	14.4	14.42	"18625298"	14.42
9-Aug-17	15.2	15.27	14.76	14.88	"20324875"	14.88
8-Aug-17	15.36	15.52	15.23	15.47	"8488940"	15.47
7-Aug-17	15.65	15.67	15.44	15.47	"7847140"	15.47
4-Aug-17	15.22	15.65	15.16	15.64	"12468072"	15.64
