Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	38.16	38.46	38.13	38.23	"1812824"	38.23
24-Oct-17	38.1	38.35	38.04	38.23	"2071778"	38.23
23-Oct-17	38.38	38.46	38.1	38.15	"1506946"	38.15
20-Oct-17	38.17	38.35	38.06	38.22	"2344958"	38.22
19-Oct-17	38.35	38.38	37.9	38.07	"2358281"	38.07
18-Oct-17	38.2	38.52	37.96	38.26	"1770476"	38.26
17-Oct-17	38.31	38.37	38.12	38.17	"1798636"	38.17
16-Oct-17	38.33	38.4	38.15	38.37	"1337063"	38.37
13-Oct-17	38.32	38.33	38.1	38.21	"1503855"	38.21
12-Oct-17	38.1	38.41	38.06	38.21	"2330346"	38.21
11-Oct-17	38.15	38.18	37.97	38.06	"1607071"	38.06
10-Oct-17	37.6	38.16	37.51	38.06	"2654641"	38.06
9-Oct-17	37.31	37.43	37.17	37.41	"1640332"	37.41
6-Oct-17	37.31	37.43	37.17	37.41	"1640332"	37.41
5-Oct-17	38.12	38.13	37.53	37.97	"3634713"	37.97
4-Oct-17	38.12	38.13	37.53	37.97	"3634713"	37.97
3-Oct-17	38.13	38.13	38.13	38.13	"2706942"	38.13
2-Oct-17	37.96	38.26	37.87	38.13	"2306944"	38.13
29-Sep-17	37.78	37.82	37.53	37.67	"3325579"	37.67
28-Sep-17	37.33	37.69	37.29	37.69	"2189811"	37.69
27-Sep-17	37.17	37.29	37	37.22	"1795196"	37.22
26-Sep-17	37.11	37.33	36.92	37.06	"1958682"	37.06
25-Sep-17	37.22	37.42	37.17	37.18	"2027613"	37.18
22-Sep-17	37.04	37.42	36.97	37.22	"1888132"	37.22
21-Sep-17	37	37.22	36.95	37.08	"1605673"	37.08
20-Sep-17	36.86	36.95	36.6	36.95	"1582034"	36.95
19-Sep-17	36.65	36.97	36.56	36.86	"2733689"	36.86
18-Sep-17	36.45	36.58	36.37	36.4	"1815784"	36.4
15-Sep-17	36.29	36.44	36.09	36.12	"7679453"	36.12
14-Sep-17	36.4	36.49	36.1	36.19	"2687885"	36.19
13-Sep-17	36	36.45	35.95	36.45	"2426074"	36.45
12-Sep-17	35.96	36.11	35.92	36.06	"1713230"	36.06
11-Sep-17	35.45	35.79	35.36	35.79	"1949677"	35.79
8-Sep-17	35.13	35.31	35.13	35.21	"1433904"	35.21
7-Sep-17	35.17	35.4	35.06	35.26	"2389491"	35.26
6-Sep-17	34.56	35.28	34.51	34.99	"2187167"	34.99
5-Sep-17	34.97	35.1	34.69	34.83	"2027413"	34.83
4-Sep-17	34.81	35.02	34.81	34.81	"1635737"	34.81
1-Sep-17	35	35.37	35	35.13	"2406844"	35.13
31-Aug-17	34.71	35	34.56	34.85	"3851291"	34.85
30-Aug-17	34.56	34.67	34.35	34.58	"1515281"	34.58
29-Aug-17	34.38	34.41	33.96	34.31	"2376519"	34.31
28-Aug-17	34.59	34.83	34.42	34.67	"956598"	34.67
25-Aug-17	35.04	35.04	34.72	34.73	"1627368"	34.73
24-Aug-17	35.08	35.26	34.96	35.03	"1845439"	35.03
23-Aug-17	35.23	35.23	34.93	34.97	"1527005"	34.97
22-Aug-17	35.08	35.25	34.92	35.22	"1826666"	35.22
21-Aug-17	34.84	35.01	34.65	34.8	"1312699"	34.8
18-Aug-17	34.81	34.98	34.56	34.98	"2562090"	34.98
17-Aug-17	35.46	35.51	35.01	35.12	"2208744"	35.12
16-Aug-17	35.32	35.58	35.28	35.51	"2276310"	35.51
15-Aug-17	35	35.32	34.94	35.1	"2359513"	35.1
14-Aug-17	34.39	34.8	34.38	34.76	"2676888"	34.76
11-Aug-17	34.22	34.37	33.78	34.24	"3454224"	34.24
10-Aug-17	34.42	34.49	33.99	34.15	"2687832"	34.15
9-Aug-17	34.47	34.51	34.12	34.42	"2903179"	34.42
8-Aug-17	34.4	34.78	33.9	34.6	"3710162"	34.6
7-Aug-17	34.17	34.24	33.99	34.15	"1887666"	34.15
4-Aug-17	33.69	34.2	33.56	34.2	"2348209"	34.2
3-Aug-17	33.67	33.88	33.58	33.67	"1781979"	33.67
2-Aug-17	33.53	33.97	33.5	33.76	"3070385"	33.76
1-Aug-17	32.94	33.38	32.73	33.38	"2778812"	33.38
31-Jul-17	32.67	32.92	32.58	32.8	"2638056"	32.8
28-Jul-17	32.54	32.79	32.33	32.76	"2445132"	32.76
27-Jul-17	32.8	33.1	32.72	32.78	"2062794"	32.78
26-Jul-17	32.83	33.21	32.81	32.91	"1973279"	32.91
25-Jul-17	32.68	33.05	32.67	32.88	"2135776"	32.88
24-Jul-17	33.08	33.13	32.69	32.74	"2388613"	32.74
21-Jul-17	33.44	33.54	32.78	33.07	"4580754"	33.07
