Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	15.54	15.55	15.34	15.4	"8357387"	15.4
24-Oct-17	15.45	15.6	15.41	15.52	"8270138"	15.52
23-Oct-17	15.43	15.6	15.37	15.42	"7083809"	15.42
20-Oct-17	15.44	15.48	15.35	15.4	"8091888"	15.4
19-Oct-17	15.61	15.68	15.34	15.35	"12428600"	15.35
18-Oct-17	15.5	15.65	15.44	15.55	"9599767"	15.55
17-Oct-17	15.55	15.57	15.43	15.43	"8438570"	15.43
16-Oct-17	15.52	15.63	15.46	15.56	"6730526"	15.56
13-Oct-17	15.43	15.54	15.41	15.45	"6478071"	15.45
12-Oct-17	15.64	15.65	15.4	15.43	"12005955"	15.43
11-Oct-17	15.7	15.72	15.52	15.65	"10261915"	15.65
10-Oct-17	15.73	15.74	15.64	15.67	"6022494"	15.67
9-Oct-17	15.73	15.76	15.68	15.7	"4390714"	15.7
6-Oct-17	15.66	15.72	15.59	15.69	"6584952"	15.69
5-Oct-17	15.66	15.72	15.59	15.69	"6584952"	15.69
4-Oct-17	15.87	15.88	15.58	15.66	"11600371"	15.66
3-Oct-17	15.73	15.73	15.73	15.73	"9122652"	15.73
2-Oct-17	15.81	15.81	15.73	15.73	"8122652"	15.73
29-Sep-17	15.72	15.78	15.66	15.78	"12606582"	15.78
28-Sep-17	15.75	15.76	15.64	15.7	"8976800"	15.7
27-Sep-17	15.75	15.76	15.65	15.7	"9914054"	15.7
26-Sep-17	15.62	15.73	15.57	15.73	"7447061"	15.73
25-Sep-17	15.48	15.7	15.45	15.61	"10051332"	15.61
22-Sep-17	15.26	15.63	15.21	15.46	"16206914"	15.46
21-Sep-17	15.74	15.76	15.27	15.34	"13028565"	15.34
20-Sep-17	15.75	15.81	15.66	15.68	"14818529"	15.68
19-Sep-17	15.11	15.73	15.02	15.56	"22888151"	15.56
18-Sep-17	15.08	15.19	15.01	15.09	"8637342"	15.09
15-Sep-17	14.99	15.05	14.93	15.01	"30390936"	15.01
14-Sep-17	15.02	15.03	14.9	14.99	"10293080"	14.99
13-Sep-17	15.06	15.13	14.95	15.01	"11379098"	15.01
12-Sep-17	15.2	15.2	15.06	15.11	"8092433"	15.11
11-Sep-17	15.11	15.18	15	15.15	"8543632"	15.15
8-Sep-17	15.06	15.08	14.99	15.03	"7158021"	15.03
7-Sep-17	15.04	15.15	14.95	15.09	"8283350"	15.09
6-Sep-17	14.94	15.09	14.81	15	"9742754"	15
5-Sep-17	15.14	15.15	14.93	15	"7664530"	15
4-Sep-17	15.01	15.13	15.01	15.09	"4168035"	15.09
1-Sep-17	15.2	15.22	15.02	15.11	"8050819"	15.11
31-Aug-17	15.2	15.23	15.13	15.16	"8163044"	15.16
30-Aug-17	15.19	15.23	15.09	15.12	"6765167"	15.12
29-Aug-17	15.19	15.21	14.85	15.1	"13061036"	15.1
28-Aug-17	15.24	15.32	15.18	15.26	"3850797"	15.26
25-Aug-17	15.42	15.45	15.28	15.3	"7376072"	15.3
24-Aug-17	15.45	15.54	15.38	15.38	"6226280"	15.38
23-Aug-17	15.56	15.62	15.41	15.43	"6444225"	15.43
22-Aug-17	15.49	15.61	15.44	15.56	"6011632"	15.56
21-Aug-17	15.46	15.56	15.38	15.43	"5384968"	15.43
18-Aug-17	15.5	15.63	15.47	15.51	"8515393"	15.51
17-Aug-17	15.6	15.65	15.53	15.56	"6591575"	15.56
16-Aug-17	15.79	15.79	15.61	15.61	"6662597"	15.61
15-Aug-17	15.8	15.81	15.67	15.69	"5318915"	15.69
14-Aug-17	15.6	15.81	15.55	15.77	"7042304"	15.77
11-Aug-17	15.63	15.63	15.45	15.5	"8119118"	15.5
10-Aug-17	15.88	15.88	15.56	15.63	"8485469"	15.63
9-Aug-17	15.85	15.9	15.75	15.85	"9814669"	15.85
8-Aug-17	15.94	16.04	15.77	15.98	"9012120"	15.98
7-Aug-17	15.81	15.95	15.77	15.94	"11582687"	15.94
4-Aug-17	15.55	15.78	15.44	15.75	"9164538"	15.75
3-Aug-17	15.72	15.81	15.53	15.56	"9997980"	15.56
2-Aug-17	15.57	15.65	15.43	15.53	"7231503"	15.53
1-Aug-17	15.53	15.69	15.41	15.6	"7958676"	15.6
31-Jul-17	15.54	15.66	15.4	15.44	"8733384"	15.44
28-Jul-17	15.56	15.65	15.45	15.56	"8686213"	15.56
