Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,82.96,83.04,82.08,82.08,461595,82.08
24-Oct-17,83.23,83.74,82.57,83.08,441238,83.08
23-Oct-17,82.75,83.17,82.66,83.09,373022,83.09
20-Oct-17,82.84,83.07,82.29,82.87,479883,82.87
19-Oct-17,82.41,82.68,81.91,82.58,470291,82.58
18-Oct-17,81.64,82.56,81.47,82.05,450081,82.05
17-Oct-17,81.3,81.57,80.83,81.35,352875,81.35
16-Oct-17,81.18,81.5,80.85,81.48,440816,81.48
13-Oct-17,80.99,81.45,80.83,80.88,334292,80.88
12-Oct-17,81.36,81.7,80.98,80.98,499898,80.98
11-Oct-17,80.92,82.03,80.9,81.48,607884,81.48
10-Oct-17,81.3,81.3,79.81,81.01,1467359,81.01
9-Oct-17,83.5,83.8,82.56,82.8,444298,82.8
6-Oct-17,85.22,85.22,83.47,83.64,805261,83.64
5-Oct-17,85.22,85.22,83.47,83.64,803261,83.64
4-Oct-17,84.9,85.71,84.62,85.22,646638,85.22
3-Oct-17,84.3,84.3,84.3,84.3,620805,84.3
2-Oct-17,83.03,84.3,83.03,84.3,600805,84.3
29-Sep-17,82.62,82.97,82.33,82.77,486958,82.77
28-Sep-17,81.7,82.85,81.44,82.67,629873,82.67
27-Sep-17,81.65,81.65,80.86,81.32,421896,81.32
26-Sep-17,81.57,81.91,81.21,81.44,497219,81.44
25-Sep-17,81.01,82.08,80.57,82.03,452154,82.03
22-Sep-17,81.58,82.37,81.57,81.57,538511,81.57
21-Sep-17,82.27,82.3,81.29,81.9,620559,81.9
20-Sep-17,82.43,82.58,81.93,82.1,685837,82.1
19-Sep-17,82.07,82.84,81.71,82.79,614659,82.79
18-Sep-17,82.02,82.08,81.69,81.94,433892,81.94
15-Sep-17,81.42,81.8,81.26,81.6,1104871,81.6
14-Sep-17,81.13,81.59,80.96,81.53,575112,81.53
13-Sep-17,80.9,81.42,80.48,81.36,627186,81.36
12-Sep-17,80.99,80.99,80.38,80.9,479578,80.9
11-Sep-17,79.93,80.55,79.45,80.39,498445,80.39
8-Sep-17,79.65,79.78,79.08,79.44,287558,79.44
7-Sep-17,79.53,79.78,78.8,79.78,617692,79.78
6-Sep-17,78.8,79.39,78.3,79.03,460481,79.03
5-Sep-17,79.33,79.91,78.94,79.22,327076,79.22
4-Sep-17,78.65,79.01,78.3,78.73,234030,78.73
1-Sep-17,78.9,79.57,78.81,79.12,529040,79.12
31-Aug-17,78.41,78.67,77.86,78.5,639879,78.5
30-Aug-17,78.22,78.57,77.88,78.18,364314,78.18
29-Aug-17,77.84,78.19,77.22,77.76,505287,77.76
28-Aug-17,78.25,78.6,77.8,78.24,279552,78.24
25-Aug-17,79.55,79.6,78.85,78.85,402710,78.85
24-Aug-17,80.01,80.18,79.38,79.38,438047,79.38
23-Aug-17,79.72,80.6,79.57,79.65,275891,79.65
22-Aug-17,78.84,79.81,78.48,79.81,431055,79.81
21-Aug-17,78.75,79.16,78.11,78.38,318806,78.38
18-Aug-17,79.3,79.83,78.84,79.06,543912,79.06
17-Aug-17,79.11,79.96,78.77,79.92,533167,79.92
16-Aug-17,79.49,80.13,79.09,79.12,615707,79.12
15-Aug-17,78.08,79.04,78.08,79.01,597581,79.01
14-Aug-17,77.87,77.95,77.58,77.83,384714,77.83
11-Aug-17,76.59,77.82,76.56,77.47,702516,77.47
10-Aug-17,77.53,77.99,76.42,76.53,656694,76.53
9-Aug-17,77.58,78.17,76.84,77.37,695712,77.37
8-Aug-17,77.96,78.3,77.39,78.02,668242,78.02
7-Aug-17,78.93,79.27,77.04,77.88,701818,77.88
4-Aug-17,77.8,79.06,77.2,79.04,607314,79.04
3-Aug-17,77.76,78.2,77.25,77.79,679806,77.79
2-Aug-17,79.54,80.35,78.15,78.26,732676,78.26
1-Aug-17,79,82.25,78.95,80.24,1081232,80.24
31-Jul-17,80.3,81.12,79.79,79.79,454507,79.79
28-Jul-17,80.52,80.69,80.13,80.38,514405,80.38
27-Jul-17,81.09,81.74,80.5,81.04,470947,81.04
26-Jul-17,81.73,82.1,81.18,81.41,560585,81.41
25-Jul-17,81.39,82.15,81.14,81.82,408484,81.82
24-Jul-17,81.04,81.62,80.85,81.26,488074,81.26
21-Jul-17,82.3,82.67,80.92,81.08,799230,81.08
20-Jul-17,84.41,84.41,82.36,82.64,648192,82.64
19-Jul-17,84.24,84.38,83.46,83.57,472005,83.57
18-Jul-17,85.4,85.64,83.94,84.02,471469,84.02
17-Jul-17,85.94,86.12,85.09,85.66,295794,85.66
14-Jul-17,85.6,86.4,85.16,85.94,399155,85.94
13-Jul-17,85.69,85.69,84.91,85.32,342668,85.32
12-Jul-17,83.47,85.33,83.47,85.16,388467,85.16
11-Jul-17,84.04,84.12,83.26,83.28,316267,83.28
10-Jul-17,84.04,84.51,83.8,83.9,280194,83.9
7-Jul-17,83.42,83.59,82.96,83.43,448194,83.43
6-Jul-17,85.22,85.24,83.42,83.61,491623,83.61
