Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	71.15	71.34	70.43	70.65	"933171"	70.65
24-Oct-17	71.54	71.89	71.02	71.42	"857836"	71.42
23-Oct-17	71.22	71.86	71.2	71.5	"884267"	71.5
20-Oct-17	70.85	71.17	70.63	71.17	"1142788"	71.17
19-Oct-17	70.69	70.95	70.27	70.58	"917345"	70.58
18-Oct-17	70.16	70.91	69.97	70.53	"769262"	70.53
17-Oct-17	69.89	70.43	69.65	70.13	"855849"	70.13
16-Oct-17	69.66	70.11	69.52	70.1	"729914"	70.1
13-Oct-17	69.73	69.85	69.16	69.45	"822818"	69.45
12-Oct-17	69.6	69.6	69.02	69.55	"878076"	69.55
11-Oct-17	69.16	69.6	68.96	69.55	"986652"	69.55
10-Oct-17	69.62	69.69	68.5	69	"1097584"	69
9-Oct-17	70.53	70.61	69.83	69.86	"646738"	69.86
6-Oct-17	71.1	71.12	70.4	70.65	"1216517"	70.65
5-Oct-17	71.1	71.12	70.4	70.65	"1216517"	70.65
4-Oct-17	69.3	71.31	69.25	71.31	"2056634"	71.31
3-Oct-17	68.77	68.77	68.77	68.77	"1039676"	68.77
2-Oct-17	68.7	68.79	68.43	68.77	"1039676"	68.77
29-Sep-17	68.22	68.43	68.08	68.25	"1735539"	68.25
28-Sep-17	67.72	68.28	67.57	68.09	"1209637"	68.09
27-Sep-17	68	68.12	67.44	67.5	"1032332"	67.5
26-Sep-17	67.94	68.16	67.49	67.93	"1036548"	67.93
25-Sep-17	67.62	68.23	67.48	68.11	"955064"	68.11
22-Sep-17	68	68.32	67.72	67.72	"1465760"	67.72
21-Sep-17	68.95	69	68.01	68.08	"1199581"	68.08
20-Sep-17	69.44	69.6	68.71	68.75	"1011823"	68.75
19-Sep-17	69.88	69.9	69.14	69.68	"1213948"	69.68
18-Sep-17	70.32	70.53	69.71	69.81	"621349"	69.81
15-Sep-17	70	70.62	69.62	69.91	"2725071"	69.91
14-Sep-17	70.06	70.69	69.86	70.17	"1207559"	70.17
13-Sep-17	70.01	70.56	69.75	70.45	"1292070"	70.45
12-Sep-17	70.63	70.84	70.22	70.3	"1244999"	70.3
11-Sep-17	70.89	70.89	70.36	70.49	"1059109"	70.49
8-Sep-17	70.19	70.4	70.04	70.25	"1018718"	70.25
7-Sep-17	71.65	71.65	70.49	70.57	"1522980"	70.57
6-Sep-17	70.5	71.69	70.09	71.24	"980827"	71.24
5-Sep-17	70.76	71.35	70.43	70.7	"781046"	70.7
4-Sep-17	70.59	70.81	70.36	70.55	"593995"	70.55
1-Sep-17	71.39	71.82	71.2	71.3	"765872"	71.3
31-Aug-17	70.93	71.25	70.56	71.09	"1154017"	71.09
30-Aug-17	71.27	71.32	70.16	70.39	"985760"	70.39
29-Aug-17	70.54	71.02	70.02	70.99	"1411322"	70.99
28-Aug-17	70.5	71.34	70.32	71.1	"656032"	71.1
25-Aug-17	71.7	71.7	70.91	71.09	"936690"	71.09
24-Aug-17	70.8	71.97	70.72	71.44	"1524284"	71.44
23-Aug-17	70.47	71.07	70.26	70.65	"1445328"	70.65
22-Aug-17	68.75	70.41	68.74	70.41	"1673068"	70.41
21-Aug-17	68.35	68.79	67.69	68.29	"1024562"	68.29
18-Aug-17	69.32	69.42	68.3	68.7	"1365056"	68.7
17-Aug-17	69.38	69.98	69.33	69.7	"769317"	69.7
16-Aug-17	69.76	70.18	69.41	69.59	"882146"	69.59
15-Aug-17	69.2	69.48	68.99	69.24	"619421"	69.24
14-Aug-17	68.99	69.18	68.65	69.02	"1022586"	69.02
11-Aug-17	67.28	68.67	67.16	68.35	"1472653"	68.35
10-Aug-17	68.24	68.38	67.19	67.23	"1272820"	67.23
9-Aug-17	68.74	68.74	67.92	68.11	"1646109"	68.11
8-Aug-17	68.65	69.37	68.26	69.16	"1206693"	69.16
7-Aug-17	70.1	70.15	68.55	68.64	"1346873"	68.64
4-Aug-17	69.39	70.04	68.77	69.95	"1495165"	69.95
3-Aug-17	70.19	70.19	69	69.5	"1504839"	69.5
2-Aug-17	72.78	73.16	70.25	70.32	"1705542"	70.32
1-Aug-17	72	73.55	70.65	72.87	"1778252"	72.87
31-Jul-17	72.05	72.71	71.43	71.43	"1071936"	71.43
28-Jul-17	72.83	72.84	72.15	72.25	"988162"	72.25
27-Jul-17	72.78	73.43	72.16	73.26	"1126748"	73.26
26-Jul-17	73.4	73.48	72.73	73.04	"1190239"	73.04
25-Jul-17	73.62	74.06	73.25	73.61	"834243"	73.61
24-Jul-17	73.32	73.61	72.94	73.46	"995481"	73.46
21-Jul-17	74.69	75.26	73.29	73.46	"1786269"	73.46
20-Jul-17	75.49	75.82	74.64	74.83	"922988"	74.83
19-Jul-17	75.35	75.58	75.1	75.23	"797124"	75.23
18-Jul-17	75.53	76.06	74.91	75.04	"869544"	75.04
17-Jul-17	76.25	76.39	75.52	75.86	"453914"	75.86
14-Jul-17	76.13	76.68	75.73	76.23	"649107"	76.23
13-Jul-17	76.58	76.76	75.79	75.99	"758395"	75.99
12-Jul-17	75.04	76.61	74.85	76.44	"1155497"	76.44
11-Jul-17	75.18	75.25	74.48	74.9	"1093353"	74.9
10-Jul-17	75.07	75.35	74.64	74.84	"602737"	74.84
7-Jul-17	74.76	74.78	74.11	74.72	"747060"	74.72
6-Jul-17	76.43	76.43	74.68	74.9	"1194347"	74.9
5-Jul-17	75.06	76.11	74.7	75.97	"1269610"	75.97
4-Jul-17	75.13	75.5	74.95	75.2	"779720"	75.2
3-Jul-17	75.51	75.79	75.38	75.44	"757666"	75.44
30-Jun-17	75.08	75.81	73.83	75.06	"1403764"	75.06
29-Jun-17	76.76	77.36	75.06	75.2	"1459802"	75.2
28-Jun-17	76.7	76.96	76.01	76.6	"1158714"	76.6
27-Jun-17	77.9	78.09	77.01	77.2	"720962"	77.2
26-Jun-17	78.6	78.94	77.96	78.13	"621528"	78.13
23-Jun-17	78.61	78.84	78.05	78.24	"585455"	78.24
22-Jun-17	78.61	78.98	78.06	78.94	"737941"	78.94
21-Jun-17	78.88	78.96	78.18	78.33	"793041"	78.33
20-Jun-17	79.8	80.07	79.07	79.07	"983511"	79.07
19-Jun-17	79.78	80	79.12	79.65	"942410"	79.65
16-Jun-17	78.54	79.37	78.54	79.34	"2376219"	79.34
15-Jun-17	78.62	78.84	77.6	78.33	"1236779"	78.33
14-Jun-17	77.8	79.09	77.8	78.68	"1170222"	78.68
13-Jun-17	77.23	77.79	77.01	77.79	"764535"	77.79
12-Jun-17	77.73	77.8	76.63	76.86	"883413"	76.86
9-Jun-17	76.42	77.86	76.19	77.76	"898831"	77.76
8-Jun-17	76.04	77.35	75.95	76.76	"887049"	76.76
7-Jun-17	76	76.71	75.91	76.07	"945953"	76.07
6-Jun-17	76.33	76.4	75.54	76.18	"1103991"	76.18
5-Jun-17	76.81	76.81	76.81	76.81	"940912"	76.81
2-Jun-17	76.39	76.82	76.29	76.81	"940912"	76.81
1-Jun-17	76.14	76.43	75.99	76.39	"1018587"	76.39
31-May-17	75.45	76.8	75.45	76.21	"1329770"	76.21
30-May-17	75.92	76.1	75.41	75.5	"890768"	75.5
29-May-17	76.13	76.37	76.1	76.29	"276550"	76.29
26-May-17	75.68	76.45	75.68	76.34	"767574"	76.34
25-May-17	76.42	76.47	75.49	75.86	"507094"	75.86
24-May-17	75.75	76.14	75.56	76.13	"721327"	76.13
23-May-17	75.68	76.14	75.54	75.81	"752804"	75.81
22-May-17	76.28	76.39	75.44	75.98	"783184"	75.98
19-May-17	76.25	76.42	75.83	76.04	"1275095"	76.04
18-May-17	76.72	77.17	76.03	76.28	"1260976"	76.28
17-May-17	77.74	78.18	76.28	76.57	"985696"	76.57
16-May-17	78.2	78.46	77.4	78.08	"946351"	78.08
15-May-17	78.96	79.02	77.49	78.27	"999403"	78.27
12-May-17	78.61	79.49	78.25	79.49	"957777"	78.87
11-May-17	78.6	78.78	77.97	78.33	"805717"	77.72
10-May-17	78.73	78.98	78.26	78.52	"947242"	77.91
9-May-17	78.62	79.23	77.97	79.02	"918638"	78.4
8-May-17	79.26	79.35	78.05	78.42	"844416"	77.81
5-May-17	78.69	79.08	78.42	78.89	"1133232"	78.27
