Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	86.14	87.09	85.84	86.05	"635050"	86.05
24-Oct-17	85.87	86.85	85.66	86.33	"481170"	86.33
23-Oct-17	84.97	86	84.72	85.66	"510530"	85.66
20-Oct-17	84.43	85.22	84.33	84.91	"812487"	84.91
19-Oct-17	84.04	84.4	83.11	83.94	"516829"	83.94
18-Oct-17	82.62	84.22	82.48	83.88	"672140"	83.88
17-Oct-17	84.49	84.52	83.92	84.01	"633967"	84.01
16-Oct-17	85.95	86.12	84.55	84.66	"527886"	84.66
13-Oct-17	86.1	86.29	85.69	85.69	"330563"	85.69
12-Oct-17	86	86.08	84.9	85.89	"515470"	85.89
11-Oct-17	86.05	86.4	85.66	85.96	"389688"	85.96
10-Oct-17	84.81	85.64	84.74	85.61	"408858"	85.61
9-Oct-17	85.73	85.94	84.75	84.83	"365028"	84.83
6-Oct-17	85.32	86.1	84.96	85.95	"455287"	85.95
5-Oct-17	85.32	86.1	84.96	85.95	"455287"	85.95
4-Oct-17	86.47	86.47	85.23	85.45	"534908"	85.45
3-Oct-17	85.75	85.75	85.75	85.75	"623082"	85.75
2-Oct-17	87.2	87.3	85.66	85.75	"623038"	85.75
29-Sep-17	86.83	87.09	86.46	86.97	"590012"	86.97
28-Sep-17	85.85	86.68	85.68	86.52	"421870"	86.52
27-Sep-17	84.4	86.04	84.32	85.79	"1000332"	85.79
26-Sep-17	83.39	83.89	82.9	83.88	"510433"	83.88
25-Sep-17	85.24	85.67	83.54	83.7	"806353"	83.7
22-Sep-17	85.03	85.97	85	85.3	"491696"	85.3
21-Sep-17	84	85.93	83.76	85.39	"847327"	85.39
20-Sep-17	84.2	84.39	83.4	83.91	"597037"	83.91
19-Sep-17	82.49	83.49	81.89	83.27	"719904"	83.27
18-Sep-17	83.08	83.31	82.45	82.61	"268105"	82.61
15-Sep-17	82.31	82.64	82.04	82.51	"818257"	82.51
14-Sep-17	82.12	82.5	81.91	82.37	"456725"	82.37
13-Sep-17	82.7	83.1	82.37	82.41	"440271"	82.41
12-Sep-17	83.5	83.65	82.58	82.82	"491933"	82.82
11-Sep-17	83	83.65	82.87	83.01	"580200"	83.01
8-Sep-17	81.43	82.48	81.26	82.27	"593096"	82.27
7-Sep-17	82	82.1	81.42	81.53	"533747"	81.53
6-Sep-17	80.71	81.29	80.32	80.92	"403796"	80.92
