Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,116.45,116.75,115.65,116,459733,116
24-Oct-17,115.6,116.65,115.55,116.45,453363,116.45
23-Oct-17,116.65,116.75,115.8,115.9,429237,115.9
20-Oct-17,117.75,117.9,116.3,116.6,552787,116.6
19-Oct-17,118.35,118.5,117.2,117.6,639087,117.6
18-Oct-17,118.7,119.95,117.75,119.2,535725,119.2
17-Oct-17,118.8,119.55,118.55,119.05,449484,119.05
16-Oct-17,119.05,119.35,118.6,118.7,309166,118.7
13-Oct-17,119.05,119.7,118.95,119.05,425174,119.05
12-Oct-17,118.55,119.65,118.55,119.25,451754,119.25
11-Oct-17,118.95,119.2,117.85,118.55,377558,118.55
10-Oct-17,116.5,118.55,116.4,118.35,622973,118.35
9-Oct-17,116.2,116.85,115.95,116.5,326599,116.5
6-Oct-17,117.25,117.3,116.45,117.2,558515,117.2
5-Oct-17,117.25,117.3,116.45,117.2,558515,117.2
4-Oct-17,116.95,117.7,116,117.35,696953,117.35
3-Oct-17,116.75,116.75,116.75,116.75,518785,116.75
2-Oct-17,115.6,116.75,115.4,116.75,518785,116.75
29-Sep-17,114.55,115.15,114.1,115.15,516369,115.15
28-Sep-17,114.3,115.05,113.85,114.4,638063,114.4
27-Sep-17,112.95,114.1,112.45,114.1,770796,114.1
26-Sep-17,113,113.25,111.85,112.4,814863,112.4
25-Sep-17,113.1,114.2,112.8,113.85,528061,113.85
22-Sep-17,113.7,114.15,112.8,113.4,502197,113.4
21-Sep-17,114.75,115,113.25,113.6,552964,113.6
20-Sep-17,115.3,115.7,114.35,114.8,515290,114.8
19-Sep-17,115.85,116,115.15,115.45,376676,115.45
18-Sep-17,116.45,116.45,115.6,116.1,269043,116.1
15-Sep-17,115.5,116.1,115.15,115.85,1001811,115.85
14-Sep-17,116.15,116.7,115.5,115.75,577869,115.75
13-Sep-17,116.35,116.85,115.95,116.55,500686,116.55
12-Sep-17,118.15,118.8,116.9,117.3,469297,117.3
11-Sep-17,117.5,118.7,117.1,118.6,454731,118.6
8-Sep-17,116.35,117.4,116.3,116.9,373674,116.9
7-Sep-17,115.95,117.25,115.9,116.6,579585,116.6
6-Sep-17,114.7,116.55,114,116.2,619401,116.2
5-Sep-17,113.75,115.95,113.6,115.4,783284,115.4
4-Sep-17,112.75,113.65,112.7,113.4,315305,113.4
1-Sep-17,112.55,113.8,112.45,113.3,382612,113.3
31-Aug-17,112.75,113.3,112.15,112.55,440391,112.55
30-Aug-17,112.2,112.65,111.65,112.25,387389,112.25
29-Aug-17,111.85,112.2,111,111.6,469682,111.6
28-Aug-17,112.55,113,111.6,112.65,269828,112.65
25-Aug-17,113.3,113.75,112.8,113.05,339692,113.05
24-Aug-17,113.8,114.25,113.55,113.55,329863,113.55
23-Aug-17,113.4,114.35,113.4,113.9,420826,113.9
22-Aug-17,113.5,113.95,113,113.8,360571,113.8
21-Aug-17,112.5,113,112.15,112.8,409741,112.8
