Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	22.8	22.89	22.56	22.66	"3397187"	22.66
24-Oct-17	22.74	22.85	22.51	22.83	"4680539"	22.83
23-Oct-17	22.6	22.77	22.5	22.74	"2751390"	22.74
20-Oct-17	22.35	22.63	22.08	22.47	"5514179"	22.47
19-Oct-17	22.3	22.39	21.93	22.31	"3938396"	22.31
18-Oct-17	22.48	22.67	22.16	22.18	"4794725"	22.18
17-Oct-17	22.05	22.58	21.98	22.37	"6656494"	22.37
16-Oct-17	21.85	21.88	21.68	21.73	"1892931"	21.73
13-Oct-17	21.66	21.83	21.61	21.8	"2821749"	21.8
12-Oct-17	21.74	21.83	21.53	21.65	"2675817"	21.65
11-Oct-17	21.55	21.74	21.5	21.72	"2388520"	21.72
10-Oct-17	21.67	21.75	21.44	21.51	"2554894"	21.51
9-Oct-17	21.75	21.83	21.55	21.65	"2721895"	21.65
6-Oct-17	21.73	21.92	21.5	21.6	"4203096"	21.6
5-Oct-17	21.73	21.92	21.5	21.6	"4203096"	21.6
4-Oct-17	22.1	22.13	21.74	22.02	"4576580"	22.02
3-Oct-17	21.9	21.9	21.9	21.9	"5061419"	21.9
2-Oct-17	21.44	21.91	21.42	21.9	"5061419"	21.9
29-Sep-17	21.08	21.27	21.05	21.27	"3786470"	21.27
28-Sep-17	20.95	21.16	20.94	21.02	"2996654"	21.02
27-Sep-17	20.57	20.9	20.52	20.85	"2831077"	20.85
26-Sep-17	20.27	20.57	20.22	20.48	"3690014"	20.48
25-Sep-17	20.86	20.95	20.47	20.53	"3305369"	20.53
22-Sep-17	20.63	20.99	20.6	20.89	"4215981"	20.89
21-Sep-17	20.68	20.71	20.49	20.62	"2208851"	20.62
20-Sep-17	20.77	20.8	20.54	20.58	"2774686"	20.58
19-Sep-17	20.84	20.94	20.67	20.85	"2827901"	20.85
18-Sep-17	20.66	20.86	20.62	20.83	"2911736"	20.83
15-Sep-17	20.25	20.51	20.24	20.5	"6189881"	20.5
14-Sep-17	20.1	20.42	20.05	20.39	"3636869"	20.39
13-Sep-17	20.45	20.53	20.37	20.48	"2767942"	20.48
12-Sep-17	20.45	20.74	20.42	20.55	"3356167"	20.55
11-Sep-17	20.29	20.43	20.25	20.35	"2688524"	20.35
8-Sep-17	20.06	20.21	20	20.18	"2580282"	20.18
7-Sep-17	19.98	20.2	19.62	20.12	"4188951"	20.12
6-Sep-17	19.62	19.93	19.57	19.81	"2587261"	19.81
5-Sep-17	19.7	19.92	19.64	19.77	"2366598"	19.77
4-Sep-17	19.59	19.73	19.49	19.62	"2183362"	19.62
1-Sep-17	19.42	19.95	19.42	19.83	"4872265"	19.83
31-Aug-17	19.15	19.48	19.13	19.37	"3441005"	19.37
30-Aug-17	19.07	19.12	18.92	19.03	"2046039"	19.03
29-Aug-17	19	19.06	18.78	18.94	"3859743"	18.94
28-Aug-17	18.99	19.25	18.84	19.22	"1927787"	19.22
25-Aug-17	19.06	19.34	19.03	19.15	"2991472"	19.15
24-Aug-17	19.08	19.23	19.01	19.05	"2680113"	19.05
23-Aug-17	19	19.17	18.96	19.02	"2421679"	19.02
22-Aug-17	18.7	19.03	18.7	19.01	"2559610"	19.01
21-Aug-17	18.75	18.84	18.57	18.63	"2714708"	18.63
18-Aug-17	18.85	18.89	18.7	18.77	"3600016"	18.77
17-Aug-17	19.06	19.17	18.95	19	"2247839"	19
16-Aug-17	19.14	19.2	19.08	19.12	"2462128"	19.12
15-Aug-17	19.23	19.24	18.98	19.06	"2500454"	19.06
14-Aug-17	19.12	19.21	19.04	19.11	"2445360"	19.11
11-Aug-17	18.97	19.02	18.73	18.96	"4037013"	18.96
10-Aug-17	19.17	19.19	19.05	19.1	"3338893"	19.1
9-Aug-17	19.02	19.26	18.83	19.17	"4558930"	19.17
8-Aug-17	19.23	19.27	19.06	19.13	"3345455"	19.13
7-Aug-17	19.25	19.28	18.98	19.24	"3443532"	19.24
4-Aug-17	18.63	19.25	18.59	19.23	"7252185"	19.23
3-Aug-17	18.72	18.77	18.48	18.52	"4094932"	18.52
2-Aug-17	18.8	19.12	18.67	18.7	"5639619"	18.7
1-Aug-17	18.22	18.89	18.17	18.72	"9487568"	18.72
31-Jul-17	18.38	18.5	17.83	18.39	"7402959"	18.39
28-Jul-17	18.38	18.66	18.3	18.4	"5005577"	18.4
27-Jul-17	18.7	18.78	18.52	18.67	"3312887"	18.67
26-Jul-17	18.56	18.73	18.34	18.7	"4823423"	18.7
25-Jul-17	18.34	18.52	18.27	18.4	"4450315"	18.4
24-Jul-17	18.57	18.61	18.28	18.3	"5306272"	18.3
21-Jul-17	19.08	19.38	18.4	18.53	"10302666"	18.53
20-Jul-17	19.53	19.67	19.26	19.43	"4056067"	19.43
19-Jul-17	19.24	19.49	19.2	19.42	"3570368"	19.42
18-Jul-17	19.08	19.22	18.9	19.08	"4138189"	19.08
17-Jul-17	19.4	19.68	19.14	19.15	"4986042"	19.15
14-Jul-17	19.2	19.28	19.08	19.26	"2162751"	19.26
13-Jul-17	19.32	19.34	19.15	19.19	"3139346"	19.19
12-Jul-17	18.83	19.32	18.82	19.26	"5577169"	19.26
11-Jul-17	18.74	18.92	18.65	18.72	"4990314"	18.72
10-Jul-17	18.82	18.91	18.63	18.65	"3024057"	18.65
7-Jul-17	18.58	18.72	18.43	18.67	"3630560"	18.67
6-Jul-17	18.8	18.8	18.3	18.58	"4297642"	18.58
5-Jul-17	18.56	18.73	18.44	18.66	"4008892"	18.66
4-Jul-17	18.53	18.66	18.45	18.52	"2754159"	18.52
3-Jul-17	18.55	18.83	18.49	18.61	"4181934"	18.61
30-Jun-17	18.35	18.81	18.25	18.49	"5843879"	18.49
29-Jun-17	19.2	19.26	18.26	18.35	"6875905"	18.35
28-Jun-17	18.95	19.13	18.73	19.05	"5003754"	19.05
27-Jun-17	19.5	19.59	19.16	19.18	"5244542"	19.18
26-Jun-17	19.77	19.87	19.6	19.6	"2766244"	19.6
23-Jun-17	19.55	19.72	19.39	19.66	"2636249"	19.66
22-Jun-17	19.73	19.76	19.52	19.6	"2679681"	19.6
21-Jun-17	19.75	19.77	19.57	19.67	"3102479"	19.67
20-Jun-17	20.15	20.41	19.78	19.8	"4626549"	19.8
19-Jun-17	19.94	20.15	19.75	20.02	"3540436"	20.02
16-Jun-17	19.4	19.82	19.3	19.77	"7922552"	19.77
15-Jun-17	19.58	19.62	19.1	19.3	"5645794"	19.3
14-Jun-17	19.75	19.94	19.63	19.63	"5171974"	19.63
13-Jun-17	19.51	19.91	19.44	19.63	"7514769"	19.63
12-Jun-17	19.87	19.88	18.92	19.4	"14372070"	19.4
9-Jun-17	20.2	20.45	20.15	20.39	"3644462"	20.39
8-Jun-17	20.36	20.49	20.15	20.15	"3292771"	20.15
7-Jun-17	20.05	20.43	20	20.31	"3346306"	20.31
6-Jun-17	20.05	20.27	19.94	20.12	"3983189"	20.12
5-Jun-17	20.09	20.09	20.09	20.09	"3726792"	20.09
2-Jun-17	19.87	20.19	19.85	20.09	"3726792"	20.09
1-Jun-17	19.69	19.78	19.57	19.77	"2620780"	19.77
31-May-17	19.79	19.94	19.6	19.69	"4755199"	19.69
30-May-17	19.61	19.85	19.56	19.78	"3262391"	19.78
29-May-17	19.63	19.67	19.55	19.65	"1513280"	19.65
26-May-17	19.73	19.76	19.52	19.67	"2020666"	19.67
25-May-17	19.62	19.75	19.35	19.73	"3254342"	19.73
24-May-17	19.24	19.64	19.17	19.56	"4543491"	19.56
23-May-17	19.07	19.24	19.04	19.21	"2675628"	19.21
22-May-17	19.33	19.33	18.9	19.08	"3679760"	19.08
19-May-17	19.15	19.33	19.06	19.26	"4100709"	19.26
18-May-17	19.12	19.12	18.6	19.09	"6981181"	19.09
17-May-17	19.45	19.59	19.08	19.17	"5406513"	19.17
16-May-17	19.58	19.67	19.45	19.56	"3684478"	19.56
15-May-17	19.3	19.62	19.23	19.56	"5282439"	19.56
12-May-17	19.07	19.24	18.94	19.04	"2956975"	19.04
11-May-17	19.08	19.14	18.97	19.08	"4393804"	19.08
10-May-17	18.74	19.17	18.74	19.06	"5764369"	19.06
9-May-17	18.7	18.84	18.63	18.73	"3605068"	18.73
8-May-17	18.89	18.89	18.55	18.67	"4748186"	18.67
5-May-17	18.62	18.86	18.59	18.78	"4314427"	18.78
4-May-17	18.67	18.86	18.52	18.6	"7386507"	18.6
3-May-17	18.97	19.09	18.81	19.03	"4140706"	19.03
2-May-17	19	19.1	18.89	18.99	"3493781"	18.99
28-Apr-17	18.91	19.1	18.87	19	"3429041"	19
27-Apr-17	19.05	19.24	18.91	18.99	"4579215"	18.99
26-Apr-17	18.89	19.19	18.78	19.08	"4197271"	19.08
25-Apr-17	18.92	19.14	18.8	18.89	"3647103"	18.89
24-Apr-17	18.56	19	18.52	18.93	"5051192"	18.93
21-Apr-17	18.52	18.56	18.24	18.25	"4483412"	18.25
20-Apr-17	18.25	18.54	18.16	18.52	"3752882"	18.52
19-Apr-17	18.4	18.56	18.23	18.31	"3740188"	18.31
18-Apr-17	18.54	18.6	18.24	18.33	"3474704"	18.33
