Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	25.95	27.19	25.28	27.15	"10405102"	27.15
24-Oct-17	26.29	26.39	25.84	26.18	"3369115"	26.18
23-Oct-17	26	26.05	25.63	25.96	"2749630"	25.96
20-Oct-17	25.5	26.08	25.44	25.72	"3539917"	25.72
19-Oct-17	25.51	25.59	25.11	25.44	"2757584"	25.44
18-Oct-17	25.45	25.59	25.35	25.56	"2417031"	25.56
17-Oct-17	25.4	25.64	25.32	25.42	"2567322"	25.42
16-Oct-17	25	25.33	24.95	25.28	"2396944"	25.28
13-Oct-17	25.21	25.28	24.67	25.04	"3753274"	25.04
12-Oct-17	25.08	25.53	24.98	25.13	"5991889"	25.13
11-Oct-17	24.61	25.05	24.5	24.56	"4108323"	24.56
10-Oct-17	23.97	24.92	23.72	24.58	"4367847"	24.58
9-Oct-17	24.03	24.2	23.9	23.99	"1759774"	23.99
6-Oct-17	24.57	24.65	23.86	24.25	"3296102"	24.25
5-Oct-17	24.57	24.65	23.86	24.25	"3296102"	24.25
4-Oct-17	24.38	24.67	24.24	24.67	"3999356"	24.67
3-Oct-17	24.32	24.32	24.32	24.32	"3992971"	24.32
2-Oct-17	23.59	24.35	23.55	24.32	"3992097"	24.32
29-Sep-17	23.45	23.59	23.19	23.51	"2898644"	23.51
28-Sep-17	23.7	23.7	23.17	23.42	"3077716"	23.42
27-Sep-17	22.95	23.66	22.67	23.66	"4197784"	23.66
26-Sep-17	22.98	23.13	22.8	22.9	"2465933"	22.9
25-Sep-17	22.91	23.49	22.91	23	"3492136"	23
22-Sep-17	22.61	22.96	22.52	22.88	"2780560"	22.88
21-Sep-17	22.72	22.9	22.42	22.65	"2046458"	22.65
20-Sep-17	22.76	22.88	22.5	22.65	"1931746"	22.65
19-Sep-17	22.38	23	22.35	22.85	"2795316"	22.85
18-Sep-17	22.62	22.67	22.4	22.4	"1746888"	22.4
15-Sep-17	22.41	22.59	22.31	22.46	"5164563"	22.46
14-Sep-17	22.55	22.61	22.36	22.46	"3037862"	22.46
13-Sep-17	22.9	23.06	22.69	22.7	"3080037"	22.7
12-Sep-17	22.66	23.17	22.59	22.98	"3826643"	22.98
11-Sep-17	22.09	22.58	21.99	22.58	"3393316"	22.58
8-Sep-17	21.89	22.14	21.78	22.08	"2338549"	22.08
7-Sep-17	21.92	22.15	21.78	22	"3550018"	22
6-Sep-17	21.48	21.86	21.45	21.8	"3803118"	21.8
5-Sep-17	21.66	21.71	21.5	21.56	"2474833"	21.56
4-Sep-17	21.49	21.75	21.4	21.56	"2664723"	21.56
1-Sep-17	21.25	21.76	21.15	21.76	"4588457"	21.76
31-Aug-17	20.25	21.07	20.25	21.07	"3708142"	21.07
30-Aug-17	20.55	20.58	20.15	20.34	"2088870"	20.34
29-Aug-17	20.64	20.74	20.13	20.35	"3619542"	20.35
28-Aug-17	20.75	20.75	20.57	20.65	"943000"	20.65
25-Aug-17	20.82	20.89	20.62	20.76	"1703204"	20.76
24-Aug-17	20.85	20.99	20.8	20.8	"2128120"	20.8
23-Aug-17	21.06	21.11	20.8	20.83	"2512768"	20.83
22-Aug-17	21.05	21.08	20.82	21	"2452594"	21
21-Aug-17	20.65	21.11	20.65	20.86	"3654946"	20.86
18-Aug-17	20.25	20.92	20.14	20.74	"4325527"	20.74
17-Aug-17	20.69	20.83	20.49	20.66	"3126258"	20.66
16-Aug-17	20.68	21.08	20.6	20.75	"4809157"	20.75
15-Aug-17	19.77	20.64	19.58	20.59	"6752479"	20.59
14-Aug-17	19.68	19.74	19.48	19.66	"2442753"	19.66
11-Aug-17	19.83	19.86	19.29	19.6	"3361513"	19.6
10-Aug-17	19.75	19.88	19.61	19.66	"2753413"	19.66
9-Aug-17	19.81	20.05	19.48	19.67	"4343392"	19.67
8-Aug-17	19.85	20.05	19.72	20.05	"3338443"	20.05
7-Aug-17	19.6	19.81	19.58	19.81	"3090972"	19.81
4-Aug-17	19.28	19.72	19.19	19.61	"2910252"	19.61
3-Aug-17	19.25	19.41	18.87	19.3	"4099705"	19.3
2-Aug-17	19.15	19.56	18.88	19.27	"6443232"	19.27
1-Aug-17	18	18.73	17.81	18.68	"4745366"	18.68
31-Jul-17	18.42	18.49	18.17	18.17	"3562448"	18.17
28-Jul-17	18.66	18.85	18.27	18.4	"5670073"	18.4
27-Jul-17	18.78	18.81	18.43	18.53	"3249193"	18.53
26-Jul-17	18.81	18.89	18.7	18.75	"2845152"	18.75
25-Jul-17	18.7	18.86	18.44	18.66	"3443149"	18.66
24-Jul-17	18.47	18.7	18.23	18.65	"5318848"	18.65
21-Jul-17	19.01	19.44	18.45	18.56	"10402128"	18.56
20-Jul-17	21	21.03	19.03	19.06	"17774247"	19.06
19-Jul-17	20.94	21.23	20.65	20.84	"5199430"	20.84
18-Jul-17	20.65	20.91	20.21	20.86	"9579638"	20.86
17-Jul-17	21	21.11	20.87	21.11	"2997432"	21.11
14-Jul-17	20.93	21.01	20.81	20.9	"2717654"	20.9
13-Jul-17	20.61	21	20.58	20.97	"4522752"	20.97
12-Jul-17	20.49	20.64	20.35	20.64	"4549503"	20.64
11-Jul-17	20.3	20.74	20.23	20.5	"3749632"	20.5
10-Jul-17	20.25	20.48	20.23	20.41	"2968582"	20.41
7-Jul-17	20.25	20.5	20.19	20.5	"3180990"	20.5
6-Jul-17	20.15	20.29	19.94	20.24	"3578068"	20.24
5-Jul-17	20	20.33	19.85	20.17	"5180540"	20.17
4-Jul-17	20.17	20.29	19.95	20.03	"3301588"	20.03
3-Jul-17	20.06	20.65	20.05	20.25	"5495741"	20.25
30-Jun-17	19.77	20.19	19.73	19.92	"5044114"	19.92
29-Jun-17	20.08	20.19	19.68	19.8	"6159039"	19.8
28-Jun-17	19.27	20.06	19.25	20.03	"7476067"	20.03
27-Jun-17	19.27	19.4	19.13	19.34	"4717050"	19.34
26-Jun-17	18.75	19.33	18.75	19.2	"4701418"	19.2
23-Jun-17	18.45	18.68	18.4	18.63	"1757429"	18.63
22-Jun-17	18.46	18.5	18.39	18.5	"1908780"	18.5
21-Jun-17	18.53	18.6	18.31	18.5	"3025171"	18.5
20-Jun-17	18.75	18.85	18.58	18.59	"2933062"	18.59
19-Jun-17	18.74	18.84	18.58	18.67	"3249355"	18.67
16-Jun-17	18.66	18.75	18.48	18.59	"4272087"	18.59
15-Jun-17	18.8	18.81	18.31	18.58	"4489828"	18.58
14-Jun-17	18.9	19	18.75	18.85	"4137443"	18.85
13-Jun-17	18.55	19.01	18.52	18.88	"5036642"	18.88
12-Jun-17	18.49	18.53	18.17	18.33	"4705849"	18.33
9-Jun-17	18.18	18.75	18.1	18.6	"6496461"	18.6
8-Jun-17	17.99	18.27	17.95	18.23	"3088855"	18.23
7-Jun-17	17.94	18.02	17.83	17.97	"3475857"	17.97
6-Jun-17	17.8	18.31	17.8	18	"5760043"	18
5-Jun-17	17.78	17.78	17.78	17.78	"5566945"	17.78
2-Jun-17	17.7	17.87	17.68	17.78	"5566934"	17.78
1-Jun-17	17.34	17.74	17.32	17.45	"4746947"	17.45
31-May-17	17.14	17.34	17.09	17.3	"4411495"	17.3
30-May-17	16.93	17.2	16.84	17.19	"3477939"	17.19
29-May-17	17.03	17.08	16.81	17.02	"1709960"	17.02
26-May-17	17.04	17.1	16.89	17.09	"3091967"	17.09
25-May-17	16.74	17.16	16.74	17.06	"3541579"	17.06
24-May-17	16.38	16.81	16.32	16.65	"3467300"	16.65
23-May-17	16.24	16.42	16.16	16.4	"3388941"	16.4
22-May-17	16.36	16.42	16.25	16.3	"1791807"	16.3
19-May-17	16.25	16.41	16.23	16.3	"2993235"	16.3
18-May-17	16.48	16.49	16.09	16.25	"6357258"	16.25
17-May-17	16.78	17	16.5	16.55	"5011700"	16.55
16-May-17	16.9	17.13	16.75	16.83	"3614514"	16.83
15-May-17	16.92	16.97	16.65	16.97	"3649081"	16.97
12-May-17	16.87	17	16.75	16.81	"5279161"	16.81
11-May-17	17.15	17.29	16.79	16.79	"5988814"	16.79
10-May-17	16.61	17.17	16.42	17.17	"7745160"	17.17
9-May-17	16.5	16.72	16.42	16.65	"4207872"	16.65
8-May-17	16.3	16.49	16.03	16.48	"5528811"	16.48
5-May-17	16.32	16.54	16.29	16.32	"7933113"	16.17
4-May-17	16.12	16.26	15.92	16.26	"4605706"	16.11
3-May-17	16.21	16.22	15.95	16.05	"3920821"	15.9
2-May-17	15.84	16.26	15.82	16.23	"4691168"	16.08
28-Apr-17	15.82	16.02	15.76	15.84	"5216327"	15.69
27-Apr-17	16.49	16.63	15.81	15.81	"8924652"	15.66
26-Apr-17	16.65	16.89	16.61	16.81	"4517647"	16.66
25-Apr-17	16.67	16.68	16.56	16.64	"3448927"	16.49
24-Apr-17	16.37	16.71	16.35	16.69	"8425218"	16.54
21-Apr-17	15.88	16.15	15.86	16.1	"5128583"	15.95
20-Apr-17	15.75	16	15.68	15.9	"3991792"	15.75
19-Apr-17	15.2	15.84	15.18	15.79	"5019443"	15.64
18-Apr-17	15.2	15.31	14.99	15.15	"4374747"	15.01
13-Apr-17	15.33	15.4	15.07	15.2	"6851267"	15.06
12-Apr-17	15.88	15.98	15.65	15.68	"3253981"	15.54
11-Apr-17	15.4	16.03	15.23	15.83	"8626077"	15.68
10-Apr-17	14.92	15.43	14.57	15.27	"5064059"	15.12
7-Apr-17	15.12	15.17	14.88	14.9	"3866912"	14.76
6-Apr-17	15.17	15.31	14.92	15.23	"3863900"	15.09
5-Apr-17	15.3	15.35	15.16	15.29	"2587984"	15.15
4-Apr-17	15.14	15.48	15.13	15.36	"3589515"	15.22
3-Apr-17	15.24	15.27	15.11	15.2	"2867561"	15.06
31-Mar-17	15	15.25	14.99	15.2	"4413989"	15.06
30-Mar-17	14.93	15.07	14.93	15.06	"3269268"	14.93
29-Mar-17	14.98	15.02	14.85	14.94	"2560307"	14.8
28-Mar-17	14.95	15.05	14.77	14.96	"3229356"	14.82
27-Mar-17	14.9	14.95	14.56	14.87	"5269231"	14.73
24-Mar-17	15.06	15.12	14.94	15.06	"3082806"	14.92
23-Mar-17	14.64	15.13	14.63	15.1	"5870923"	14.96
22-Mar-17	14.54	14.58	14.23	14.58	"5800818"	14.45
21-Mar-17	15.03	15.03	14.55	14.6	"6112499"	14.47
20-Mar-17	15.27	15.31	15.01	15.05	"4235319"	14.91
17-Mar-17	15.17	15.6	15.16	15.29	"9934890"	15.15
16-Mar-17	14.88	15.29	14.78	15.17	"12474779"	15.03
15-Mar-17	14.19	14.52	14.15	14.41	"6424691"	14.28
14-Mar-17	14.3	14.34	14.13	14.15	"4009893"	14.02
13-Mar-17	14.35	14.54	14.31	14.31	"3676349"	14.18
10-Mar-17	14.49	14.52	14.31	14.34	"4241881"	14.21
9-Mar-17	14.05	14.7	14.04	14.49	"6595310"	14.36
8-Mar-17	13.69	14.19	13.65	14.12	"4724929"	13.99
7-Mar-17	13.9	13.95	13.65	13.73	"3062131"	13.6
6-Mar-17	13.81	13.99	13.8	13.89	"2423292"	13.76
3-Mar-17	13.85	14.01	13.7	13.9	"3314217"	13.77
2-Mar-17	14.03	14.14	13.86	13.93	"3142074"	13.8
1-Mar-17	13.88	14.11	13.83	14.06	"5075817"	13.93
28-Feb-17	13.85	13.95	13.77	13.83	"3328716"	13.7
27-Feb-17	13.74	13.92	13.72	13.8	"2992489"	13.67
24-Feb-17	13.69	13.94	13.55	13.71	"4248641"	13.58
23-Feb-17	13.8	13.8	13.62	13.7	"3036692"	13.57
22-Feb-17	13.69	13.83	13.64	13.79	"3658464"	13.66
21-Feb-17	13.42	13.73	13.42	13.66	"4060032"	13.54
20-Feb-17	13.55	13.64	13.43	13.46	"2228885"	13.34
17-Feb-17	13.31	13.51	13.19	13.5	"4716406"	13.38
16-Feb-17	13.1	13.55	13.1	13.35	"8387813"	13.22
15-Feb-17	12.88	13.13	12.85	13.06	"6969810"	12.94
14-Feb-17	12.79	12.93	12.77	12.85	"2867915"	12.73
13-Feb-17	12.64	12.88	12.64	12.81	"3634316"	12.69
10-Feb-17	12.77	12.81	12.58	12.6	"4150876"	12.49
9-Feb-17	12.51	12.77	12.35	12.72	"4633767"	12.6
8-Feb-17	12.28	12.59	12.28	12.45	"6004292"	12.34
7-Feb-17	12.15	12.16	12.05	12.06	"2180560"	11.94
6-Feb-17	12.18	12.28	12.06	12.11	"3480585"	12
3-Feb-17	12.35	12.42	12.22	12.24	"2991854"	12.13
2-Feb-17	12.48	12.56	12.3	12.34	"3362457"	12.22
1-Feb-17	12.37	12.58	12.34	12.54	"3296162"	12.42
31-Jan-17	12.59	12.66	12.34	12.34	"4378302"	12.22
30-Jan-17	12.82	12.86	12.57	12.63	"4906131"	12.51
27-Jan-17	12.7	12.98	12.66	12.76	"6266337"	12.64
26-Jan-17	12.61	12.72	12.52	12.55	"3413692"	12.43
25-Jan-17	12.28	12.64	12.28	12.59	"5951773"	12.47
24-Jan-17	12.23	12.25	12.02	12.23	"4030497"	12.11
23-Jan-17	12.04	12.27	11.91	12.23	"5412019"	12.12
