Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	182.35	184.05	181.65	182.55	"482262"	182.55
24-Oct-17	182.05	185.25	181.9	182.9	"889352"	182.9
23-Oct-17	178.45	183.05	178.35	183.05	"1419712"	183.05
20-Oct-17	172.85	178.95	172.15	178.95	"1251260"	178.95
19-Oct-17	174.45	174.8	172.5	173.35	"445249"	173.35
18-Oct-17	175.45	175.85	173	174.7	"474362"	174.7
17-Oct-17	173.95	177.05	173.85	175.4	"691743"	175.4
16-Oct-17	176.3	176.8	173.6	173.65	"538009"	173.65
13-Oct-17	174.7	176.9	174.7	176.45	"498074"	176.45
12-Oct-17	175.5	175.55	172.8	174.7	"506265"	174.7
11-Oct-17	175.65	175.9	175.05	175.2	"430328"	175.2
10-Oct-17	174.85	177.25	174.85	175.9	"500177"	175.9
9-Oct-17	177.2	177.9	174.85	175.1	"392237"	175.1
6-Oct-17	178	178.7	177.2	178.7	"417708"	178.7
5-Oct-17	178	178.7	177.2	178.7	"417708"	178.7
4-Oct-17	177.7	178.75	176.05	178.05	"649266"	178.05
3-Oct-17	176.7	176.7	176.7	176.7	"367161"	176.7
2-Oct-17	176	176.7	175.25	176.7	"367116"	176.7
29-Sep-17	174.75	177.95	174.35	176.45	"925900"	176.45
28-Sep-17	170.65	174.7	169.5	174.7	"672657"	174.7
27-Sep-17	168.75	171.6	168.4	170.65	"534389"	170.65
26-Sep-17	164.5	172.75	163.85	168.75	"855197"	168.75
25-Sep-17	164.7	165.3	163.45	164	"405247"	164
22-Sep-17	167.15	167.3	165.3	165.3	"507669"	165.3
21-Sep-17	166.2	168.4	166	167.15	"478455"	167.15
20-Sep-17	162.65	166.85	162.55	166.4	"564806"	166.4
19-Sep-17	162.7	163.7	161.55	162.35	"514978"	162.35
18-Sep-17	162.5	163.4	161.75	163.3	"299452"	163.3
15-Sep-17	161.75	162.5	161.15	161.85	"979129"	161.85
14-Sep-17	162.45	162.85	161.85	162.2	"443324"	162.2
13-Sep-17	162.4	163.45	161.65	163.2	"414884"	163.2
12-Sep-17	164.15	164.35	162.55	163.4	"390200"	163.4
11-Sep-17	159.65	163.45	159.5	163.35	"422222"	163.35
8-Sep-17	160.5	161.9	160.35	161.05	"278927"	161.05
7-Sep-17	161.45	161.8	160.35	160.8	"348566"	160.8
6-Sep-17	159	162	158.85	160.8	"335678"	160.8
5-Sep-17	159.35	160.85	159.35	160.45	"407910"	160.45
4-Sep-17	158.9	160.1	158.2	159.5	"248080"	159.5
1-Sep-17	161.45	162.35	159.6	160.35	"465270"	160.35
31-Aug-17	162	163.1	161.05	161.05	"362203"	161.05
30-Aug-17	159.85	161.25	159.85	160.8	"293859"	160.8
29-Aug-17	161.6	162.45	158.35	159.2	"627787"	159.2
28-Aug-17	163.25	164.05	162.4	162.6	"268740"	162.6
25-Aug-17	165.75	166.55	164.85	164.85	"301885"	164.85
24-Aug-17	166.55	166.8	165.25	166.2	"351390"	166.2
23-Aug-17	167.45	168.55	166.4	166.55	"333052"	166.55
22-Aug-17	163.75	167.7	163.75	167.65	"519265"	167.65
21-Aug-17	164.25	165.25	162.25	163.5	"573321"	163.5
18-Aug-17	164.65	165.8	163.1	165.65	"640569"	165.65
17-Aug-17	165	167.1	164.75	166	"430822"	166
16-Aug-17	163	166.9	162.9	165.25	"550885"	165.25
15-Aug-17	163.4	164.45	162.1	162.45	"339400"	162.45
14-Aug-17	160.15	162.95	159.55	162.35	"388461"	162.35
11-Aug-17	157.7	159.4	157.7	158.75	"337240"	158.75
10-Aug-17	158.55	159.65	158.35	158.65	"367756"	158.65
9-Aug-17	159.2	159.75	157.5	158.9	"439870"	158.9
8-Aug-17	160.9	161.55	159.2	160.55	"505799"	160.55
7-Aug-17	161.5	162.75	161.5	161.55	"256772"	161.55
4-Aug-17	160.6	163.3	160.05	161.95	"279728"	161.95
3-Aug-17	161	161.9	160.25	161.05	"317685"	161.05
2-Aug-17	162.95	163.35	161.05	161.05	"360357"	161.05
1-Aug-17	161.7	164.25	160.85	163.05	"407963"	163.05
31-Jul-17	161.7	163.55	161.4	161.8	"464471"	161.8
28-Jul-17	165.25	165.95	161.2	161.7	"668221"	161.7
27-Jul-17	168.05	169.7	164.25	165.25	"460549"	165.25
26-Jul-17	168.2	170	167.95	168	"403891"	168
25-Jul-17	169.95	170.75	168.7	168.7	"348261"	168.7
24-Jul-17	169.8	171.05	169.2	169.9	"383149"	169.9
21-Jul-17	170.3	172.3	168.8	169.35	"598156"	169.35
20-Jul-17	171	173.3	170	170.85	"374951"	170.85
19-Jul-17	170.7	171.3	168.6	170	"311106"	170
18-Jul-17	171.8	173.75	170	170	"459105"	170
17-Jul-17	173.3	173.65	172.2	173.65	"207634"	173.65
14-Jul-17	173.7	173.95	172.6	172.7	"267982"	172.7
