Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,67.24,67.99,67.14,67.29,225901,67.29
24-Oct-17,67.55,67.55,67.09,67.31,218190,67.31
23-Oct-17,68.15,68.15,67.4,67.69,243871,67.69
20-Oct-17,66.48,68.08,66.42,68.06,438532,68.06
19-Oct-17,66.34,66.71,65.81,66.45,210336,66.45
18-Oct-17,66.05,66.84,65.94,66.5,236013,66.5
17-Oct-17,66.56,66.82,66.1,66.14,187717,66.14
16-Oct-17,67.27,67.68,66.53,66.57,197814,66.57
13-Oct-17,66.55,67.58,66.17,67.31,266910,67.31
12-Oct-17,66.27,66.8,66.17,66.47,176291,66.47
11-Oct-17,66.1,66.37,65.95,66.25,184915,66.25
10-Oct-17,66.3,66.92,66.07,66.17,149722,66.17
9-Oct-17,66.5,66.82,66.3,66.36,154781,66.36
6-Oct-17,67.05,67.17,66.86,67,162987,67
5-Oct-17,67.05,67.17,66.86,67,162987,67
4-Oct-17,66.91,67.2,66.2,67.04,304572,67.04
3-Oct-17,66.72,66.72,66.72,66.72,185888,66.72
2-Oct-17,66.95,67.16,66.48,66.72,185818,66.72
29-Sep-17,67.2,67.2,66.12,66.76,262126,66.76
28-Sep-17,65.99,67.05,65.98,66.94,224991,66.94
27-Sep-17,66.01,66.32,65.94,65.94,207230,65.94
26-Sep-17,65.7,66.11,65.56,66.01,121832,66.01
25-Sep-17,65.95,66.15,65.8,65.91,167394,65.91
22-Sep-17,65.99,66.59,65.99,66.16,201822,66.16
21-Sep-17,65.94,66.49,65.83,66.18,171158,66.18
20-Sep-17,65.67,66,65.53,65.83,196447,65.83
19-Sep-17,65.49,66.15,65.35,65.75,297574,65.75
18-Sep-17,64.5,65.6,64.34,65.5,257496,65.5
15-Sep-17,63.96,64.37,63.91,64.05,271404,64.05
14-Sep-17,64.18,64.45,63.74,63.98,257231,63.98
13-Sep-17,64.95,64.95,64,64.01,417589,64.01
12-Sep-17,64.52,65.58,64.39,65.23,430842,65.23
11-Sep-17,63.13,64.57,62.86,64.13,359622,64.13
8-Sep-17,63.1,63.13,62.79,62.88,297749,62.88
7-Sep-17,62.4,63.68,62.1,62.89,369121,62.89
6-Sep-17,61.9,62.5,61.56,62.27,450122,62.27
5-Sep-17,64.23,65.05,60.81,61.81,1229997,61.81
4-Sep-17,62.99,64.44,62.72,64.1,298450,64.1
1-Sep-17,63.56,63.6,62.88,63.34,378133,63.34
31-Aug-17,63.67,63.93,62.65,62.65,539349,62.65
30-Aug-17,62.86,63.37,62.5,63.31,250488,63.31
29-Aug-17,64.49,64.53,61.84,62.34,657170,62.34
28-Aug-17,64.66,64.99,64.15,64.8,215775,64.8
25-Aug-17,64.92,65.46,64.8,65.1,403658,65.1
24-Aug-17,64.59,64.94,64.36,64.86,696917,64.86
23-Aug-17,63.87,64.56,63.81,64.3,269025,64.3
22-Aug-17,62.79,63.9,62.73,63.9,299083,63.9
21-Aug-17,62.54,62.74,62.09,62.46,211296,62.46
18-Aug-17,62.2,62.69,61.76,62.6,415688,62.6
17-Aug-17,63.61,63.78,62.6,62.95,426116,62.95
16-Aug-17,62.76,64.17,62.72,63.66,495440,63.66
15-Aug-17,63.73,63.88,61.81,62.56,615150,62.56
14-Aug-17,64.12,64.42,63.51,63.6,323677,63.6
11-Aug-17,63.97,63.98,63.3,63.63,384033,63.63
10-Aug-17,65.9,65.9,63.3,64.52,947253,64.52
9-Aug-17,67.28,67.34,66.21,66.72,389513,66.72
8-Aug-17,67.22,67.84,66.62,67.8,249248,67.8
7-Aug-17,67.41,67.73,67.16,67.35,159024,67.35
4-Aug-17,66.23,67.33,65.73,67.23,199742,67.23
3-Aug-17,66.48,66.52,65.8,66.31,242555,66.31
2-Aug-17,66.8,67.43,66.38,66.61,283584,66.61
1-Aug-17,65.49,66.44,64.96,66.15,215713,66.15
