Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,186.35,187.15,185.1,186.4,512348,186.4
24-Oct-17,185.55,187.25,185.2,185.95,520566,185.95
23-Oct-17,189,189,185.8,186.05,572271,186.05
20-Oct-17,186.9,188.9,186.9,188.35,718398,188.35
19-Oct-17,185.4,186.7,183.9,186.7,819006,186.7
18-Oct-17,184.6,186.15,184.4,185.8,478423,185.8
17-Oct-17,184.3,185,183.95,184.2,349752,184.2
16-Oct-17,184.75,185.1,184.2,184.45,258006,184.45
13-Oct-17,184.7,185.4,184.3,184.65,325594,184.65
12-Oct-17,184.35,185.25,183.8,184.55,383386,184.55
11-Oct-17,184.5,184.6,183.2,184.25,443067,184.25
10-Oct-17,184.5,184.85,183.55,183.55,392095,183.55
9-Oct-17,185,185.3,184.15,184.3,329205,184.3
6-Oct-17,182,184.4,181.2,183.85,642375,183.85
5-Oct-17,182,184.4,181.2,183.85,642375,183.85
4-Oct-17,182,182.1,180.3,181.65,489621,181.65
3-Oct-17,181.2,181.2,181.2,181.2,429679,181.2
2-Oct-17,182,182.1,180.3,181.2,429674,181.2
29-Sep-17,179.4,181.35,179.2,180.9,778321,180.9
28-Sep-17,179.25,180,178.5,179.15,514267,179.15
27-Sep-17,176,179.4,176,178.25,690227,178.25
26-Sep-17,176,176.8,175.7,176.15,532584,176.15
25-Sep-17,177.55,178.15,176.85,177.6,349282,177.6
22-Sep-17,176,178.05,175.6,178,516199,178
21-Sep-17,175.7,178.1,175.2,176.8,623022,176.8
20-Sep-17,174.05,175.05,173.65,174.25,380889,174.25
19-Sep-17,174.5,174.9,173.9,174.7,431437,174.7
18-Sep-17,176.1,176.3,174.6,174.6,426856,174.6
15-Sep-17,176.55,176.85,175.2,175.3,1457358,175.3
14-Sep-17,173.7,177.8,173.25,176.05,1359007,176.05
13-Sep-17,176.55,176.85,174.95,175.9,569939,175.9
12-Sep-17,177,177.15,175.6,176.7,600072,176.7
11-Sep-17,174.45,177.65,174.1,176.4,1243755,176.4
8-Sep-17,167.5,169.5,166.6,169.5,862042,169.5
7-Sep-17,170.15,170.25,167.8,168,743422,168
6-Sep-17,169,170.25,167.3,169.5,783716,169.5
5-Sep-17,171.8,172,169.2,169.35,680964,169.35
4-Sep-17,172.45,172.45,171.45,171.65,353994,171.65
1-Sep-17,174,174.55,173,173.35,504549,173.35
31-Aug-17,174.9,175.3,172.55,173.4,1016725,173.4
30-Aug-17,174.65,175.4,173.9,173.9,558559,173.9
29-Aug-17,174,174.1,170.55,172.25,790095,172.25
28-Aug-17,175.95,176.3,174.85,174.85,422759,174.85
25-Aug-17,177.75,178.15,176.7,176.8,317888,176.8
24-Aug-17,177.2,178.9,177.2,177.5,299234,177.5
23-Aug-17,177.8,178.6,176.65,177.25,283930,177.25
22-Aug-17,177.7,178.1,177.15,177.8,271783,177.8
