Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	21.28	21.31	20.55	20.62	"3392342"	20.62
24-Oct-17	21.43	21.61	21.25	21.3	"2716542"	21.3
23-Oct-17	21.39	21.54	21.35	21.41	"1656790"	21.41
20-Oct-17	21.42	21.64	21.32	21.45	"2814557"	21.45
19-Oct-17	21.3	21.37	21.14	21.37	"2239125"	21.37
18-Oct-17	21.32	21.44	21.24	21.27	"3429204"	21.27
17-Oct-17	21.01	21.32	20.93	21.28	"3285831"	21.28
16-Oct-17	20.94	21.07	20.63	21.02	"2894523"	21.02
13-Oct-17	20.92	20.96	20.74	20.96	"2756352"	20.96
12-Oct-17	20.51	20.88	20.39	20.86	"3864825"	20.86
11-Oct-17	19.86	20.52	19.8	20.49	"4649933"	20.49
10-Oct-17	19.87	19.88	19.66	19.81	"2489433"	19.81
9-Oct-17	19.45	19.94	19.41	19.92	"3275415"	19.92
6-Oct-17	19.33	19.76	19.32	19.45	"3638922"	19.45
5-Oct-17	19.33	19.76	19.32	19.45	"3638922"	19.45
4-Oct-17	19.5	19.83	19.26	19.38	"7717710"	19.38
3-Oct-17	19.55	19.55	19.55	19.55	"3791369"	19.55
2-Oct-17	19.17	19.55	19.15	19.55	"3791365"	19.55
29-Sep-17	19.32	19.48	19.14	19.22	"3717174"	19.22
28-Sep-17	19.42	19.43	19.06	19.33	"3984237"	19.33
27-Sep-17	19.42	19.58	19.32	19.4	"3349297"	19.4
26-Sep-17	19.16	19.43	19.09	19.27	"3518040"	19.27
25-Sep-17	19.85	19.89	19.11	19.16	"9034686"	19.16
22-Sep-17	20.25	20.5	20.09	20.23	"2762600"	20.23
21-Sep-17	20.88	20.88	20.24	20.25	"3654732"	20.25
20-Sep-17	20.09	20.88	19.85	20.83	"6581919"	20.83
19-Sep-17	19.91	20.17	19.8	20.17	"3684048"	20.17
18-Sep-17	20.31	20.55	20.16	20.19	"2713547"	20.19
15-Sep-17	20.09	20.26	20	20.17	"5805837"	20.17
14-Sep-17	20.58	20.67	20.37	20.4	"3148074"	20.4
13-Sep-17	20.8	21.16	20.53	20.65	"3627796"	20.65
12-Sep-17	21.6	21.69	20.92	20.92	"3635408"	20.92
11-Sep-17	21.39	21.59	21.36	21.52	"2080627"	21.52
8-Sep-17	21.34	21.41	21.13	21.33	"2069359"	21.33
