Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	95.1	96.22	94.77	95.49	"1801441"	95.49
24-Oct-17	95.8	96.18	94.83	95.33	"2030428"	95.33
23-Oct-17	95.25	96.26	94.98	95.99	"1630849"	95.99
20-Oct-17	96.14	96.49	94.74	95.22	"3023873"	95.22
19-Oct-17	92.91	95.84	92.27	95.6	"4625999"	95.6
18-Oct-17	94.95	95.83	94.44	95.01	"1625481"	95.01
17-Oct-17	94.51	94.85	94.21	94.52	"1366631"	94.52
16-Oct-17	95.3	95.34	94.51	94.63	"1142648"	94.63
13-Oct-17	95.19	95.47	94.71	95.12	"1203418"	95.12
12-Oct-17	95.02	95.37	94.41	95.18	"1423823"	95.18
11-Oct-17	95.07	95.09	94.53	94.82	"1233059"	94.82
10-Oct-17	95.4	95.94	94.72	95.03	"1385754"	95.03
9-Oct-17	94.5	95.45	94.45	95.45	"1537118"	95.45
6-Oct-17	93.67	94.37	93.65	94.33	"1338338"	94.33
5-Oct-17	93.67	94.37	93.65	94.33	"1338338"	94.33
4-Oct-17	94.25	94.32	93.44	93.79	"1898469"	93.79
3-Oct-17	94.08	94.08	94.08	94.08	"1780731"	94.08
2-Oct-17	93	94.1	92.92	94.08	"1780673"	94.08
29-Sep-17	92.18	92.69	91.96	92.69	"2618209"	92.69
28-Sep-17	91.71	92.21	91.69	92.18	"1241513"	92.18
27-Sep-17	91.5	91.98	91.46	91.66	"1351146"	91.66
26-Sep-17	91.51	91.99	91.22	91.42	"1439834"	91.42
25-Sep-17	91.8	92.48	91.71	91.88	"1187213"	91.88
22-Sep-17	91.77	92.45	91.7	92.09	"1389178"	92.09
21-Sep-17	92.11	92.17	91.48	91.74	"1270263"	91.74
20-Sep-17	91.63	92.01	91.39	91.84	"1167514"	91.84
19-Sep-17	92.17	92.46	91.83	91.9	"1335493"	91.9
18-Sep-17	92.5	92.71	91.86	92.11	"1258915"	92.11
15-Sep-17	91.52	92.24	91.35	92.01	"7224626"	92.01
14-Sep-17	91.88	92.24	91.33	91.93	"2152609"	91.93
13-Sep-17	91.5	92.28	91.32	92.28	"1875512"	92.28
