Date	Open	High	Low	Close	Volume	Adj Close
25-Oct-17	20.61	20.83	20.55	20.64	"735584"	20.64
24-Oct-17	20.75	20.86	20.67	20.73	"516113"	20.73
23-Oct-17	20.95	20.98	20.76	20.82	"659794"	20.82
20-Oct-17	20.7	21.3	20.66	20.94	"1363201"	20.94
19-Oct-17	20.83	20.94	20.51	20.66	"895703"	20.66
18-Oct-17	20.7	20.88	20.66	20.8	"715732"	20.8
17-Oct-17	20.86	20.92	20.64	20.72	"917767"	20.72
16-Oct-17	20.82	21.25	20.7	20.83	"1368440"	20.83
13-Oct-17	20.63	20.78	20.53	20.75	"754616"	20.75
12-Oct-17	20.83	20.91	20.57	20.65	"1264235"	20.65
11-Oct-17	21.1	21.1	20.81	20.85	"1423504"	20.85
10-Oct-17	20.72	21.15	20.35	20.97	"2770114"	20.97
9-Oct-17	22.35	22.35	20.58	20.66	"6001819"	20.66
6-Oct-17	22.38	22.39	21.98	22.18	"1713651"	22.18
5-Oct-17	22.38	22.39	21.98	22.18	"1713651"	22.18
4-Oct-17	23.01	23.34	22.31	22.44	"2596185"	22.44
3-Oct-17	22.99	22.99	22.99	22.99	"1422895"	22.99
2-Oct-17	23.13	23.3	22.62	22.99	"1422850"	22.99
29-Sep-17	22.98	23.22	22.86	23.05	"1424756"	23.05
28-Sep-17	22.66	22.84	22.46	22.8	"965429"	22.8
27-Sep-17	22.43	22.85	22.42	22.58	"1205362"	22.58
26-Sep-17	22.1	22.42	22.08	22.35	"954224"	22.35
25-Sep-17	22.2	22.3	22.09	22.12	"685124"	22.12
22-Sep-17	22.08	22.35	22.03	22.15	"844789"	22.15
21-Sep-17	22.06	22.35	22.03	22.17	"1503320"	22.17
20-Sep-17	21.65	22.03	21.51	21.92	"1257214"	21.92
19-Sep-17	21.68	22.02	21.61	21.61	"1706833"	21.61
18-Sep-17	21.2	21.74	21.16	21.64	"1893454"	21.64
15-Sep-17	20.55	21.16	20.55	20.98	"1958801"	20.98
14-Sep-17	20.48	20.61	20.34	20.56	"900592"	20.56
13-Sep-17	20.84	20.91	20.4	20.48	"1578666"	20.48
12-Sep-17	20.45	21.18	20.41	20.91	"1828822"	20.91
11-Sep-17	20.4	20.58	20.31	20.41	"783626"	20.41
8-Sep-17	20.5	20.53	20.25	20.31	"801891"	20.31
7-Sep-17	20.41	20.69	20.38	20.53	"992659"	20.53
6-Sep-17	20.2	20.36	20.05	20.28	"745467"	20.28
5-Sep-17	20.35	20.47	20.21	20.28	"780327"	20.28
4-Sep-17	20.33	20.4	20.2	20.32	"658973"	20.32
1-Sep-17	20.25	20.67	20.19	20.43	"1500492"	20.43
31-Aug-17	20.13	20.25	19.99	20.02	"1062884"	20.02
30-Aug-17	20.16	20.2	20.01	20.01	"729605"	20.01
29-Aug-17	20.31	20.35	19.93	20.02	"1382917"	20.02
28-Aug-17	20.31	20.53	20.21	20.43	"689987"	20.43
25-Aug-17	20.5	20.58	20.35	20.35	"1094579"	20.35
24-Aug-17	20.77	20.78	20.42	20.45	"1273273"	20.45
23-Aug-17	20.6	20.91	20.41	20.75	"3414977"	20.75
22-Aug-17	19.75	19.94	19.43	19.86	"1320049"	19.86
21-Aug-17	19.65	19.72	19.5	19.56	"1241842"	19.56
18-Aug-17	19.9	19.92	19.51	19.76	"2227837"	19.76
17-Aug-17	20.08	20.17	19.81	20	"2125018"	20
16-Aug-17	20.6	20.84	20.02	20.1	"3249785"	20.1
15-Aug-17	21.17	21.44	20.48	20.66	"4359872"	20.66
14-Aug-17	21.59	21.93	21.59	21.83	"1325879"	21.83
11-Aug-17	21.58	21.58	21.2	21.48	"1270651"	21.48
10-Aug-17	22.1	22.1	21.61	21.73	"1027739"	21.73
9-Aug-17	22.3	22.35	21.98	22.15	"652126"	22.15
8-Aug-17	22.34	22.58	22.3	22.47	"375739"	22.47
7-Aug-17	22.35	22.61	22.31	22.41	"675498"	22.41
4-Aug-17	21.93	22.42	21.9	22.31	"777172"	22.31
3-Aug-17	22	22.14	21.84	21.95	"679210"	21.95
2-Aug-17	22.26	22.38	22.04	22.07	"709860"	22.07
1-Aug-17	22.02	22.34	21.85	22.18	"1058157"	22.18
31-Jul-17	22.08	22.21	21.99	22	"630061"	22
28-Jul-17	22.2	22.22	21.9	22.04	"998234"	22.04
27-Jul-17	22.5	22.57	22.16	22.22	"748792"	22.22
26-Jul-17	22.39	22.58	22.26	22.58	"603811"	22.58
25-Jul-17	22.3	22.4	22.18	22.33	"840587"	22.33
24-Jul-17	22.42	22.47	22.19	22.31	"752382"	22.31
21-Jul-17	23.27	23.33	22.44	22.5	"1832696"	22.5
20-Jul-17	23.51	23.72	23.28	23.33	"660746"	23.33
19-Jul-17	23.4	23.45	23.13	23.44	"876877"	23.44
18-Jul-17	23.79	24.05	23.33	23.4	"1196243"	23.4
17-Jul-17	24.02	24.36	23.95	24.08	"813434"	24.08
14-Jul-17	23.68	24.31	23.6	24.06	"1158316"	24.06
13-Jul-17	23.6	24.22	23.43	23.83	"1840586"	23.83
12-Jul-17	23.78	23.85	23.58	23.58	"753037"	23.58
11-Jul-17	23.26	23.85	23.2	23.63	"1960595"	23.63
10-Jul-17	23.06	23.19	22.72	23.04	"826427"	23.04
7-Jul-17	22.98	23.2	22.91	23	"414177"	23
6-Jul-17	23.15	23.23	22.81	23.01	"562495"	23.01
5-Jul-17	23.25	23.37	23.06	23.09	"656874"	23.09
4-Jul-17	23.15	23.49	23.08	23.2	"859011"	23.2
3-Jul-17	22.55	23.33	22.52	23.22	"1048001"	23.22
30-Jun-17	22.79	22.84	22.41	22.42	"1107352"	22.42
29-Jun-17	22.75	22.95	22.28	22.47	"1193807"	22.47
28-Jun-17	22.62	22.67	22.35	22.63	"939929"	22.63
27-Jun-17	22.68	22.88	22.62	22.67	"740789"	22.67
26-Jun-17	22.91	23.17	22.64	22.69	"914109"	22.69
23-Jun-17	23.1	23.19	22.63	22.87	"800971"	22.87
22-Jun-17	23.27	23.57	23.03	23.11	"898290"	23.11
21-Jun-17	23.53	23.53	23.18	23.3	"962996"	23.3
20-Jun-17	24.05	24.25	23.5	23.5	"1013639"	23.5
