Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,115.7,116.15,115.05,115.15,1605345,115.15
24-Oct-17,116.5,116.85,115.95,115.95,1710467,115.95
23-Oct-17,116.5,117.45,116.2,116.5,1852662,116.5
20-Oct-17,118.25,118.55,115.3,115.9,4178699,115.9
19-Oct-17,118.6,118.7,117.4,117.4,2605394,117.4
18-Oct-17,118.4,118.7,117.8,118.25,1697809,118.25
17-Oct-17,119.15,119.55,118.5,118.5,1714791,118.5
16-Oct-17,119.5,119.9,118.8,119.05,1342215,119.05
13-Oct-17,119.75,120,119.05,119.9,1338687,119.9
12-Oct-17,119.6,120.1,119.4,119.5,1181681,119.5
11-Oct-17,120.15,120.15,119.15,119.65,1294619,119.65
10-Oct-17,120.2,120.2,118.75,119.75,1320033,119.75
9-Oct-17,119.95,120.35,119.35,120.2,972579,120.2
6-Oct-17,120.9,120.9,119,119.5,2053803,119.5
5-Oct-17,120.9,120.9,119,119.5,2053803,119.5
4-Oct-17,120.5,121,119.7,121,2129461,121
3-Oct-17,119.9,119.9,119.9,119.9,1442393,119.9
2-Oct-17,119.75,120.4,119.35,119.9,1442293,119.9
29-Sep-17,118.85,119.2,118.15,119.2,2775424,119.2
28-Sep-17,118.5,118.85,118,118.05,1708876,118.05
27-Sep-17,117.45,119.2,117.2,117.95,2325711,117.95
26-Sep-17,116.2,117.25,115.8,116.55,1299667,116.55
25-Sep-17,116.2,117.3,116.15,116.65,1224571,116.65
22-Sep-17,117.3,117.4,116.3,116.55,1634138,116.55
21-Sep-17,116.05,117.7,116.05,117.45,1653273,117.45
20-Sep-17,115.5,116.4,115.45,115.95,1610759,115.95
19-Sep-17,116.85,116.85,115.55,116,2012532,116
18-Sep-17,117.4,117.8,116.7,116.85,1450950,116.85
15-Sep-17,117.05,117.6,116.3,116.3,6265334,116.3
14-Sep-17,116.7,117.25,116.2,117.1,2138099,117.1
13-Sep-17,115.5,117.4,115.3,116.9,2837073,116.9
12-Sep-17,115.25,115.9,115.05,115.55,1950548,115.55
11-Sep-17,113,115.15,112.7,114.95,2656145,114.95
8-Sep-17,112.7,112.7,111.85,112.25,1596002,112.25
7-Sep-17,113.2,113.55,112.5,112.9,2296415,112.9
6-Sep-17,111.5,113.35,111.15,112.65,2055603,112.65
5-Sep-17,111.35,113.15,111.25,112.3,2300875,112.3
4-Sep-17,110.05,111.65,109.7,111.25,1240310,111.25
1-Sep-17,110.05,111.3,109.95,110.75,1586142,110.75
31-Aug-17,109.8,110.65,109.6,109.8,2134235,109.8
30-Aug-17,109.7,109.8,109.05,109.3,1451646,109.3
29-Aug-17,110.25,110.35,108.5,108.7,2888803,108.7
28-Aug-17,110.5,111.15,110,110.9,1183426,110.9
25-Aug-17,112,112.15,110.85,110.85,1261519,110.85
24-Aug-17,112.5,112.55,111.55,111.65,1375489,111.65
23-Aug-17,112.85,113.25,112.05,112.15,1503262,112.15
22-Aug-17,112.2,112.95,111.45,112.95,1911146,112.95
21-Aug-17,111,111.45,110.55,111.1,1482927,111.1
18-Aug-17,110.65,111.8,110.3,111.3,2357250,111.3
17-Aug-17,112.15,112.7,111.45,111.45,1738769,111.45
16-Aug-17,110.85,113.6,110.5,112.35,2698862,112.35
15-Aug-17,110.6,110.95,109.9,110.05,1387502,110.05
14-Aug-17,109.95,110.8,109.25,110.2,1976801,110.2
11-Aug-17,108.4,109.95,108,109.2,2711540,109.2
10-Aug-17,110.45,110.5,108.45,108.6,3082825,108.6
9-Aug-17,111,111.65,110.35,110.45,2649001,110.45
8-Aug-17,111.4,112.55,110.9,112,2217164,112
7-Aug-17,111.9,112.25,110.6,111.25,1929915,111.25
4-Aug-17,112.2,112.3,111.05,111.55,3599186,111.55
3-Aug-17,114.1,114.2,112.1,112.5,4048298,112.5
2-Aug-17,117,117.1,115.6,116.05,1845744,116.05
1-Aug-17,115.45,117.2,115.1,116.45,1823195,116.45
31-Jul-17,115.05,116.3,114.6,114.75,2163801,114.75
28-Jul-17,115.15,116.6,115,115.75,2059393,115.75
27-Jul-17,116.45,117.3,115.35,115.8,2408226,115.8
26-Jul-17,117.2,118.05,116.9,117.3,1590854,117.3
25-Jul-17,116.05,117.65,115.95,117.25,1732370,117.25
24-Jul-17,115.95,117.5,115.9,116.35,2101515,116.35
21-Jul-17,117.8,118.5,115.25,115.95,3478668,115.95
20-Jul-17,117.1,120.15,116.95,118.1,2722018,118.1
19-Jul-17,118.2,118.45,116.15,116.6,2648845,116.6
18-Jul-17,118.3,118.8,116.65,117.95,2588402,117.95
17-Jul-17,120.35,120.5,118.55,119,1679251,119
14-Jul-17,121,121,119.95,120.3,1743255,120.3
13-Jul-17,122.8,122.95,120.25,120.5,2744525,120.5
12-Jul-17,121,123.75,120.65,122.8,1922536,122.8
11-Jul-17,121.2,121.85,120.1,120.55,1450367,120.55
10-Jul-17,121.6,121.8,120.6,121.05,1119002,121.05
7-Jul-17,120.25,120.95,119.9,120.85,1513607,120.85
6-Jul-17,122,122.1,119.55,120.5,2603303,120.5
5-Jul-17,122.15,122.9,121.5,122,1580461,122
4-Jul-17,122.4,123.1,121.85,121.85,961952,121.85
3-Jul-17,121,123.15,120.85,123.1,1473541,123.1
30-Jun-17,120.4,122.9,119.8,120.35,2500287,120.35
29-Jun-17,123.9,124.4,120.5,120.55,2033903,120.55
28-Jun-17,123.45,123.9,122.25,123.2,1506231,123.2
27-Jun-17,125.85,126.15,124.1,124.1,1428760,124.1
26-Jun-17,124.9,126.9,124.9,125.9,1378521,125.9
23-Jun-17,124.85,125.65,123.85,124.75,1126893,124.75
22-Jun-17,124,125.55,123.35,125.2,1716604,125.2
21-Jun-17,124.8,125.05,123.65,124.45,1461584,124.45
20-Jun-17,127.25,127.9,125.15,125.15,1565811,125.15
19-Jun-17,125.35,126.9,125.3,126.5,1592980,126.5
16-Jun-17,126,126.45,122.1,124.55,7097648,124.55
15-Jun-17,126.5,126.85,125.45,125.7,2396839,125.7
14-Jun-17,127.1,128.65,126.75,126.75,1890769,126.75
13-Jun-17,126.75,126.75,126,126.75,1466635,126.75
12-Jun-17,129,129,126.05,126.25,1756174,126.25
9-Jun-17,128.2,129.55,128,129.4,1412237,129.4
8-Jun-17,126.9,128.15,126.8,127.95,1090408,127.95
7-Jun-17,127.3,128.15,126.65,126.9,1452502,126.9
6-Jun-17,128.5,129.1,127.5,127.5,1621091,127.5
5-Jun-17,129.5,129.5,129.5,129.5,1687399,129.5
2-Jun-17,127.5,129.8,127.5,129.5,1687396,129.5
1-Jun-17,127.05,127.65,125.9,126.85,1364129,126.85
31-May-17,126.6,127.9,126.2,127.05,2266311,127.05
30-May-17,126,127.1,125.9,126.4,1297575,126.4
