Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,23.5,23.53,22.91,22.99,2675007,22.99
24-Oct-17,23.45,23.74,23.45,23.5,1919646,23.5
23-Oct-17,23.47,23.69,23.31,23.5,2308069,23.5
20-Oct-17,23.63,23.7,23.3,23.34,3152985,23.34
19-Oct-17,23.5,23.67,23.07,23.42,3035533,23.42
18-Oct-17,23.5,23.79,23.35,23.57,2550748,23.57
17-Oct-17,23.75,23.9,23.49,23.49,2859601,23.49
16-Oct-17,23.97,24.04,23.61,23.82,2756979,23.82
13-Oct-17,23.35,24.01,23.25,23.75,4511139,23.75
12-Oct-17,23.65,23.83,23.44,23.65,4021215,23.65
11-Oct-17,23.27,23.6,23.04,23.6,4855911,23.6
10-Oct-17,22.88,23.21,22.65,23.14,5529569,23.14
9-Oct-17,23.47,23.56,22.95,23.01,4176588,23.01
6-Oct-17,24.13,24.19,23.83,24.06,3835642,24.06
5-Oct-17,24.13,24.19,23.83,24.06,3835642,24.06
4-Oct-17,24.68,24.68,23.83,24.1,6231756,24.1
3-Oct-17,24.7,24.7,24.7,24.7,3891592,24.7
2-Oct-17,25.16,25.26,24.47,24.7,3891492,24.7
29-Sep-17,25.29,25.42,24.76,25.08,8550032,25.08
28-Sep-17,25,25.41,24.88,25.21,4255504,25.21
27-Sep-17,24.84,24.94,24.62,24.91,2882396,24.91
26-Sep-17,24.25,24.99,24.18,24.73,9063093,24.73
25-Sep-17,24.92,25.08,24.65,24.7,2049007,24.7
22-Sep-17,24.84,25.02,24.56,25.02,3179066,25.02
21-Sep-17,25.9,26,24.92,24.97,4226235,24.97
20-Sep-17,26.3,26.58,25.75,25.85,6328281,25.85
19-Sep-17,25.75,25.75,25.25,25.25,2234019,25.25
18-Sep-17,26.14,26.26,25.64,25.66,1811511,25.66
15-Sep-17,26.06,26.17,25.85,25.85,3649784,25.85
14-Sep-17,26.17,26.26,25.98,26.07,2184505,26.07
13-Sep-17,26.72,26.74,26.27,26.3,1888698,26.3
