Date,Open,High,Low,Close,Volume,Adj Close
25-Oct-17,145.5,145.7,143.9,144.5,1004824,144.5
24-Oct-17,142.2,145.55,141.9,145.5,1416570,145.5
23-Oct-17,142.15,143.3,141.4,142.2,808411,142.2
20-Oct-17,143.85,144.55,141.35,141.55,1430467,141.55
19-Oct-17,144.65,145,141.95,143.2,1369139,143.2
18-Oct-17,144.2,144.95,143.5,144.65,868657,144.65
17-Oct-17,144,144.15,142.9,143.15,860022,143.15
16-Oct-17,144.5,144.8,143.75,143.75,881395,143.75
13-Oct-17,143.75,144.45,142.9,144.15,982899,144.15
12-Oct-17,144.05,144.55,142.7,143.7,1606500,143.7
11-Oct-17,142.9,143.1,142.25,142.3,889410,142.3
10-Oct-17,141.9,142.05,140.3,141.35,992688,141.35
9-Oct-17,143,144.3,141.65,142.2,780510,142.2
6-Oct-17,140.3,142.35,140.25,141.7,1174956,141.7
5-Oct-17,140.3,142.35,140.25,141.7,1174956,141.7
4-Oct-17,139.5,141.55,139.1,140.75,1667787,140.75
3-Oct-17,137.6,137.6,137.6,137.6,1112330,137.6
2-Oct-17,138,138.85,136.3,137.6,1112030,137.6
29-Sep-17,138.7,139.85,132.85,138,2460583,138
28-Sep-17,140.7,140.9,138.35,138.35,1042394,138.35
27-Sep-17,141,141.9,139.85,140.7,1265300,140.7
26-Sep-17,137.4,141.3,137.4,141.05,1556927,141.05
25-Sep-17,137.05,138.3,136.6,137.8,716384,137.8
22-Sep-17,137.5,138.75,137.2,137.6,850483,137.6
21-Sep-17,136.8,138.25,136.8,137.9,760630,137.9
20-Sep-17,137.05,137.9,136.4,136.7,794113,136.7
19-Sep-17,137,137.85,136.55,137.45,867851,137.45
18-Sep-17,137.8,138.95,137.25,137.25,1028945,137.25
15-Sep-17,136.7,137.05,135.25,136.75,2146137,136.75
14-Sep-17,136.7,137.85,136.15,136.45,1110237,136.45
13-Sep-17,135.2,138.8,135.15,136.6,1681632,136.6
12-Sep-17,133.85,136.15,132.9,135.6,1639313,135.6
11-Sep-17,133.4,134.05,132.05,133,1128753,133
8-Sep-17,131.3,133.2,131.3,132.35,982440,132.35
7-Sep-17,132.5,133.25,131.35,131.65,1125100,131.65
6-Sep-17,128.6,132.45,128.3,131.2,1498760,131.2
5-Sep-17,127,130.15,126.8,129.1,1262268,129.1
4-Sep-17,125.75,127.4,125.65,126.75,645570,126.75
1-Sep-17,127.35,127.85,126.05,126.5,1110878,126.5
31-Aug-17,126.15,126.65,125,125.35,1075536,125.35
30-Aug-17,127.3,127.4,125.9,125.9,640635,125.9
29-Aug-17,126.7,127,124.75,126.5,1190567,126.5
28-Aug-17,127,128.15,126.6,127.4,508439,127.4
25-Aug-17,127.7,128.7,126.9,127.35,749252,127.35
24-Aug-17,126.9,128.65,126.25,127.6,1023856,127.6
23-Aug-17,127.45,127.55,126.05,126.6,667190,126.6
22-Aug-17,127.1,127.75,126.2,127.3,745118,127.3
21-Aug-17,127.7,128.15,125.75,126.75,947657,126.75
18-Aug-17,128,128.3,127.3,128,1036029,128
17-Aug-17,130,130.2,128.5,128.9,742367,128.9
16-Aug-17,129.7,130.75,129.55,129.8,753908,129.8
15-Aug-17,129.3,130.2,128.7,128.85,671966,128.85
14-Aug-17,128.6,129.35,128.35,128.6,908559,128.6
11-Aug-17,126.55,127.8,126.35,127.5,917462,127.5
10-Aug-17,127.7,127.75,126.25,127.15,1069438,127.15
9-Aug-17,128.55,128.95,127.35,128,1084409,128
8-Aug-17,129,130.35,128.55,129.4,781351,129.4
7-Aug-17,129.2,130.1,128.5,129.25,946920,129.25
4-Aug-17,130.2,130.65,127.55,130,1717629,130
3-Aug-17,130.8,131.25,129.95,130,981052,130
2-Aug-17,131.7,132.45,130.05,130.85,1258492,130.85
1-Aug-17,131.8,131.9,130.35,131.3,1147472,131.3
31-Jul-17,131.35,132.05,129.85,130.1,1295469,130.1
28-Jul-17,132.85,132.9,130.75,131.8,1708574,131.8
27-Jul-17,135.65,136.15,132.95,133.35,1708395,133.35
26-Jul-17,133.85,137.45,133.7,136.6,1943782,136.6
25-Jul-17,134.5,136.65,132.9,134.05,1677767,134.05
24-Jul-17,133.6,135.85,132.35,135.85,2416175,135.85
21-Jul-17,142.35,142.7,135.9,137.75,3260127,137.75
20-Jul-17,143.75,144.8,141.45,142.95,1380181,142.95
19-Jul-17,143.3,144.4,142.15,143.5,843473,143.5
18-Jul-17,143.75,144.1,141.2,142.7,1319561,142.7
17-Jul-17,145.5,145.9,143.55,144.55,1116164,144.55
14-Jul-17,143.5,145.45,142.95,145.45,1395155,145.45
13-Jul-17,142,144.25,141.75,143.35,1414285,143.35
12-Jul-17,140.7,142.9,140.2,142.55,1363074,142.55
11-Jul-17,139.45,141.25,138.9,140.15,1211541,140.15
10-Jul-17,138.9,139.35,137.4,138.65,835096,138.65
7-Jul-17,138.35,139.1,137.6,138.75,896069,138.75
6-Jul-17,136.4,138.95,136.2,138.1,1867231,138.1
5-Jul-17,136.1,136.85,134.6,135.65,799354,135.65
4-Jul-17,135.3,137.3,135.2,136.2,618703,136.2
3-Jul-17,134.45,136.7,134.3,135.8,1045597,135.8
30-Jun-17,133,134.7,132.8,133.35,956389,133.35
29-Jun-17,135.3,135.55,132.25,133,899824,133
28-Jun-17,133.35,135.35,132.7,134.35,666867,134.35
27-Jun-17,133.45,134.7,132.2,134.1,824120,134.1
26-Jun-17,135,135.55,133.7,134.3,709548,134.3
23-Jun-17,134.85,136.05,132.85,133.65,874211,133.65
22-Jun-17,131.85,134.9,131.15,134.65,1076284,134.65
21-Jun-17,131.9,132.4,130.4,132.25,757524,132.25
20-Jun-17,132,133.15,131.5,131.95,813556,131.95
19-Jun-17,132.1,133.3,131.2,131.2,1026211,131.2
16-Jun-17,132.2,132.55,130.35,131.2,1761910,131.2
15-Jun-17,132.6,132.6,129.75,131.35,1846860,131.35
14-Jun-17,135.5,135.5,132.3,132.4,1647486,132.4
13-Jun-17,135.1,136.2,134.95,135.25,765695,135.25
12-Jun-17,132.6,135.6,132.25,134.85,1640335,134.85
9-Jun-17,132.3,133.75,131.9,132.6,981308,132.6
8-Jun-17,133,133.2,131.5,132.25,1284305,132.25
7-Jun-17,135.15,135.3,132.85,133.2,1294759,133.2
6-Jun-17,136.8,137.15,134.3,134.95,1091464,134.95
5-Jun-17,137.55,137.55,137.55,137.55,1350896,137.55
2-Jun-17,136.6,139.25,136.15,137.55,1350796,137.55
1-Jun-17,134.2,136.3,133.85,135.75,1039993,135.75
31-May-17,137,137.1,133.75,133.75,1405894,133.75
30-May-17,137.4,138.05,136.55,136.6,778057,136.6
29-May-17,138.2,138.25,136.9,137.3,404267,137.3
26-May-17,138.25,138.8,136.7,137.95,902632,137.95
25-May-17,138.9,139.8,137.65,138.75,671808,138.75
24-May-17,138.05,138.95,136.65,138.5,783487,138.5
23-May-17,138.5,141.55,137.65,138.1,1454704,138.1
22-May-17,140,140.4,137.65,138.45,942786,138.45
19-May-17,139.45,140.4,138.95,139.4,916503,139.4
18-May-17,140,140.6,137.5,138.5,1559443,138.5
17-May-17,142.1,142.45,140.15,140.75,1284194,140.75
16-May-17,143.85,144.85,143.35,143.35,683545,143.35
15-May-17,145,145.65,143.75,144.35,740709,144.35
12-May-17,143.5,144.65,142.85,144.65,982593,144.65
11-May-17,144,144.7,142.55,143.35,1148170,143.35
10-May-17,144.1,145.8,143.55,144.4,1356636,142.34
9-May-17,146,146.1,143.8,144.25,934069,142.19
8-May-17,145.9,145.9,144,145.3,1022179,143.23
5-May-17,143.5,144.3,141.6,144.2,1164430,142.14
4-May-17,144.4,145.9,143.3,143.85,1193902,141.8
3-May-17,144.75,145,142.5,143.25,849789,141.21
2-May-17,145.55,146.35,142.55,144.4,1287839,142.34
28-Apr-17,143.5,146.2,141.8,145.55,1182990,143.47
27-Apr-17,145,145.55,144.05,144.4,855000,142.34
26-Apr-17,146,146.7,144.7,145.55,1061048,143.47
25-Apr-17,144,145.95,143.35,145.65,1429284,143.57
24-Apr-17,143,144.1,142.75,143.5,1740349,141.45
21-Apr-17,140,141.35,139.45,140,1378675,138
20-Apr-17,139.3,140.3,138.3,139.7,930717,137.71
19-Apr-17,138.55,140.85,138,139.65,1728231,137.66
18-Apr-17,131.15,138.45,130.5,136.95,2601641,135
13-Apr-17,132,132,130.25,131.15,859216,129.28
12-Apr-17,132.5,134.4,131.6,131.9,882136,130.02
11-Apr-17,132.6,133.8,130.45,131.75,919518,129.87
10-Apr-17,133.55,133.7,132.35,132.9,525705,131
7-Apr-17,132.35,133.7,131.95,132.9,857105,131
6-Apr-17,132.4,133.25,130.2,133,962053,131.1
5-Apr-17,134.1,134.25,132.75,133.15,1081007,131.25
4-Apr-17,135.85,136,133.45,134.2,1312852,132.29
3-Apr-17,137.1,137.85,135.05,135.7,792174,133.76
31-Mar-17,135.8,137.3,135.5,136.6,1078491,134.65
30-Mar-17,137.2,137.2,135.3,136.2,842372,134.26
29-Mar-17,137.85,138.6,137,137.05,841555,135.09
28-Mar-17,135.85,137.4,135.55,137.25,937205,135.29
27-Mar-17,134.25,135,132.95,134.95,995025,133.02
24-Mar-17,136.05,136.45,134.65,135.8,772526,133.86
23-Mar-17,136.85,136.9,135,136.25,1033466,134.31
22-Mar-17,133.3,136.55,132.65,136.35,1274602,134.4
21-Mar-17,138,138.7,133.5,134.4,1853013,132.48
20-Mar-17,138.25,138.4,136.6,137.15,851858,135.19
17-Mar-17,139,139,136.35,138.6,2436334,136.62
16-Mar-17,142,142.25,139.4,140.25,1401942,138.25
15-Mar-17,141.65,141.75,138.2,140.25,2062152,138.25
14-Mar-17,144.15,145.15,140.4,141.4,1654159,139.38
13-Mar-17,141.55,144.3,140.75,144.15,1079065,142.09
10-Mar-17,142.2,143.65,141.1,141.45,900827,139.43
9-Mar-17,143.25,143.65,140,141.2,1407121,139.19
8-Mar-17,144.15,146.15,142.95,143.05,1042454,141.01
7-Mar-17,143.9,145.4,143.85,144.8,682480,142.73
6-Mar-17,144.25,145.4,143.65,143.85,687110,141.8
3-Mar-17,143.65,146.1,142.1,144.95,951462,142.88
2-Mar-17,144.25,145.7,143.9,144.9,811051,142.83
1-Mar-17,141.15,144.5,140.65,144.4,1383270,142.34
28-Feb-17,140.75,141.2,139.7,139.7,947029,137.71
27-Feb-17,143,143.15,139.55,140,1475405,138
24-Feb-17,142,142.55,139.55,141.25,1334354,139.23
23-Feb-17,141.35,143.5,141.1,141.65,799955,139.63
22-Feb-17,144.8,145,139.9,141.35,1789289,139.33
21-Feb-17,142.3,144.85,141.2,144.15,1090331,142.09
20-Feb-17,142,142.85,140.8,142.15,746896,140.12
17-Feb-17,143,143.3,139.05,140.25,1903272,138.25
16-Feb-17,146.05,146.7,142.75,143.6,966444,141.55
15-Feb-17,148,148.85,144.8,145.85,1012475,143.77
14-Feb-17,145.35,147.6,144.25,146.85,942897,144.76
13-Feb-17,142.55,146,142.5,145.25,1006323,143.18
10-Feb-17,141.55,142.7,140.9,142.15,995836,140.12
9-Feb-17,140.4,141.1,137.2,140,1286343,138
8-Feb-17,141.55,142.05,138.05,139.9,1049799,137.9
7-Feb-17,141.25,142.75,140.75,141.85,741277,139.83
6-Feb-17,144.4,144.5,141.5,141.9,1243901,139.88
3-Feb-17,144.7,145.8,144.15,144.9,765096,142.83
2-Feb-17,145.2,145.5,143.7,144.3,998554,142.24
1-Feb-17,146.35,147.15,144.8,145.7,1078447,143.62
31-Jan-17,145.4,148.35,143.9,143.9,1615633,141.85
30-Jan-17,148.1,149,145.3,145.5,1364761,143.42
27-Jan-17,152.25,152.75,149.4,149.9,1310558,147.76
26-Jan-17,154.8,154.95,151.95,152.5,1112311,150.32
25-Jan-17,154.8,156.55,153.55,153.9,1751077,151.7
24-Jan-17,154,154.9,151.9,153.6,1398383,151.41
23-Jan-17,148.5,153.5,147.55,152.8,2461860,150.62
20-Jan-17,147.4,148.6,146.45,148.2,1185073,146.09
19-Jan-17,146.45,148.45,145.8,147.8,958189,145.69
18-Jan-17,147,147.9,145.55,146.4,900374,144.31
17-Jan-17,145.45,147.2,143.15,146.35,1407380,144.26
16-Jan-17,147.4,148.35,146.05,146.3,982722,144.21
13-Jan-17,148.5,150.9,147.05,149.55,1682289,147.42
12-Jan-17,151.8,152,146.05,147.3,2087746,145.2
11-Jan-17,148,152.15,147,151,3083904,148.85
10-Jan-17,146.5,149.55,145.15,146.05,2345934,143.97
9-Jan-17,140,145.95,139.8,145.85,2936933,143.77
6-Jan-17,138.5,139.2,137.95,139,795889,137.02
5-Jan-17,137.6,140,136.8,139.1,984929,137.12
4-Jan-17,141.25,142.3,136.65,138.75,1570153,136.77
3-Jan-17,138.95,143.1,138.95,140.45,2065730,138.45
2-Jan-17,132.7,138.35,132.3,137.75,947388,135.78
