Date,Open,High,Low,Close*,Adj Close**,Volume
24-Oct-17,"2,568.66","2,572.18","2,565.58","2,569.13","2,569.13","3,427,330,000"
23-Oct-17,"2,578.08","2,578.29","2,564.33","2,564.98","2,564.98","3,211,710,000"
20-Oct-17,"2,567.56","2,575.44","2,567.56","2,575.21","2,575.21","3,384,650,000"
19-Oct-17,"2,553.39","2,562.36","2,547.92","2,562.10","2,562.10","2,990,710,000"
18-Oct-17,"2,562.87","2,564.11","2,559.67","2,561.26","2,561.26","2,998,090,000"
17-Oct-17,"2,557.17","2,559.71","2,554.69","2,559.36","2,559.36","2,889,390,000"
16-Oct-17,"2,555.57","2,559.47","2,552.64","2,557.64","2,557.64","2,916,020,000"
13-Oct-17,"2,555.66","2,557.65","2,552.09","2,553.17","2,553.17","3,149,440,000"
12-Oct-17,"2,552.88","2,555.33","2,548.31","2,550.93","2,550.93","3,151,510,000"
11-Oct-17,"2,550.62","2,555.24","2,547.95","2,555.24","2,555.24","2,976,090,000"
10-Oct-17,"2,549.99","2,555.23","2,544.86","2,550.64","2,550.64","2,960,500,000"
9-Oct-17,"2,551.39","2,551.82","2,541.60","2,544.73","2,544.73","2,483,970,000"
6-Oct-17,"2,547.44","2,549.41","2,543.79","2,549.33","2,549.33","2,884,570,000"
5-Oct-17,"2,540.86","2,552.51","2,540.02","2,552.07","2,552.07","3,045,120,000"
4-Oct-17,"2,533.48","2,540.53","2,531.80","2,537.74","2,537.74","3,017,120,000"
3-Oct-17,"2,530.34","2,535.13","2,528.85","2,534.58","2,534.58","3,068,850,000"
2-Oct-17,"2,521.20","2,529.23","2,520.40","2,529.12","2,529.12","3,199,730,000"
29-Sep-17,"2,509.96","2,519.44","2,507.99","2,519.36","2,519.36","3,211,920,000"
28-Sep-17,"2,503.41","2,510.81","2,502.93","2,510.06","2,510.06","3,168,620,000"
27-Sep-17,"2,503.30","2,511.75","2,495.91","2,507.04","2,507.04","3,456,030,000"
26-Sep-17,"2,501.04","2,503.51","2,495.12","2,496.84","2,496.84","3,043,110,000"
25-Sep-17,"2,499.39","2,502.54","2,488.03","2,496.66","2,496.66","3,297,890,000"
22-Sep-17,"2,497.26","2,503.47","2,496.54","2,502.22","2,502.22","2,865,960,000"
21-Sep-17,"2,507.16","2,507.16","2,499.00","2,500.60","2,500.60","2,930,860,000"
20-Sep-17,"2,506.84","2,508.85","2,496.67","2,508.24","2,508.24","3,530,010,000"
