交易日期↓,开盘点位,最高点位,最低点位,收盘点位,涨跌,涨跌幅(%),开始日累计涨跌,开始日累计涨跌幅（%）,成交量(万股),成交额(万元)
2019-11-04,"2,964.58","2,983.06","2,964.58","2,975.49",46.44,1.59,"1,608.91",117.73,"1,672,483.64","18,871,009.47"
2019-10-31,"2,944.84","2,946.75","2,923.52","2,929.06",23.87,0.82,"1,562.48",114.33,"1,615,714.83","18,180,193.74"
2019-09-30,"2,927.92","2,936.48","2,905.19","2,905.19",18.95,0.66,"1,538.61",112.59,"1,166,468.11","14,259,170.25"
2019-08-30,"2,907.38","2,914.58","2,874.10","2,886.24",-46.27,-1.58,"1,519.66",111.20,"1,939,599.51","22,475,116.99"
2019-07-31,"2,944.40","2,944.40","2,926.49","2,932.51",-46.37,-1.56,"1,565.93",114.59,"1,410,523.48","16,460,787.35"
2019-06-28,"2,992.24","2,992.24","2,961.22","2,978.88",80.18,2.77,"1,612.30",117.98,"1,814,315.23","18,364,176.73"
2019-05-31,"2,904.50","2,922.91","2,895.58","2,898.70",-179.64,-5.84,"1,532.12",112.11,"1,952,305.80","19,128,040.36"
2019-04-30,"3,052.62","3,088.41","3,052.62","3,078.34",-12.42,-0.40,"1,711.76",125.26,"2,223,025.17","22,549,812.92"
2019-03-29,"3,000.68","3,093.03","2,999.99","3,090.76",149.80,5.09,"1,724.18",126.17,"3,750,829.91","38,669,960.87"
2019-02-28,"2,950.05","2,965.30","2,930.20","2,940.95",356.38,13.79,"1,574.37",115.21,"3,502,066.02","29,876,395.31"
2019-01-31,"2,581.33","2,606.63","2,571.58","2,584.57",90.68,3.64,"1,217.99",89.13,"1,543,038.69","12,601,324.74"
2018-12-28,"2,483.62","2,505.11","2,478.33","2,493.90",-94.29,-3.64,"1,127.32",82.49,"1,192,452.50","10,598,085.30"
2018-11-30,"2,564.56","2,590.21","2,555.32","2,588.19",-14.60,-0.56,"1,221.61",89.39,"1,393,290.21","11,221,982.72"
2018-10-31,"2,573.01","2,612.92","2,567.03","2,602.78",-218.57,-7.75,"1,236.20",90.46,"1,805,503.48","15,489,473.53"
2018-09-28,"2,794.26","2,821.76","2,791.84","2,821.35",96.10,3.53,"1,454.77",106.45,"1,342,904.56","12,536,998.94"
2018-08-31,"2,730.11","2,744.63","2,710.54","2,725.25",-151.15,-5.25,"1,358.67",99.42,"1,097,587.42","11,481,335.39"
2018-07-31,"2,866.90","2,884.68","2,854.32","2,876.40",28.98,1.02,"1,509.82",110.48,"1,189,311.17","11,952,876.79"
2018-06-29,"2,789.81","2,848.37","2,782.38","2,847.42",-248.06,-8.01,"1,480.84",108.36,"1,256,716.85","13,565,237.79"
2018-05-31,"3,061.83","3,098.08","3,054.27","3,095.47",13.24,0.43,"1,728.89",126.51,"1,404,755.32","18,519,903.70"
2018-04-27,"3,082.41","3,088.03","3,049.91","3,082.23",-86.67,-2.73,"1,715.65",125.54,"1,312,256.43","17,952,026.00"
2018-03-30,"3,161.79","3,177.72","3,152.89","3,168.90",-90.51,-2.78,"1,802.32",131.89,"1,546,465.96","19,600,669.69"
2018-02-28,"3,264.06","3,277.83","3,239.84","3,259.41",-221.43,-6.36,"1,892.83",138.51,"1,510,435.36","18,023,381.52"
2018-01-31,"3,470.51","3,495.45","3,454.73","3,480.83",173.66,5.25,"2,114.25",154.71,"2,072,534.03","24,265,795.86"
2017-12-29,"3,295.25","3,308.22","3,292.77","3,307.17",-10.02,-0.30,"1,940.59",142.00,"1,415,868.36","17,035,675.51"
2017-11-30,"3,328.64","3,340.92","3,306.28","3,317.19",-76.15,-2.24,"1,950.61",142.74,"1,565,958.51","19,207,678.51"
2017-10-31,"3,381.00","3,397.10","3,376.12","3,393.34",44.40,1.33,"2,026.76",148.31,"1,534,982.06","19,992,958.45"
2017-09-29,"3,340.31","3,357.02","3,340.31","3,348.94",-11.87,-0.35,"1,982.36",145.06,"1,448,624.43","17,589,282.30"
2017-08-31,"3,361.46","3,367.36","3,340.69","3,360.81",87.78,2.68,"1,994.23",145.93,"2,344,197.81","26,913,310.78"
