商品肉猪,饲料原料,17197046928.23,61.82%,14557041459.34,59.24%,18.14%
商品肉猪,委托养殖费用,4924375797.78,17.70%,4883423112.43,19.87%,0.84%
商品肉猪,药物及疫苗,1473983229.62,5.30%,1342439110.21,5.46%,9.80%
商品肉猪,职工薪酬,1922056727.57,6.91%,1851141340.93,7.53%,3.83%
商品肉猪,固定资产折旧及摊销,803769391.80,2.89%,614809884.82,2.50%,30.73%
商品肉猪,其他,1496916852.09,5.38%,1326159734.40,5.40%,12.88%
商品肉猪,合计,27818148927.10,100.00%,24575014642.14,100.00%,13.20%
商品肉鸡,饲料原料,10096537477.00,68.79%,10260330502.84,69.43%,-1.60%
商品肉鸡,委托养殖费用,2664925608.54,18.16%,2621462723.31,17.74%,1.66%
商品肉鸡,药物及疫苗,535443543.36,3.65%,586816703.75,3.97%,-8.75%
商品肉鸡,职工薪酬,659680276.01,4.49%,671475964.72,4.54%,-1.76%
商品肉鸡,固定资产折旧及摊销,192333383.56,1.31%,182556246.35,1.24%,5.36%
商品肉鸡,其他,527952112.75,3.60%,454637351.32,3.08%,16.13%
商品肉鸡,合计,14676872401.22,100.00%,14777279492.29,100.00%,-0.68%
