,StartDate,EndDate,Date,const,szgrowth(-1)+,szgrowth(-1),const-p,szgrowth(-1)+p,szgrowth(-1)p,rsquared,rsquared_adj
0,2006-02-01,2007-07-01,2006-11-01,0.48920049790831666,0.04837630292250924,-0.03425249238344531,3.987047059945639e-07,0.05786921620231056,0.12759998173110831,0.34900718694168054,0.26220814520057134
1,2006-03-01,2007-08-01,2006-12-01,0.49953650413707235,0.04732144628353736,-0.03247983804561134,2.1779142515343618e-07,0.053850682907263706,0.13326959054294316,0.40065050264164515,0.32073723632719786
2,2006-04-01,2007-09-01,2007-01-01,0.4926007346809028,0.052136530292730264,-0.0336693421481235,1.0604612066516746e-05,0.09963308136245502,0.2281210465313686,0.3794506093089757,0.2967106905501724
3,2006-05-01,2007-10-01,2007-02-01,0.5910891838122132,0.03063198231615516,-0.017010665505561816,4.217357428712111e-05,0.44518175430116613,0.6330148564835928,0.15624384755433307,0.04374302722824419
4,2006-06-01,2007-11-01,2007-03-01,0.5954958735048254,0.029436133270056147,-0.016259119976654204,3.2000969073242217e-05,0.45985043273016524,0.6463919481681537,0.14883040236169276,0.03534112267658518
5,2006-07-01,2007-12-01,2007-04-01,0.6425258496675904,-0.014924941857138344,0.025752046537933622,1.1930764420999885e-05,0.45380269541131024,0.09636884206967306,0.34520929924994814,0.2579038724832746
6,2006-08-01,2008-01-01,2007-05-01,0.6339563024216652,-0.015130491449852741,0.025124438340939463,5.6164927657410604e-05,0.4958940693293772,0.13671554004879957,0.2895386974443839,0.19481052377030172
7,2006-09-01,2008-02-01,2007-06-01,0.6308919889853635,-0.012806959992940875,0.02300357026620534,0.00010264904359745865,0.5249635714323551,0.09785440878850836,0.3431555123060046,0.2555762472801386
8,2006-10-01,2008-03-01,2007-07-01,0.649889217677347,-0.01511208558256176,0.02432336451684582,4.942487077641259e-05,0.4399270399291093,0.07602373872274416,0.3555014593707061,0.2695683206201336
9,2006-11-01,2008-04-01,2007-08-01,0.6417581891366609,-0.009556824871280258,0.019305773715668138,9.445194282942858e-05,0.6024833671575152,0.09824728112013746,0.3604906205529881,0.2752227032933865
10,2006-12-01,2008-05-01,2007-09-01,0.6485025289727494,-0.010567590673370097,0.019703742642992145,9.484076128128474e-05,0.5680419842350072,0.0932376964867503,0.3585883930059074,0.273066845406695
11,2007-01-01,2008-06-01,2007-10-01,0.6237185919246881,-0.008671822853410883,0.019616743469937813,0.00012526155845140577,0.6440642175803581,0.10114712426572266,0.3762060033975384,0.2930334705172102
