日期,新建商品住宅销售价格指数(上月=100),城市,类别123,类别0123,date,销售价格变动,hp
2019年9月,100.3,三亚,3,3,2019-09-01,0.0029999999999998916,2.622903449989507
2019年8月,100.6,三亚,3,3,2019-08-01,0.006000000000000005,2.615058275164015
2019年7月,100.4,三亚,3,3,2019-07-01,0.0040000000000000036,2.5994615061272515
2019年6月,100.8,三亚,3,3,2019-06-01,0.008000000000000007,2.589105085784115
2019年5月,100.4,三亚,3,3,2019-05-01,0.0040000000000000036,2.5685566327223364
2019年4月,100.9,三亚,3,3,2019-04-01,0.009000000000000119,2.5583233393648768
2019年3月,100.3,三亚,3,3,2019-03-01,0.0029999999999998916,2.535503805118807
2019年2月,100.1,三亚,3,3,2019-02-01,0.0009999999999998899,2.5279200449838557
2019年1月,100.0,三亚,3,3,2019-01-01,0.0,2.5253946503335225
2018年12月,100.2,三亚,3,3,2018-12-01,0.0020000000000000018,2.5253946503335225
2018年11月,100.4,三亚,3,3,2018-11-01,0.0040000000000000036,2.5203539424486254
2018年10月,99.9,三亚,3,3,2018-10-01,-0.0009999999999998899,2.510312691681898
2018年9月,100.2,三亚,3,3,2018-09-01,0.0020000000000000018,2.5128255171990967
2018年8月,100.1,三亚,3,3,2018-08-01,0.0009999999999998899,2.507809897404288
2018年7月,103.7,三亚,3,3,2018-07-01,0.03699999999999992,2.505304592811477
2018年6月,103.2,三亚,3,3,2018-06-01,0.03200000000000003,2.4159157114864773
2018年5月,102.4,三亚,3,3,2018-05-01,0.02400000000000002,2.341003596401625
2018年4月,101.9,三亚,3,3,2018-04-01,0.019000000000000128,2.286136324610962
2018年3月,100.7,三亚,3,3,2018-03-01,0.007000000000000117,2.2435096414239077
2018年2月,101.0,三亚,3,3,2018-02-01,0.010000000000000009,2.227914241731785
2018年1月,100.9,三亚,3,3,2018-01-01,0.009000000000000119,2.2058556848829554
2017年12月,100.5,三亚,3,3,2017-12-01,0.004999999999999893,2.1861800643042173
2017年11月,100.8,三亚,3,3,2017-11-01,0.008000000000000007,2.1753035465713606
2017年10月,100.2,三亚,3,3,2017-10-01,0.0020000000000000018,2.158039232709683
2017年9月,99.8,三亚,3,3,2017-09-01,-0.0020000000000000018,2.1537317691713405
2017年8月,100.1,三亚,3,3,2017-08-01,0.0009999999999998899,2.1580478649011425
2017年7月,100.3,三亚,3,3,2017-07-01,0.0029999999999998916,2.1558919729282144
2017年6月,99.2,三亚,3,3,2017-06-01,-0.008000000000000007,2.149443642002208
2017年5月,99.8,三亚,3,3,2017-05-01,-0.0020000000000000018,2.1667778649215808
2017年4月,98.8,三亚,3,3,2017-04-01,-0.01200000000000001,2.1711201051318443
2017年3月,102.3,三亚,3,3,2017-03-01,0.02299999999999991,2.1974899849512592
2017年2月,101.3,三亚,3,3,2017-02-01,0.0129999999999999,2.148084051760762
